Position	Car Number	School Name	Team Name	Status	Time
1	4	Univ of Michigan - Ann Arbor	Maize	OK	4.19900
2	24	Cornell Univ	BIG RED RACING	OK	4.49900
3	7	Univ of Maryland - Baltimore County	Retriever Racing	OK	4.54900
4	2	Univ of Louisville	Speed Motorsports	OK	4.57200
5	1	McGill Univ	McGill Baja Racing	OK	4.57800
6	3	Rochester Institute of Technology	RIOT RACING	OK	4.60400
7	63	Keimyung University	Speed Limit	OK	4.65200
8	10	Iowa State Univ	Cyclone Racing	OK	4.71400
9	46	Univ of Calif - Los Angeles	UCLA Racing	OK	4.72700
10	6	Ecole De Technologie Superieure	ETS Motorsports	OK	4.73900
11	36	Universite Laval	Alerion	OK	4.73900
12	32	Universidad De La Salle Bajio	Bajio 1	OK	4.74200
13	20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	4.78000
14	50	Auburn Univ	War Eagle Motorsports	OK	4.78000
15	39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	4.78600
16	81	Harding Univ	Bison Baja	OK	4.78600
17	26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	4.78700
18	60	Purdue Univ - W Lafayette	Titan	OK	4.79600
19	105	West Virginia Univ	Mountaineers	OK	4.81300
20	42	Univ of Central Florida	The Knights who say Ni	OK	4.81900
21	109	Univ of Nebraska - Lincoln	Shake 'N' Bake Racing	OK	4.82500
22	23	ITESM - Campus QRO	Exergia Racing Team	OK	4.85700
23	56	Universidad La Salle	Aguilas La Salle	OK	4.91500
24	25	Univ of Tennessee - Martin	Skyhawk Racing	OK	4.91800
25	19	SUNY - Buffalo	UB Motorsports	OK	4.93600
26	49	San Diego State Univ	Aztec Racing	OK	4.93700
27	16	Virginia Tech	VT Baja	OK	4.96300
28	11	Northeastern Univ	Skunkworks	OK	4.97700
29	76	Univ of Kansas - Lawrence	KU SAE Baja	OK	4.98900
30	35	Oregon State Univ	Beaver Racing	OK	4.98900
31	65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.99000
32	101	San Jose State University	Spartan Racing	OK	5.00400
33	72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	5.02300
34	47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	5.03400
35	84	California State Univ - Los Angeles	Golden Eagle Motorsports	OK	5.04700
36	52	Universidad Autonoma Estado Mexico	Sara Juana	OK	5.04900
37	82	Univ of Alaska - Anchorage	Midnight Sun Racing	OK	5.07900
38	38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	5.09200
39	27	Franklin W Olin College of Engineering	Phoenix Racing	OK	5.10200
40	14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	5.14700
41	108	New Mexico State Univ	NMSU Motorsports II	OK	5.15300
42	64	Univ of Nevada - Las Vegas	Rebel Racing	OK	5.17900
43	29	Kansas State Univ	Wildcat Racing	OK	5.20800
44	86	Univ of Calif - Davis	Davis Baja	OK	5.21300
45	62	Louisiana State Univ	LSU Tiger Racing	OK	5.27100
46	93	North Dakota State Univ	Bison Motorsports	OK	5.29400
47	43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	5.31000
48	40	New Mexico State Univ	NMSU Motorsports	OK	5.31300
49	73	Univ of Wyoming	Happy Jack Racing	OK	5.33200
50	18	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	5.35100
51	55	Univ of Pretoria	TuksBaja	OK	5.38800
52	113	Universidad de Carabobo	Organizacion SAE UC Venezuela	OK	5.40200
53	30	Lamar Univ	Cardinal Racing	OK	5.43300
54	75	ESIA Tlalnepantla	Leones Blancos	OK	5.44000
55	70	Louisiana Tech Univ	Mud Dawg Racing	OK	5.45500
56	12	North Carolina A & T State Univ	Aggie Racing	OK	5.47900
57	22	Univ of Rhode Island	URI Motorsports	OK	5.54800
58	17	Cetys Universidad	Z7	OK	5.60700
59	74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	OK	5.67300
60	103	Manhattan College	Jasper Racing	OK	5.70600
61	96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	5.80100
62	54	Wichita State Univ	Shocker Racing	OK	5.82500
63	104	Boise State Univ	Boise State Motorsports	OK	5.85500
64	106	Northern Arizona Univ	NAU	OK	5.87900
65	89	Rayat Bahra Inst Of Eng	Indus Pride	OK	5.90000
66	51	Embry-Riddle Aero Univ - Daytona Beach	Lady Eagles	OK	5.91200
67	37	Univ of Puerto Rico	RUM Racing Baja	OK	5.96000
68	71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	6.00200
69	91	Univ of Tulsa	Tulsa Baja	OK	6.11200
70	80	Christian Brothers Univ	Bucs	OK	6.16800
71	99	Idaho State University	Bengals Racing	OK	6.21200
72	85	Oregon Inst of Tech	Oregon Tech Racing	OK	6.24600
73	58	Univ of Waterloo	UWaterloo Baja	OK	6.25600
74	48	Milwaukee School of Engrg	Nuclear Fallout	OK	10.62800
