Car No.	School Name	Team Name	Status	Time
70	Michigan State Univ	MSU	OK	4.29500
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	4.05200
70	Michigan State Univ	MSU	OK	4.21700
16	San Diego State Univ	Aztec Racing	OK	4.05800
85	Univ of Evansville	Aces baja	OK	4.90000
56	Univ of Tennessee - Martin	Skyhawk Racing	OK	4.04700
16	San Diego State Univ	Aztec Racing	OK	4.08500
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.06400
56	Univ of Tennessee - Martin	Skyhawk Racing	OK	4.09200
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	4.00500
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.08100
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	3.84500
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	3.86400
95	Tennessee Tech Univ	TTU Baja	OK	4.30100
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	3.90600
66	Purdue Univ - Calumet	PUC Motorsports	OK	4.52600
95	Tennessee Tech Univ	TTU Baja	OK	4.15100
6	Ecole De Technologie Superieure	ETS Motorsports	OK	4.07700
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	4.11900
64	Clemson Univ	CU Baja Racing	OK	4.19200
64	Clemson Univ	CU Baja Racing	OK	4.13600
3	Iowa State Univ	Cyclone Racing	OK	4.06500
2	Univ of Michigan - Ann Arbor	Maize	OK	3.61400
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	5.03000
35	Clarkson University	Golden Knights Racing	OK	4.36600
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	5.01100
35	Clarkson University	Golden Knights Racing	OK	4.39400
4	Cornell Univ	BIG RED RACING	OK	3.89000
65	Louisiana Tech Univ	Mud Dawg Racing	OK	5.59300
41	Univ of Wisconsin - Madison	SAE Baja - UW Madison	OK	3.87300
65	Louisiana Tech Univ	Mud Dawg Racing	OK	5.38300
93	Louisiana State Univ	Baja Bengals	OK	3.94900
93	Louisiana State Univ	Baja Bengals	OK	3.96000
5	Rochester Institute of Technology	RIOT RACING	OK	3.65200
14	Cleveland State Univ	Viking Racing	OK	4.69800
105	University of Mount Union	UMU Baja	OK	4.70800
30	Johns Hopkins Univ	Hopkins Baja	OK	4.62000
105	University of Mount Union	UMU Baja	OK	4.83100
