Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Bonus Points	Penalty Points	Final Score
4	Cornell Univ	BIG RED RACING	OK	0.00	140.00	0.00	0.00	140.00
3	Iowa State Univ	Cyclone Racing	OK	0.00	100.00	0.00	0.00	100.00
2	Univ of Michigan - Ann Arbor	Maize	OK	0.00	140.00	0.00	0.00	140.00
11	Georgia Southern Univ	Eagle Motorsports	OK	0.00	110.00	0.00	0.00	110.00
14	Cleveland State Univ	Viking Racing	OK	0.00	50.00	0.00	0.00	50.00
10	Polytechnique Montréal	poly mud bees	OK	0.00	130.00	0.00	0.00	130.00
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	0.00	90.00	0.00	0.00	90.00
15	Virginia Tech	VT Baja	OK	0.00	140.00	0.00	0.00	140.00
6	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00	140.00	0.00	0.00	140.00
5	Rochester Institute of Technology	RIOT RACING	OK	0.00	140.00	0.00	0.00	140.00
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00	70.00	0.00	0.00	70.00
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	OK	0.00	60.00	0.00	10.00	50.00
17	Hindustan University	STALWARTZ RACING	OK	0.00	10.00	0.00	40.00	0.00
16	San Diego State Univ	Aztec Racing	OK	0.00	60.00	0.00	0.00	60.00
18	Queen's Univ - Ontario Canada	Queen's University Baja SAE Design Team	OK	0.00	100.00	0.00	0.00	100.00
20	LeTourneau Univ	Renegade Racing	OK	0.00	110.00	0.00	0.00	110.00
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	0.00	90.00	0.00	0.00	90.00
28	Wichita State Univ	Shocker Racing	OK	0.00	60.00	0.00	0.00	60.00
27	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00	100.00	0.00	0.00	100.00
29	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00	110.00	0.00	0.00	110.00
24	Manhattan College	Jasper Racing	OK	0.00	50.00	0.00	100.00	0.00
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	0.00	60.00	0.00	0.00	60.00
25	Pittsburg State University	Diddy Kong Racing	OK	0.00	30.00	0.00	0.00	30.00
23	Ohio Northern Univ	Polar Bear Racing	OK	0.00	120.00	0.00	0.00	120.00
