Car No.	School Name	Team Name	Status	Time	Distance
101	Harding Univ	Bison Baja	OK	37.47800	45 Stk
11	Georgia Southern Univ	Eagle Motorsports	OK	28.69400	45 Stk
100	Northeastern Univ	Skunkworks	OK	42.25100	45 Stk
42	Auburn Univ	War Eagle Motorsports	OK	30.13700	45 Stk
11	Georgia Southern Univ	Eagle Motorsports	OK	28.60700	45 Stk
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	50.65200	45 Stk
100	Northeastern Univ	Skunkworks	OK	44.45800	45 Stk
56	Univ of Tennessee - Martin	Skyhawk Racing	OK	34.03200	45 Stk
27	Univ of Calif - Los Angeles	UCLA Racing	OK	33.23600	45 Stk
42	Auburn Univ	War Eagle Motorsports	OK	27.70700	45 Stk
56	Univ of Tennessee - Martin	Skyhawk Racing	OK	35.48900	45 Stk
27	Univ of Calif - Los Angeles	UCLA Racing	OK	31.06300	45 Stk
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	35.52000	45 Stk
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	35.25900	45 Stk
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	31.36800	45 Stk
66	Purdue Univ - Calumet	PUC Motorsports	OK	0.00000	1 Stk
3	Iowa State Univ	Cyclone Racing	OK	30.97100	45 Stk
101	Harding Univ	Bison Baja	OK	38.22100	45 Stk
64	Clemson Univ	CU Baja Racing	OK	40.29100	45 Stk
16	San Diego State Univ	Aztec Racing	OK	29.70900	45 Stk
48	Bucknell Univ	Bucknell MotoWorks	OK	37.56500	45 Stk
83	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	28.48500	45 Stk
64	Clemson Univ	CU Baja Racing	OK	32.69100	45 Stk
89	Oregon State Univ	Beaver Racing	OK	28.76500	45 Stk
2	Univ of Michigan - Ann Arbor	Maize	OK	27.41100	45 Stk
48	Bucknell Univ	Bucknell MotoWorks	OK	36.79000	45 Stk
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	49.48200	45 Stk
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	34.03800	45 Stk
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	0.00000	7 Stk
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	37.18300	45 Stk
95	Tennessee Tech Univ	TTU Baja	OK	36.24300	45 Stk
35	Clarkson University	Golden Knights Racing	OK	0.00000	11 Stk
95	Tennessee Tech Univ	TTU Baja	OK	32.57400	45 Stk
35	Clarkson University	Golden Knights Racing	OK	31.09100	45 Stk
30	Johns Hopkins Univ	Hopkins Baja	OK	37.09400	45 Stk
6	Ecole De Technologie Superieure	ETS Motorsports	OK	26.92100	45 Stk
30	Johns Hopkins Univ	Hopkins Baja	OK	32.88100	45 Stk
6	Ecole De Technologie Superieure	ETS Motorsports	OK	27.01700	45 Stk
4	Cornell Univ	BIG RED RACING	OK	28.00200	45 Stk
87	US Military Academy	Army Motorsports	OK	73.98400	45 Stk
2	Univ of Michigan - Ann Arbor	Maize	OK	26.99200	45 Stk
41	Univ of Wisconsin - Madison	SAE Baja - UW Madison	OK	29.64500	45 Stk
93	Louisiana State Univ	Baja Bengals	OK	31.01200	45 Stk
4	Cornell Univ	BIG RED RACING	OK	27.64000	45 Stk
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	34.33300	45 Stk
75	Grove City College	Grove City Racing	OK	0.00000	9 Stk
87	US Military Academy	Army Motorsports	OK	53.52100	45 Stk
51	Northern Kentucky Univ	Norse Baja	OK	60.39000	45 Stk
93	Louisiana State Univ	Baja Bengals	OK	30.25400	45 Stk
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	31.09700	45 Stk
75	Grove City College	Grove City Racing	OK	39.12000	45 Stk
85	Univ of Evansville	Aces baja	OK	70.82600	45 Stk
44	Univ of Notre Dame	Irish Racing	OK	36.79700	45 Stk
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	32.53000	45 Stk
65	Louisiana Tech Univ	Mud Dawg Racing	OK	42.14600	45 Stk
5	Rochester Institute of Technology	RIOT RACING	OK	26.63700	45 Stk
51	Northern Kentucky Univ	Norse Baja	OK	50.25700	45 Stk
37	Universite de Sherbrooke	Sherbrooke Racing Team	OK	30.01200	45 Stk
85	Univ of Evansville	Aces baja	OK	45.41300	45 Stk
44	Univ of Notre Dame	Irish Racing	OK	30.54800	45 Stk
65	Louisiana Tech Univ	Mud Dawg Racing	OK	86.44000	45 Stk
53	SRM Engineering College	The Conrods Off-Road Racing	OK	42.11000	45 Stk
37	Universite de Sherbrooke	Sherbrooke Racing Team	OK	29.06600	45 Stk
5	Rochester Institute of Technology	RIOT RACING	OK	0.00000	9 Stk
108	California State Poly Univ - Pomona	Cal Poly Pomona Baja SAE	OK	47.88800	45 Stk
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	OK	47.49100	45 Stk
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	OK	42.39400	45 Stk
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	44.38700	45 Stk
63	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	40.27800	45 Stk
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	36.93300	45 Stk
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	OK	76.91600	45 Stk
63	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	34.24300	45 Stk
25	Pittsburg State University	Diddy Kong Racing	OK	46.72600	45 Stk
110	Universidad Autonoma Estado Mexico	Sara Juana RT	OK	37.41600	45 Stk
14	Cleveland State Univ	Viking Racing	OK	52.59900	45 Stk
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	OK	46.51100	45 Stk
16	San Diego State Univ	Aztec Racing	OK	29.49600	45 Stk
110	Universidad Autonoma Estado Mexico	Sara Juana RT	OK	36.27000	45 Stk
39	Univ of Akron	Zips Baja	OK	30.89100	45 Stk
14	Cleveland State Univ	Viking Racing	OK	42.30200	45 Stk
39	Univ of Akron	Zips Baja	OK	29.07500	45 Stk
52	Miami Univ	Redhawk Racing	OK	29.40700	45 Stk
40	Vellore Institute of Technology	Team Jaabaz	OK	42.66400	45 Stk
84	Universidad De La Salle Bajio	Bajio 1	OK	30.60300	45 Stk
91	Case Western Reserve Univ	CWRU Motorsports	OK	33.11300	45 Stk
62	Central Michigan Univ	Chippewa Performance	OK	31.25100	45 Stk
20	LeTourneau Univ	Renegade Racing	OK	42.29600	45 Stk
52	Miami Univ	Redhawk Racing	OK	28.96700	45 Stk
91	Case Western Reserve Univ	CWRU Motorsports	OK	32.17900	45 Stk
20	LeTourneau Univ	Renegade Racing	OK	30.80700	45 Stk
84	Universidad De La Salle Bajio	Bajio 1	OK	43.68100	45 Stk
89	Oregon State Univ	Beaver Racing	OK	28.47600	45 Stk
62	Central Michigan Univ	Chippewa Performance	OK	0.00000	30 Stk
45	Univ of Alabama - Tuscaloosa	Bama Racing	OK	35.96900	45 Stk
33	Kansas State Univ	Wildcat Offroad	OK	45.24500	45 Stk
23	Ohio Northern Univ	Polar Bear Racing	OK	29.54200	45 Stk
70	Michigan State Univ	MSU	OK	36.01600	45 Stk
23	Ohio Northern Univ	Polar Bear Racing	OK	29.40300	45 Stk
70	Michigan State Univ	MSU	OK	0.00000	41 Stk
33	Kansas State Univ	Wildcat Offroad	OK	37.08300	45 Stk
80	Lipscomb Univ	Lipscomb Motorsports	OK	37.13900	45 Stk
50	Southern Illinois Univ at Carbondale	Saluki Baja	OK	37.29800	45 Stk
88	Florida Inst of Tech	Florida Tech Motorsports	OK	0.00000	10 Stk
