Car No.	School Name	Team Name	Status	Time
22	Oregon Inst of Tech	Oregon Tech Racing	OK	4.22200
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	4.03100
111	Buffalo State College	Buffalo State Motorsports	OK	4.19300
111	Buffalo State College	Buffalo State Motorsports	OK	4.16600
59	Univ of Calif - Irvine	Anteater Racing	OK	4.21700
59	Univ of Calif - Irvine	Anteater Racing	OK	4.06300
5	Ecole De Technologie Superieure	ETS Motorsports	OK	4.01800
69	Univ of Calif - Davis	Davis Racing - Baja	OK	4.27100
20	Univ of Akron	Zips Baja	OK	3.92700
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	3.59100
95	Utah State University	Aggies	OK	4.43700
20	Univ of Akron	Zips Baja	OK	3.89000
69	Univ of Calif - Davis	Davis Racing - Baja	OK	4.29400
40	California State Univ - Fullerton	Titan Racing Baja	OK	4.12900
95	Utah State University	Aggies	OK	4.41200
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	3.51200
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	4.21800
83	Univ of Rochester	Yellow Jacket Racing	OK	4.04800
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	4.24900
85	California State Univ- Chico	Chico State Baja	OK	3.99800
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	3.94500
9	Iowa State Univ	Cyclone Racing	OK	4.03500
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	3.90600
6	Oregon State Univ	Beaver Racing	OK	4.12300
30	Louisiana State Univ	Baja Bengals	OK	4.63400
85	California State Univ- Chico	Chico State Baja	OK	3.86100
24	Bucknell Univ	Bucknell Motowerks	OK	4.48700
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	3.90900
108	Georgia Institute of Technology	GT Off-Road	OK	4.24300
134	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	4.17700
24	Bucknell Univ	Bucknell Motowerks	OK	4.32500
2	Cornell Univ	BIG RED RACING	OK	3.82900
110	Case Western Reserve Univ	CWRU Motorsports	OK	4.02800
108	Georgia Institute of Technology	GT Off-Road	OK	4.33900
41	LeTourneau Univ	Renegade Racing	OK	4.76700
2	Cornell Univ	BIG RED RACING	OK	3.85100
32	San Jose State University	Spartan Racing	OK	4.18400
32	San Jose State University	Spartan Racing	OK	4.25600
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	4.42000
153	Bradley Univ	Bradley Motorsports	OK	4.42000
15	Vellore Institute of Technology	Team Jaabaz	OK	4.13500
14	California State Poly Univ - Pomona	Bronco Racing	OK	4.73700
153	Bradley Univ	Bradley Motorsports	OK	4.45600
29	Colorado State University	Aggies Offroad Racing & Development	OK	4.57800
83	Univ of Rochester	Yellow Jacket Racing	OK	3.98700
25	Johns Hopkins Univ	Blue Jay Racing	OK	4.04300
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	4.38300
29	Colorado State University	Aggies Offroad Racing & Development	OK	4.60900
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	4.79800
117	McMaster Univ	McMaster Baja Racing	OK	4.12900
144	Harbin Institute of Technology	CSG-HRT Baja	OK	3.89600
80	Concordia University	Concordia Baja Racing	OK	4.69600
25	Johns Hopkins Univ	Blue Jay Racing	OK	4.07900
131	Alfred Univ	Saxon Racing	OK	4.35400
88	Interamerican Univ of Puerto Rico	Inter Baja Racing	OK	5.00900
7	Univ of Nebraska - Lincoln	Husker Racing	OK	3.98300
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	4.48100
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	4.68600
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	4.74800
38	Keimyung University	Speeding	OK	4.31900
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	4.35100
51	Universidad De La Salle Bajio	Bajio 1	OK	4.33600
56	California State Univ - Long Beach	Long Beach Racing	OK	4.52300
