Car No.	School Name	Team Name	Status	Report Score	Penalty Points	Final Score
5	Ecole De Technologie Superieure	ETS Motorsports	OK	15.00	0.00	99.32
7	Univ of Nebraska - Lincoln	Husker Racing	OK	15.00	0.00	99.28
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	13.00	0.00	96.20
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	5.00	0.00	95.09
3	Rochester Institute of Technology	RIOT RACING	OK	15.00	0.00	93.55
51	Universidad De La Salle Bajio	Bajio 1	OK	11.00	0.00	88.91
25	Johns Hopkins Univ	Blue Jay Racing	OK	10.00	0.00	87.06
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	13.00	0.00	85.48
2	Cornell Univ	BIG RED RACING	OK	12.00	0.00	82.24
83	Univ of Rochester	Yellow Jacket Racing	OK	15.00	0.00	82.04
14	California State Poly Univ - Pomona	Bronco Racing	OK	12.00	0.00	81.86
75	San Diego State Univ	Aztec Baja	OK	11.00	0.00	80.91
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	12.00	0.00	80.58
81	Central Michigan Univ	Chippewa Performance	OK	15.00	0.00	79.02
15	Vellore Institute of Technology	Team Jaabaz	OK	15.00	0.00	78.93
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	12.00	10.00	77.53
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	15.00	0.00	77.26
6	Oregon State Univ	Beaver Racing	OK	8.00	0.00	76.48
20	Univ of Akron	Zips Baja	OK	10.00	0.00	74.96
149	Idaho State University	ISU Baja	OK	11.00	0.00	74.48
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	14.00	0.00	73.32
32	San Jose State University	Spartan Racing	OK	13.00	0.00	73.32
142	Rochester Institute of Technology	Tiger Racing	OK	13.00	10.00	72.68
9	Iowa State Univ	Cyclone Racing	OK	11.00	0.00	69.90
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	12.00	0.00	67.59
145	Fort Lewis College	X-treme team	OK	1.00	0.00	66.11
22	Oregon Inst of Tech	Oregon Tech Racing	OK	14.00	0.00	64.37
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	11.00	0.00	61.58
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	7.00	0.00	61.33
80	Concordia University	Concordia Baja Racing	OK	11.00	0.00	59.30
43	Univ of Tennessee - Martin	UTM Baja	OK	8.00	0.00	58.93
23	North Carolina A & T State Univ	Aggie Racing	OK	10.00	0.00	58.22
108	Georgia Institute of Technology	GT Off-Road	OK	12.00	0.00	56.19
65	Ohio Northern Univ	Polar Bear Racing	OK	14.00	10.00	52.50
30	Louisiana State Univ	Baja Bengals	OK	10.00	0.00	51.83
24	Bucknell Univ	Bucknell Motowerks	OK	10.00	0.00	51.45
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	9.00	0.00	49.30
110	Case Western Reserve Univ	CWRU Motorsports	OK	12.00	0.00	48.73
113	Univ of Arizona	University of Arizona Baja	OK	13.00	0.00	42.63
111	Buffalo State College	Buffalo State Motorsports	OK	15.00	0.00	41.48
69	Univ of Calif - Davis	Davis Racing - Baja	OK	11.00	0.00	36.06
39	Univ of San Diego	Torero Racing	OK	11.00	10.00	32.16
89	Western New England University	Golden Bear Racing	OK	6.00	0.00	26.53
41	LeTourneau Univ	Renegade Racing	OK	8.00	0.00	19.59
95	Utah State University	Aggies	OK	10.00	0.00	18.43
3	Rochester Institute of Technology	RIOT RACING	OK	15.00	0.00	15.00
5	Ecole De Technologie Superieure	ETS Motorsports	OK	15.00	0.00	15.00
7	Univ of Nebraska - Lincoln	Husker Racing	OK	15.00	0.00	15.00
15	Vellore Institute of Technology	Team Jaabaz	OK	15.00	0.00	15.00
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	15.00	0.00	15.00
81	Central Michigan Univ	Chippewa Performance	OK	15.00	0.00	15.00
83	Univ of Rochester	Yellow Jacket Racing	OK	15.00	0.00	15.00
111	Buffalo State College	Buffalo State Motorsports	OK	15.00	0.00	15.00
131	Alfred Univ	Saxon Racing	OK	15.00	0.00	15.00
131	Alfred Univ	Saxon Racing	OK	15.00	0.00	15.00
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	14.00	0.00	14.00
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	14.00	0.00	14.00
22	Oregon Inst of Tech	Oregon Tech Racing	OK	14.00	0.00	14.00
31	Univ of Calif - Los Angeles	Bruin Racing	OK	14.00	0.00	14.00
31	Univ of Calif - Los Angeles	Bruin Racing	OK	14.00	0.00	14.00
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	14.00	0.00	14.00
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	14.00	0.00	14.00
32	San Jose State University	Spartan Racing	OK	13.00	0.00	13.00
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	13.00	0.00	13.00
88	Interamerican Univ of Puerto Rico	Inter Baja Racing	OK	13.00	0.00	13.00
