Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00	140.00	0.00	140.00
5	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00	140.00	0.00	140.00
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	0.00	140.00	0.00	140.00
2	Cornell Univ	BIG RED RACING	OK	0.00	140.00	10.00	130.00
14	California State Poly Univ - Pomona	Bronco Racing	OK	0.00	130.00	0.00	130.00
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00	130.00	0.00	130.00
20	Univ of Akron	Zips Baja	OK	0.00	130.00	0.00	130.00
3	Rochester Institute of Technology	RIOT RACING	OK	0.00	120.00	0.00	120.00
6	Oregon State Univ	Beaver Racing	OK	0.00	120.00	0.00	120.00
9	Iowa State Univ	Cyclone Racing	OK	0.00	120.00	0.00	120.00
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00	120.00	0.00	120.00
80	Concordia University	Concordia Baja Racing	OK	0.00	120.00	0.00	120.00
85	California State Univ- Chico	Chico State Baja	OK	0.00	110.00	0.00	110.00
25	Johns Hopkins Univ	Blue Jay Racing	OK	0.00	100.00	0.00	100.00
110	Case Western Reserve Univ	CWRU Motorsports	OK	0.00	100.00	0.00	100.00
7	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00	90.00	0.00	90.00
31	Univ of Calif - Los Angeles	Bruin Racing	OK	0.00	90.00	0.00	90.00
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	0.00	90.00	0.00	90.00
83	Univ of Rochester	Yellow Jacket Racing	OK	0.00	90.00	0.00	90.00
15	Vellore Institute of Technology	Team Jaabaz	OK	0.00	80.00	0.00	80.00
43	Univ of Tennessee - Martin	UTM Baja	OK	0.00	80.00	0.00	80.00
49	Kansas State Univ	Wildcat Offroad	OK	0.00	80.00	0.00	80.00
59	Univ of Calif - Irvine	Anteater Racing	OK	0.00	80.00	0.00	80.00
89	Western New England University	Golden Bear Racing	OK	0.00	80.00	0.00	80.00
144	Harbin Institute of Technology	CSG-HRT Baja	OK	0.00	80.00	0.00	80.00
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	OK	0.00	70.00	0.00	70.00
23	North Carolina A & T State Univ	Aggie Racing	OK	0.00	70.00	0.00	70.00
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	0.00	70.00	0.00	70.00
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	0.00	70.00	0.00	70.00
40	California State Univ - Fullerton	Titan Racing Baja	OK	0.00	70.00	0.00	70.00
45	Virginia Tech	Virginia Tech Baja	OK	0.00	70.00	0.00	70.00
51	Universidad De La Salle Bajio	Bajio 1	OK	0.00	70.00	0.00	70.00
65	Ohio Northern Univ	Polar Bear Racing	OK	0.00	70.00	0.00	70.00
112	Rowan Univ	Rowan Motorsports	OK	0.00	70.00	0.00	70.00
117	McMaster Univ	McMaster Baja Racing	OK	0.00	70.00	0.00	70.00
131	Alfred Univ	Saxon Racing	OK	0.00	70.00	0.00	70.00
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	0.00	70.00	0.00	70.00
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	0.00	60.00	0.00	60.00
24	Bucknell Univ	Bucknell Motowerks	OK	0.00	60.00	0.00	60.00
58	Maharaja Agrasen Institute Of Tech	Team Jatayu	OK	0.00	60.00	0.00	60.00
108	Georgia Institute of Technology	GT Off-Road	OK	0.00	60.00	0.00	60.00
32	San Jose State University	Spartan Racing	OK	0.00	50.00	0.00	50.00
41	LeTourneau Univ	Renegade Racing	OK	0.00	50.00	0.00	50.00
42	Northern Arizona Univ	NAU Lumberjack Racing	OK	0.00	50.00	0.00	50.00
69	Univ of Calif - Davis	Davis Racing - Baja	OK	0.00	50.00	0.00	50.00
