Car No.	School Name	Team Name	Status	Time	Distance
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00000	227 Ft
2	Cornell Univ	BIG RED RACING	OK	0.00000	192 Ft
75	San Diego State Univ	Aztec Baja	OK	0.00000	210 Ft
5	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	113 Ft
25	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	187 Ft
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	120 Ft
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	0.00000	168 Ft
83	Univ of Rochester	Yellow Jacket Racing	OK	0.00000	177 Ft
22	Oregon Inst of Tech	Oregon Tech Racing	OK	0.00000	160 Ft
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	0.00000	156 Ft
85	California State Univ- Chico	Chico State Baja	OK	0.00000	183 Ft
20	Univ of Akron	Zips Baja	OK	0.00000	170 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00000	221 Ft
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	0.00000	193 Ft
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	0.00000	113 Ft
25	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	143 Ft
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	0.00000	153 Ft
85	California State Univ- Chico	Chico State Baja	OK	0.00000	196 Ft
49	Kansas State Univ	Wildcat Offroad	OK	0.00000	53 Ft
113	Univ of Arizona	University of Arizona Baja	OK	0.00000	100 Ft
83	Univ of Rochester	Yellow Jacket Racing	OK	0.00000	172 Ft
75	San Diego State Univ	Aztec Baja	OK	0.00000	211 Ft
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	85 Ft
111	Buffalo State College	Buffalo State Motorsports	OK	0.00000	33 Ft
2	Cornell Univ	BIG RED RACING	OK	0.00000	191 Ft
65	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	105 Ft
111	Buffalo State College	Buffalo State Motorsports	OK	0.00000	55 Ft
32	San Jose State University	Spartan Racing	OK	0.00000	89 Ft
89	Western New England University	Golden Bear Racing	OK	0.00000	211 Ft
65	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	22 Ft
32	San Jose State University	Spartan Racing	OK	0.00000	83 Ft
95	Utah State University	Aggies	OK	0.00000	149 Ft
95	Utah State University	Aggies	OK	0.00000	118 Ft
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00000	154 Ft
59	Univ of Calif - Irvine	Anteater Racing	OK	0.00000	212 Ft
51	Universidad De La Salle Bajio	Bajio 1	OK	0.00000	208 Ft
6	Oregon State Univ	Beaver Racing	OK	0.00000	213 Ft
142	Rochester Institute of Technology	Tiger Racing	OK	0.00000	148 Ft
20	Univ of Akron	Zips Baja	OK	0.00000	163 Ft
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	0.00000	109 Ft
89	Western New England University	Golden Bear Racing	OK	0.00000	221 Ft
40	California State Univ - Fullerton	Titan Racing Baja	OK	0.00000	146 Ft
9	Iowa State Univ	Cyclone Racing	OK	0.00000	177 Ft
14	California State Poly Univ - Pomona	Bronco Racing	OK	0.00000	149 Ft
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	0.00000	147 Ft
23	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	110 Ft
149	Idaho State University	ISU Baja	OK	0.00000	111 Ft
113	Univ of Arizona	University of Arizona Baja	OK	0.00000	134 Ft
40	California State Univ - Fullerton	Titan Racing Baja	OK	0.00000	105 Ft
59	Univ of Calif - Irvine	Anteater Racing	OK	0.00000	105 Ft
51	Universidad De La Salle Bajio	Bajio 1	OK	0.00000	201 Ft
110	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	148 Ft
134	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00000	144 Ft
108	Georgia Institute of Technology	GT Off-Road	OK	0.00000	71 Ft
49	Kansas State Univ	Wildcat Offroad	OK	0.00000	60 Ft
24	Bucknell Univ	Bucknell Motowerks	OK	0.00000	208 Ft
41	LeTourneau Univ	Renegade Racing	OK	0.00000	146 Ft
41	LeTourneau Univ	Renegade Racing	OK	0.00000	92 Ft
142	Rochester Institute of Technology	Tiger Racing	OK	0.00000	168 Ft
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	149 Ft
81	Central Michigan Univ	Chippewa Performance	OK	0.00000	111 Ft
5	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	89 Ft
9	Iowa State Univ	Cyclone Racing	OK	0.00000	172 Ft
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	0.00000	121 Ft
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	0.00000	189 Ft
110	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	140 Ft
24	Bucknell Univ	Bucknell Motowerks	OK	0.00000	188 Ft
117	McMaster Univ	McMaster Baja Racing	OK	0.00000	184 Ft
80	Concordia University	Concordia Baja Racing	OK	0.00000	80 Ft
117	McMaster Univ	McMaster Baja Racing	OK	0.00000	178 Ft
88	Interamerican Univ of Puerto Rico	Inter Baja Racing	OK	0.00000	39 Ft
74	Univ of Waterloo	UW Offroad Motorsports	OK	0.00000	107 Ft
144	Harbin Institute of Technology	CSG-HRT Baja	OK	0.00000	176 Ft
145	Fort Lewis College	X-treme team	OK	0.00000	58 Ft
145	Fort Lewis College	X-treme team	OK	0.00000	78 Ft
39	Univ of San Diego	Torero Racing	OK	0.00000	70 Ft
38	Keimyung University	Speeding	OK	0.00000	80 Ft
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	0.00000	110 Ft
38	Keimyung University	Speeding	OK	0.00000	76 Ft
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	0.00000	124 Ft
56	California State Univ - Long Beach	Long Beach Racing	OK	0.00000	209 Ft
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00000	118 Ft
108	Georgia Institute of Technology	GT Off-Road	OK	0.00000	122 Ft
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	0.00000	185 Ft
131	Alfred Univ	Saxon Racing	OK	0.00000	109 Ft
43	Univ of Tennessee - Martin	UTM Baja	OK	0.00000	61 Ft
7	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	67 Ft
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	0.00000	130 Ft
54	Seattle Pacific Univ	Falcon Racing	OK	0.00000	93 Ft
30	Louisiana State Univ	Baja Bengals	OK	0.00000	131 Ft
29	Colorado State University	Aggies Offroad Racing & Development	OK	0.00000	22 Ft
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	0.00000	91 Ft
43	Univ of Tennessee - Martin	UTM Baja	OK	0.00000	107 Ft
54	Seattle Pacific Univ	Falcon Racing	OK	0.00000	90 Ft
56	California State Univ - Long Beach	Long Beach Racing	OK	0.00000	112 Ft
22	Oregon Inst of Tech	Oregon Tech Racing	OK	0.00000	92 Ft
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	0.00000	88 Ft
131	Alfred Univ	Saxon Racing	OK	0.00000	110 Ft
39	Univ of San Diego	Torero Racing	OK	0.00000	88 Ft
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	0.00000	147 Ft
7	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	110 Ft
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	OK	0.00000	149 Ft
30	Louisiana State Univ	Baja Bengals	OK	0.00000	134 Ft
15	Vellore Institute of Technology	Team Jaabaz	OK	0.00000	50 Ft
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	OK	0.00000	208 Ft
125	Florida A&M Univ/Florida State Univ	F-Racing	OK	0.00000	116 Ft
74	Univ of Waterloo	UW Offroad Motorsports	OK	0.00000	117 Ft
125	Florida A&M Univ/Florida State Univ	F-Racing	OK	0.00000	80 Ft
6	Oregon State Univ	Beaver Racing	OK	0.00000	238 Ft
3	Rochester Institute of Technology	RIOT RACING	OK	0.00000	158 Ft
69	Univ of Calif - Davis	Davis Racing - Baja	OK	0.00000	91 Ft
69	Univ of Calif - Davis	Davis Racing - Baja	OK	0.00000	83 Ft
31	Univ of Calif - Los Angeles	Bruin Racing	OK	0.00000	95 Ft
31	Univ of Calif - Los Angeles	Bruin Racing	OK	0.00000	87 Ft
153	Bradley Univ	Bradley Motorsports	OK	0.00000	94 Ft
153	Bradley Univ	Bradley Motorsports	OK	0.00000	95 Ft
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	0 Ft
77	Lamar Univ	Lamar University Racing	OK	0.00000	72 Ft
42	Northern Arizona Univ	NAU Lumberjack Racing	OK	0.00000	119 Ft
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	0.00000	120 Ft
14	California State Poly Univ - Pomona	Bronco Racing	OK	0.00000	23 Ft
100	Univ of Puerto Rico-Mayaquez	RUM Racing Baja	OK	0.00000	25 Ft
81	Central Michigan Univ	Chippewa Performance	OK	0.00000	66 Ft
80	Concordia University	Concordia Baja Racing	OK	0.00000	15 Ft
45	Virginia Tech	Virginia Tech Baja	OK	0.00000	89 Ft
15	Vellore Institute of Technology	Team Jaabaz	OK	0.00000	60 Ft
12	Eastern Washington Univ	EWU Racing	OK	0.00000	51 Ft
