Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Cones
22	Oregon Inst of Tech	Oregon Tech Racing	DQ	0.00000	0.00000	0
22	Oregon Inst of Tech	Oregon Tech Racing	OK	72.71800	72.71800	0
5	Ecole De Technologie Superieure	ETS Motorsports	OK	71.07200	71.07200	0
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	DQ	0.00000	0.00000	0
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	80.64500	80.64500	0
69	Univ of Calif - Davis	Davis Racing - Baja	OK	108.46800	108.46800	0
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	65.87500	63.87500	1
83	Univ of Rochester	Yellow Jacket Racing	OK	72.73300	70.73300	1
95	Utah State University	Aggies	DQ	0.00000	0.00000	0
5	Ecole De Technologie Superieure	ETS Motorsports	OK	71.01200	67.01200	2
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	DQ	0.00000	0.00000	0
85	California State Univ- Chico	Chico State Baja	DQ	0.00000	0.00000	0
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	80.28900	80.28900	0
30	Louisiana State Univ	Baja Bengals	DQ	0.00000	0.00000	0
65	Ohio Northern Univ	Polar Bear Racing	DQ	0.00000	0.00000	0
111	Buffalo State College	Buffalo State Motorsports	DQ	0.00000	0.00000	0
110	Case Western Reserve Univ	CWRU Motorsports	OK	71.14300	69.14300	1
24	Bucknell Univ	Bucknell Motowerks	OK	91.54400	91.54400	0
6	Oregon State Univ	Beaver Racing	DQ	0.00000	0.00000	0
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	87.15500	83.15500	2
75	San Diego State Univ	Aztec Baja	OK	72.79100	68.79100	2
14	California State Poly Univ - Pomona	Bronco Racing	DQ	0.00000	0.00000	0
108	Georgia Institute of Technology	GT Off-Road	OK	88.41600	84.41600	2
65	Ohio Northern Univ	Polar Bear Racing	OK	78.84400	78.84400	0
24	Bucknell Univ	Bucknell Motowerks	OK	85.23000	85.23000	0
30	Louisiana State Univ	Baja Bengals	DQ	0.00000	0.00000	0
6	Oregon State Univ	Beaver Racing	OK	78.79400	76.79400	1
2	Cornell Univ	BIG RED RACING	OK	65.37000	65.37000	0
20	Univ of Akron	Zips Baja	OK	80.14400	78.14400	1
110	Case Western Reserve Univ	CWRU Motorsports	OK	68.72100	66.72100	1
75	San Diego State Univ	Aztec Baja	OK	71.42100	67.42100	2
85	California State Univ- Chico	Chico State Baja	DQ	0.00000	0.00000	0
111	Buffalo State College	Buffalo State Motorsports	OK	81.17500	79.17500	1
14	California State Poly Univ - Pomona	Bronco Racing	OK	71.73600	71.73600	0
32	San Jose State University	Spartan Racing	OK	77.43400	69.43400	4
2	Cornell Univ	BIG RED RACING	OK	67.59700	65.59700	1
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	62.79300	62.79300	0
95	Utah State University	Aggies	OK	121.28800	111.28800	5
20	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0
40	California State Univ - Fullerton	Titan Racing Baja	OK	71.70800	71.70800	0
32	San Jose State University	Spartan Racing	OK	71.73700	67.73700	2
83	Univ of Rochester	Yellow Jacket Racing	OK	72.29700	72.29700	0
15	Vellore Institute of Technology	Team Jaabaz	DQ	0.00000	0.00000	0
40	California State Univ - Fullerton	Titan Racing Baja	OK	68.09400	68.09400	0
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	103.55300	103.55300	0
49	Kansas State Univ	Wildcat Offroad	OK	77.08500	75.08500	1
49	Kansas State Univ	Wildcat Offroad	OK	74.98300	72.98300	1
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	93.85000	93.85000	0
74	Univ of Waterloo	UW Offroad Motorsports	DQ	0.00000	0.00000	0
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	112.34500	110.34500	1
74	Univ of Waterloo	UW Offroad Motorsports	OK	96.15000	96.15000	0
43	Univ of Tennessee - Martin	UTM Baja	OK	90.25100	86.25100	2
108	Georgia Institute of Technology	GT Off-Road	DQ	0.00000	0.00000	0
43	Univ of Tennessee - Martin	UTM Baja	OK	83.25000	83.25000	0
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	DQ	0.00000	0.00000	0
59	Univ of Calif - Irvine	Anteater Racing	OK	75.67000	75.67000	0
131	Alfred Univ	Saxon Racing	OK	88.36400	84.36400	2
64	Queen's Univ - Ontario Canada	Queen's Baja	DQ	0.00000	0.00000	0
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	83.90400	79.90400	2
117	McMaster Univ	McMaster Baja Racing	DQ	0.00000	0.00000	0
80	Concordia University	Concordia Baja Racing	OK	85.90500	81.90500	2
25	Johns Hopkins Univ	Blue Jay Racing	DQ	0.00000	0.00000	0
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	73.35400	71.35400	1
117	McMaster Univ	McMaster Baja Racing	DQ	0.00000	0.00000	0
23	North Carolina A & T State Univ	Aggie Racing	OK	81.73400	77.73400	2
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	DQ	0.00000	0.00000	0
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	68.01000	66.01000	1
23	North Carolina A & T State Univ	Aggie Racing	OK	76.40500	74.40500	1
149	Idaho State University	ISU Baja	DQ	0.00000	0.00000	0
81	Central Michigan Univ	Chippewa Performance	DQ	0.00000	0.00000	0
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	90.71400	90.71400	0
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	66.24600	66.24600	0
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	76.22600	72.22600	2
149	Idaho State University	ISU Baja	DQ	0.00000	0.00000	0
89	Western New England University	Golden Bear Racing	DQ	0.00000	0.00000	0
9	Iowa State Univ	Cyclone Racing	OK	85.85200	85.85200	0
