School Name, Car Number, Acceleration, Cost, Design, Hill, Maneuverability, Sales, Susp&Traction, Endurance, Overall
McMaster Univ, 24, 37.7490512334, 11.0, 50.0, 55.5200131234, 0, 33.5, 12.6379780797, 53.3333333333, 253.74037577
Univ of Kentucky - Paducah, 25, 0, 7.0, 0.0, 0, 0, 0.0, 0, 40.0, 47.0
Vellore Institute of Technology, 26, 37.1086337761, 15.0, 120.0, 62.9089219331, 26.4995321095, 37.75, 0, 66.6666666667, 365.933754485
Univ of Louisville, 27, 0, 63.42, 0.0, 0, 0, 0.0, 0, 0, 63.42
Purdue Univ - Calumet, 20, 0, 0.0, 20.0, 0, 0, 35.33, 0, 160.0, 215.33
Sanilac Career Center, 22, 38.8519924099, 3.0, 20.0, 72.1334185848, 7.24298354395, 16.25, 12.6379780797, 200.0, 370.116372618
Clarkson University, 23, 47.7822580645, 44.77, 50.0, 65.153362423, 58.2312596526, 28.0, 12.6379780797, 306.666666667, 613.241524887
Arizona State Univ Polytechnic, 29, 0, 94.86, 120.0, 0, 0, 44.67, 0, 0, 259.53
California State Poly Univ - Pomona, 4, 53.0479127135, 62.75, 140.0, 60.9380626575, 55.0652003561, 48.67, 8.17751522805, 320.0, 748.648690955
Johns Hopkins Univ, 8, 45.6475332068, 93.44, 100.0, 54.1808964781, 25.4644669471, 45.25, 9.66433617861, 53.3333333333, 426.980566144
Louisiana State Univ, 58, 54.3287476281, 79.37, 70.0, 65.1951971234, 40.1056367496, 43.75, 12.6379780797, 293.333333333, 658.720892914
Cairo University, 55, 25.8657495256, 7.0, 30.0, 55.831408776, 0, 44.0, 8.92092570333, 66.6666666667, 238.284750672
North Carolina A & T State Univ, 54, 61.1954459203, 58.17, 90.0, 56.0657095527, 9.04911709436, 46.5, 5.94728380222, 80.0, 406.92755637
Univ of Illinois - Chicago, 57, 0, 73.35, 60.0, 49.3175636293, 42.5801310094, 41.5, 11.8945676044, 320.0, 598.642262243
Michigan State Univ, 56, 44.1532258065, 0.0, 150.0, 15.4460688657, 39.247457034, 46.25, 13.381388555, 333.333333333, 641.811473594
West Virginia Univ, 51, 32.4833965844, 25.1, 70.0, 56.0842907645, 71.5592927625, 42.25, 48.6279139205, 253.333333333, 599.438227365
Virginia Western Comm Coll, 50, 50.9487666034, 74.76, 30.0, 21.3049225733, 42.9647142064, 35.75, 10.4077466539, 146.666666667, 412.802816704
Western Carolina Univ, 53, 0, 0.0, 20.0, 0, 0, 23.0, 0, 15.3333333333, 58.3333333333
Geneva College, 52, 25.5099620493, 49.54, 20.0, 70.7166736314, 22.9435640325, 25.25, 36.6196567317, 80.0, 330.579856445
SUNY - Buffalo, 115, 0, 14.0, 0.0, 0, 0, 42.75, 0, 0, 56.75
Univ of Tennessee -Chattanooga, 114, 0, 3.0, 0.0, 0, 0, 0.0, 0, 0, 3.0
Oklahoma Christian Univ, 88, 0, 10.0, 20.0, 0, 0, 39.75, 0, 0, 69.75
Univ of Southern Indiana, 89, 0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0.0
Northern Kentucky Univ, 110, 0, 52.15, 20.0, 60.784841954, 69.4263966342, 23.0, 9.66433617861, 226.666666667, 461.692241434
New Jersey Inst of Tech (Newark Coll), 82, 25.830170778, 10.0, 80.0, 62.6759259259, 18.9337801751, 43.25, 7.43410475278, 146.666666667, 394.790648298
Miami Univ, 83, 39.8481973435, 68.41, 60.0, 61.0406396537, 0, 32.0, 0, 80.0, 341.298836997
Univ of Alabama - Tuscaloosa, 80, 41.805028463, 21.87, 0.0, 75.0, 14.4610509658, 36.5, 12.6379780797, 200.0, 402.274057509
Missouri University of Science and Tech, 86, 25.1897533207, 72.57, 40.0, 66.7817679558, 3.60522972284, 27.5, 14.8682095056, 133.333333333, 383.848293838
Cleveland State Univ, 87, 22.8415559772, 3.0, 30.0, 65.7354654927, 44.0009205651, 34.0, 65.8844373193, 160.0, 425.462379354
Lipscomb Univ, 84, 18.8567362429, 52.99, 0.0, 54.0194722281, 12.0420949323, 27.0, 0, 320.0, 484.908303403
Instituto Tecnologico de Pachuca, 85, 0, 0.0, 50.0, 0, 0, 22.0, 0, 27.6666666667, 99.6666666667
