Car No.	School Name	Team Name	Status	Eval. Score	Final Score
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	46.00	46.00
3	Rochester Institute of Technology	RIOT RACING	OK	46.00	46.00
6	Oregon State Univ	Beaver Racing	OK	46.00	46.00
59	Univ of Calif - Irvine	Anteater Racing	OK	46.00	46.00
64	Queen's Univ - Ontario Canada	Queen's Baja	OK	46.00	46.00
110	Case Western Reserve Univ	CWRU Motorsports	OK	45.20	45.20
66	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	44.40	44.40
80	Concordia University	Concordia Baja Racing	OK	44.40	44.40
7	Univ of Nebraska - Lincoln	Husker Racing	OK	44.00	44.00
5	Ecole De Technologie Superieure	ETS Motorsports	OK	43.80	43.80
81	Central Michigan Univ	Chippewa Performance	OK	43.60	43.60
23	North Carolina A & T State Univ	Aggie Racing	OK	43.25	43.25
117	McMaster Univ	McMaster Baja Racing	OK	43.25	43.25
15	Vellore Institute of Technology	Team Jaabaz	OK	42.20	42.20
20	Univ of Akron	Zips Baja	OK	42.00	42.00
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	41.80	41.80
74	Univ of Waterloo	UW Offroad Motorsports	OK	41.80	41.80
89	Western New England University	Golden Bear Racing	OK	41.40	41.40
30	Louisiana State Univ	Baja Bengals	OK	40.75	40.75
69	Univ of Calif - Davis	Davis Racing - Baja	OK	40.50	40.50
9	Iowa State Univ	Cyclone Racing	OK	40.20	40.20
2	Cornell Univ	BIG RED RACING	OK	40.00	40.00
65	Ohio Northern Univ	Polar Bear Racing	OK	40.00	40.00
14	California State Poly Univ - Pomona	Bronco Racing	OK	39.40	39.40
113	Univ of Arizona	University of Arizona Baja	OK	38.80	38.80
58	Maharaja Agrasen Institute Of Tech	Team Jatayu	OK	38.25	38.25
12	Eastern Washington Univ	EWU Racing	OK	38.00	38.00
24	Bucknell Univ	Bucknell Motowerks	OK	37.80	37.80
83	Univ of Rochester	Yellow Jacket Racing	OK	37.80	37.80
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	37.75	37.75
22	Oregon Inst of Tech	Oregon Tech Racing	OK	37.50	37.50
75	San Diego State Univ	Aztec Baja	OK	37.40	37.40
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	37.00	37.00
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	37.00	37.00
112	Rowan Univ	Rowan Motorsports	OK	37.00	37.00
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	36.40	36.40
131	Alfred Univ	Saxon Racing	OK	36.40	36.40
125	Florida A&M Univ/Florida State Univ	F-Racing	OK	36.20	36.20
116	California State Univ - Fresno	Bulldog Racing	OK	36.00	36.00
43	Univ of Tennessee - Martin	UTM Baja	OK	35.80	35.80
45	Virginia Tech	Virginia Tech Baja	OK	35.80	35.80
51	Universidad De La Salle Bajio	Bajio 1	OK	35.80	35.80
