Car No.	School Name	Team Name	Status	Time	Distance
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	0.00000	1483 Ft
134	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00000	1036 Ft
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	103.52700	1500 Ft
22	Oregon Inst of Tech	Oregon Tech Racing	OK	0.00000	700 Ft
22	Oregon Inst of Tech	Oregon Tech Racing	OK	0.00000	703 Ft
65	Ohio Northern Univ	Polar Bear Racing	OK	120.73000	1500 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00000	700 Ft
32	San Jose State University	Spartan Racing	OK	0.00000	1258 Ft
6	Oregon State Univ	Beaver Racing	OK	90.61300	1500 Ft
95	Utah State University	Aggies	OK	0.00000	1266 Ft
95	Utah State University	Aggies	OK	0.00000	1265 Ft
111	Buffalo State College	Buffalo State Motorsports	OK	0.00000	313 Ft
40	California State Univ - Fullerton	Titan Racing Baja	OK	0.00000	313 Ft
85	California State Univ- Chico	Chico State Baja	OK	0.00000	1400 Ft
40	California State Univ - Fullerton	Titan Racing Baja	OK	89.12000	1500 Ft
111	Buffalo State College	Buffalo State Motorsports	OK	0.00000	313 Ft
24	Bucknell Univ	Bucknell Motowerks	OK	109.46300	1500 Ft
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	0.00000	1480 Ft
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	0.00000	1480 Ft
49	Kansas State Univ	Wildcat Offroad	OK	0.00000	1425 Ft
2	Cornell Univ	BIG RED RACING	OK	0.00000	1427 Ft
81	Central Michigan Univ	Chippewa Performance	OK	0.00000	313 Ft
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	0.00000	1421 Ft
6	Oregon State Univ	Beaver Racing	OK	82.88000	1500 Ft
49	Kansas State Univ	Wildcat Offroad	OK	0.00000	1433 Ft
5	Ecole De Technologie Superieure	ETS Motorsports	OK	91.93900	1500 Ft
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	95.91000	1500 Ft
63	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00000	1422 Ft
81	Central Michigan Univ	Chippewa Performance	OK	0.00000	313 Ft
83	Univ of Rochester	Yellow Jacket Racing	OK	134.64800	1500 Ft
24	Bucknell Univ	Bucknell Motowerks	OK	130.07700	1500 Ft
9	Iowa State Univ	Cyclone Racing	OK	0.00000	1400 Ft
108	Georgia Institute of Technology	GT Off-Road	OK	0.00000	1426 Ft
