Car Number	School Name	Team Name	Status	Time
3	Rochester Institute of Technology	RIOT RACING	OK	4.60400
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	4.78000
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	5.14800
63	Keimyung University	Speed Limit	OK	4.65200
24	Cornell Univ	BIG RED RACING	OK	4.50600
11	Northeastern Univ	Skunkworks	OK	5.07100
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	5.10200
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	5.03400
56	Universidad La Salle	Aguilas La Salle	OK	5.20300
42	Univ of Central Florida	The Knights who say Ni	OK	4.81900
12	North Carolina A & T State Univ	Aggie Racing	OK	5.47900
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	5.09200
11	Northeastern Univ	Skunkworks	OK	4.97700
4	Univ of Michigan - Ann Arbor	Maize	OK	4.19900
2	Univ of Louisville	Speed Motorsports	OK	4.59300
42	Univ of Central Florida	The Knights who say Ni	OK	4.85600
19	SUNY - Buffalo	UB Motorsports	OK	5.07400
58	Univ of Waterloo	UWaterloo Baja	OK	6.47200
16	Virginia Tech	VT Baja	OK	4.99500
63	Keimyung University	Speed Limit	OK	4.68600
18	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	5.35100
105	West Virginia Univ	Mountaineers	OK	4.81300
46	Univ of Calif - Los Angeles	UCLA Racing	OK	5.07600
30	Lamar Univ	Cardinal Racing	OK	5.52400
60	Purdue Univ - W Lafayette	Titan	OK	4.81700
16	Virginia Tech	VT Baja	OK	4.96300
29	Kansas State Univ	Wildcat Racing	OK	5.20800
105	West Virginia Univ	Mountaineers	OK	5.09800
30	Lamar Univ	Cardinal Racing	OK	5.43300
60	Purdue Univ - W Lafayette	Titan	OK	4.79600
10	Iowa State Univ	Cyclone Racing	OK	4.71400
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	5.31700
29	Kansas State Univ	Wildcat Racing	OK	5.25700
72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	5.02300
101	San Jose State University	Spartan Racing	OK	5.00400
7	Univ of Maryland - Baltimore County	Retriever Racing	OK	4.61600
25	Univ of Tennessee - Martin	Skyhawk Racing	OK	4.99900
50	Auburn Univ	War Eagle Motorsports	OK	4.84100
85	Oregon Inst of Tech	Oregon Tech Racing	OK	6.24600
81	Harding Univ	Bison Baja	OK	5.85500
25	Univ of Tennessee - Martin	Skyhawk Racing	OK	4.91800
85	Oregon Inst of Tech	Oregon Tech Racing	OK	6.31200
50	Auburn Univ	War Eagle Motorsports	OK	4.78000
23	ITESM - Campus QRO	Exergia Racing Team	OK	4.85700
7	Univ of Maryland - Baltimore County	Retriever Racing	OK	4.54900
74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	OK	5.67300
62	Louisiana State Univ	LSU Tiger Racing	OK	5.27100
6	Ecole De Technologie Superieure	ETS Motorsports	OK	4.73900
6	Ecole De Technologie Superieure	ETS Motorsports	OK	4.86600
62	Louisiana State Univ	LSU Tiger Racing	OK	5.35000
49	San Diego State Univ	Aztec Racing	OK	4.95500
73	Univ of Wyoming	Happy Jack Racing	OK	5.39700
19	SUNY - Buffalo	UB Motorsports	OK	4.93600
49	San Diego State Univ	Aztec Racing	OK	4.93700
73	Univ of Wyoming	Happy Jack Racing	OK	5.33200
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	5.07200
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.99000
101	San Jose State University	Spartan Racing	OK	5.12300
76	Univ of Kansas - Lawrence	KU SAE Baja	OK	4.98900
46	Univ of Calif - Los Angeles	UCLA Racing	OK	4.72700
76	Univ of Kansas - Lawrence	KU SAE Baja	OK	5.07800
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	5.29700
74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	OK	5.72300
103	Manhattan College	Jasper Racing	OK	6.09800
58	Univ of Waterloo	UWaterloo Baja	OK	6.25600
91	Univ of Tulsa	Tulsa Baja	OK	6.11200
103	Manhattan College	Jasper Racing	OK	5.70600
32	Universidad De La Salle Bajio	Bajio 1	OK	4.78100
32	Universidad De La Salle Bajio	Bajio 1	OK	4.74200
52	Universidad Autonoma Estado Mexico	Sara Juana	OK	5.04900
84	California State Univ - Los Angeles	Golden Eagle Motorsports	OK	5.04700
26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	4.78700
80	Christian Brothers Univ	Bucs	OK	6.16800
