Car Number	School Name	Team Name	Status	Report Score	Penalty Points	Final Score
4	Univ of Michigan - Ann Arbor	Maize	OK	15.00	0.00	93.00
7	Univ of Maryland - Baltimore County	Retriever Racing	OK	14.00	0.00	93.00
56	Universidad La Salle	Aguilas La Salle	OK	8.00	0.00	93.00
42	Univ of Central Florida	The Knights who say Ni	OK	14.00	0.00	90.00
35	Oregon State Univ	Beaver Racing	OK	15.00	0.00	89.00
63	Keimyung University	Speed Limit	OK	13.00	0.00	89.00
46	Univ of Calif - Los Angeles	UCLA Racing	OK	15.00	0.00	86.00
2	Univ of Louisville	Speed Motorsports	OK	14.00	0.00	85.00
32	Universidad De La Salle Bajio	Bajio 1	OK	12.00	0.00	85.00
11	Northeastern Univ	Skunkworks	OK	15.00	0.00	84.00
24	Cornell Univ	BIG RED RACING	OK	15.00	0.00	84.00
29	Kansas State Univ	Wildcat Racing	OK	13.00	0.00	84.00
49	San Diego State Univ	Aztec Racing	OK	15.00	0.00	84.00
39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	11.00	0.00	83.00
23	ITESM - Campus QRO	Exergia Racing Team	OK	8.00	0.00	82.00
26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	13.00	0.00	82.00
72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	13.00	0.00	82.00
1	McGill Univ	McGill Baja Racing	OK	12.00	0.00	81.00
25	Univ of Tennessee - Martin	Skyhawk Racing	OK	12.00	0.00	78.00
19	SUNY - Buffalo	UB Motorsports	OK	10.00	0.00	76.00
6	Ecole De Technologie Superieure	ETS Motorsports	OK	13.00	0.00	74.00
36	Universite Laval	Alerion	OK	15.00	10.00	74.00
84	California State Univ - Los Angeles	Golden Eagle Motorsports	OK	13.00	0.00	74.00
12	North Carolina A & T State Univ	Aggie Racing	OK	14.00	0.00	73.00
40	New Mexico State Univ	NMSU Motorsports	OK	15.00	0.00	73.00
52	Universidad Autonoma Estado Mexico	Sara Juana	OK	10.00	10.00	72.00
93	North Dakota State Univ	Bison Motorsports	OK	14.00	0.00	72.00
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	6.00	0.00	71.00
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	11.00	0.00	71.00
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.00	10.00	71.00
74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	OK	13.00	0.00	70.00
16	Virginia Tech	VT Baja	OK	11.00	0.00	69.00
3	Rochester Institute of Technology	RIOT RACING	OK	8.00	0.00	68.00
55	Univ of Pretoria	TuksBaja	OK	6.00	0.00	68.00
73	Univ of Wyoming	Happy Jack Racing	OK	12.00	0.00	67.00
43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	5.00	0.00	64.00
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	10.00	0.00	63.00
60	Purdue Univ - W Lafayette	Titan	OK	13.00	0.00	63.00
82	Univ of Alaska - Anchorage	Midnight Sun Racing	OK	5.00	0.00	62.00
10	Iowa State Univ	Cyclone Racing	OK	15.00	10.00	60.00
58	Univ of Waterloo	UWaterloo Baja	OK	13.00	0.00	60.00
80	Christian Brothers Univ	Bucs	OK	5.00	0.00	60.00
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	8.00	0.00	59.00
76	Univ of Kansas - Lawrence	KU SAE Baja	OK	6.00	0.00	59.00
105	West Virginia Univ	Mountaineers	OK	2.00	0.00	59.00
15	Univ of Texas - Pan American	UTPA Baja Racing	OK	11.00	0.00	56.00
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	5.00	0.00	56.00
18	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	11.00	0.00	53.00
30	Lamar Univ	Cardinal Racing	OK	4.00	0.00	53.00
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	3.00	20.00	50.00
91	Univ of Tulsa	Tulsa Baja	OK	4.00	0.00	49.00
101	San Jose State University	Spartan Racing	OK	10.00	0.00	41.00
62	Louisiana State Univ	LSU Tiger Racing	OK	3.00	10.00	36.00
98	Gonzaga Universtity	Gonzaga	OK	6.00	0.00	34.00
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	7.00	10.00	32.00
13	Univ of Nebraska - Lincoln	Husker Racing	OK	15.00	0.00	15.00
44	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	13.00	0.00	13.00
17	Cetys Universidad	Z7	OK	12.00	0.00	12.00
21	Vellore Institute of Technology	Team Jaabaz	OK	12.00	0.00	12.00
31	California State Poly Univ - Pomona	Bronco Racing	OK	12.00	0.00	12.00
104	Boise State Univ	Boise State Motorsports	OK	11.00	0.00	11.00
110	San Diego State Univ	SDSU Baja	OK	10.00	0.00	10.00
37	Univ of Puerto Rico	RUM Racing Baja	OK	9.00	0.00	9.00
48	Milwaukee School of Engrg	Nuclear Fallout	OK	9.00	0.00	9.00
111	Brigham Young Univ	BYU Jr. Baja	OK	9.00	0.00	9.00
88	Univ of Helwan	BHU	OK	7.00	0.00	7.00
113	Universidad de Carabobo	Organizacion SAE UC Venezuela	OK	7.00	0.00	7.00
33	George Washington Univ	Geoff	OK	6.00	0.00	6.00
50	Auburn Univ	War Eagle Motorsports	OK	12.00	70.00	6.00
108	New Mexico State Univ	NMSU Motorsports II	OK	6.00	0.00	6.00
109	Univ of Nebraska - Lincoln	Shake 'N' Bake Racing	OK	6.00	0.00	6.00
85	Oregon Inst of Tech	Oregon Tech Racing	OK	4.00	0.00	4.00
89	Rayat Bahra Inst Of Eng	Indus Pride	OK	4.00	0.00	4.00
106	Northern Arizona Univ	NAU	OK	4.00	0.00	4.00
22	Univ of Rhode Island	URI Motorsports	OK	3.00	0.00	3.00
77	Intituto Tecnologico de CD Cuauhtemoc	Daram	OK	3.00	0.00	3.00
79	Univ of Missouri	Mizzou Baja	OK	3.00	0.00	3.00
99	Idaho State University	Bengals Racing	OK	3.00	0.00	3.00
102	US Military Academy	West Point Mini Baja	OK	2.00	0.00	2.00
28	Cairo University	BCURT	OK	0.00	100.00	0.00
34	Univ of Texas - El Paso	Mad Pete Motorsports	OK	2.00	10.00	0.00
41	Georgia Institute of Technology	GT Offroad	OK	0.00	0.00	0.00
45	Univ of Houston - College of Tech	LEVEL	OK	0.00	0.00	0.00
51	Embry-Riddle Aero Univ - Daytona Beach	Lady Eagles	OK	7.00	70.00	0.00
53	Western Washington Univ	WWU Racing	OK	0.00	10.00	0.00
54	Wichita State Univ	Shocker Racing	OK	0.00	70.00	0.00
57	Delhi Technological Univ	Deltech Baja	OK	5.00	10.00	0.00
59	University of Vermont	Vermontsters	OK	0.00	0.00	0.00
61	Gautam Buddha University	VAJRAYANA	OK	0.00	0.00	0.00
66	Universidad La Salle Cuernavaca	Gallos ULSAC	OK	0.00	0.00	0.00
67	Universidad La Salle Pachuca	Halcones	OK	0.00	0.00	0.00
68	Khalifa University	KU Racers	OK	0.00	0.00	0.00
69	PSG College of Technology	baja bhais	OK	0.00	0.00	0.00
70	Louisiana Tech Univ	Mud Dawg Racing	OK	0.00	0.00	0.00
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	1.00	10.00	0.00
75	ESIA Tlalnepantla	Leones Blancos	OK	0.00	0.00	0.00
78	Cegep de Sherbrooke	Baja Cegep de Sherbrooke	OK	0.00	100.00	0.00
81	Harding Univ	Bison Baja	OK	0.00	0.00	0.00
83	Universidad Technologica de Ciudad Juarez	TOROS BRAVOS	OK	0.00	0.00	0.00
86	Univ of Calif - Davis	Davis Baja	OK	11.00	100.00	0.00
87	Sanilac Career Center	ADD racing	OK	0.00	0.00	0.00
90	Alfred State College	Pioneer Racing	OK	0.00	0.00	0.00
92	Ohio State Univ	Buckeye Baja	OK	0.00	0.00	0.00
97	Lovely Professional University	Illuminati Racers	OK	0.00	10.00	0.00
103	Manhattan College	Jasper Racing	OK	6.00	90.00	0.00
107	Univ of Texas - El Paso	Mad Pete Motorsports II	OK	3.00	10.00	0.00
114	Olympic College	Olympic College Baja Extreme	OK	3.00	20.00	0.00
116	Univ of Science & Tech of Iran	sorena	OK	0.00	0.00	0.00
115	Texas A&M - Kingsville	Javelina Motorsports	OK	0.00	0.00	0.00
