Car Number	School Name	Team Name	Status	Report Score	Evaluation Score	Bonus Points	Penalty Points	Final Score
1	McGill Univ	McGill Baja Racing	OK	0.00	130.00	0.00	0.00	130.00
2	Univ of Louisville	Speed Motorsports	OK	0.00	120.00	0.00	0.00	120.00
3	Rochester Institute of Technology	RIOT RACING	OK	0.00	130.00	0.00	0.00	130.00
4	Univ of Michigan - Ann Arbor	Maize	OK	0.00	130.00	0.00	0.00	130.00
6	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00	130.00	0.00	0.00	130.00
7	Univ of Maryland - Baltimore County	Retriever Racing	OK	0.00	110.00	0.00	0.00	110.00
10	Iowa State Univ	Cyclone Racing	OK	0.00	110.00	0.00	0.00	110.00
11	Northeastern Univ	Skunkworks	OK	0.00	110.00	0.00	0.00	110.00
12	North Carolina A & T State Univ	Aggie Racing	OK	0.00	100.00	0.00	0.00	100.00
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	0.00	60.00	0.00	0.00	60.00
13	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00	80.00	0.00	0.00	80.00
15	Univ of Texas - Pan American	UTPA Baja Racing	OK	0.00	60.00	0.00	0.00	60.00
16	Virginia Tech	VT Baja	OK	0.00	110.00	0.00	0.00	110.00
17	Cetys Universidad	Z7	OK	0.00	50.00	0.00	0.00	50.00
18	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00	70.00	0.00	0.00	70.00
19	SUNY - Buffalo	UB Motorsports	OK	0.00	110.00	0.00	0.00	110.00
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	0.00	90.00	0.00	0.00	90.00
21	Vellore Institute of Technology	Team Jaabaz	OK	0.00	40.00	0.00	0.00	40.00
22	Univ of Rhode Island	URI Motorsports	OK	0.00	70.00	0.00	0.00	70.00
23	ITESM - Campus QRO	Exergia Racing Team	OK	0.00	60.00	0.00	0.00	60.00
24	Cornell Univ	BIG RED RACING	OK	0.00	130.00	0.00	0.00	130.00
25	Univ of Tennessee - Martin	Skyhawk Racing	OK	0.00	100.00	0.00	0.00	100.00
26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00	90.00	0.00	0.00	90.00
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	0.00	90.00	0.00	0.00	90.00
28	Cairo University	BCURT	OK	0.00	70.00	0.00	0.00	70.00
29	Kansas State Univ	Wildcat Racing	OK	0.00	70.00	0.00	0.00	70.00
30	Lamar Univ	Cardinal Racing	OK	0.00	70.00	0.00	0.00	70.00
31	California State Poly Univ - Pomona	Bronco Racing	OK	0.00	0.00	0.00	0.00	0.00
32	Universidad De La Salle Bajio	Bajio 1	OK	0.00	90.00	0.00	0.00	90.00
33	George Washington Univ	Geoff	OK	0.00	0.00	0.00	0.00	0.00
34	Univ of Texas - El Paso	Mad Pete Motorsports	OK	0.00	0.00	0.00	0.00	0.00
35	Oregon State Univ	Beaver Racing	OK	0.00	130.00	0.00	0.00	130.00
36	Universite Laval	Alerion	OK	0.00	120.00	0.00	0.00	120.00
37	Univ of Puerto Rico	RUM Racing Baja	OK	0.00	60.00	0.00	0.00	60.00
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	0.00	110.00	0.00	0.00	110.00
40	New Mexico State Univ	NMSU Motorsports	OK	0.00	70.00	0.00	0.00	70.00
41	Georgia Institute of Technology	GT Offroad	OK	0.00	0.00	0.00	0.00	0.00
42	Univ of Central Florida	The Knights who say Ni	OK	0.00	90.00	0.00	0.00	90.00
43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	0.00	80.00	0.00	0.00	80.00
44	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	0.00	60.00	0.00	0.00	60.00
45	Univ of Houston - College of Tech	LEVEL	OK	0.00	0.00	0.00	0.00	0.00
46	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00	90.00	0.00	0.00	90.00
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00	50.00	0.00	0.00	50.00
48	Milwaukee School of Engrg	Nuclear Fallout	OK	0.00	50.00	0.00	0.00	50.00
49	San Diego State Univ	Aztec Racing	OK	0.00	90.00	0.00	0.00	90.00
50	Auburn Univ	War Eagle Motorsports	OK	0.00	100.00	0.00	0.00	100.00
51	Embry-Riddle Aero Univ - Daytona Beach	Lady Eagles	OK	0.00	50.00	0.00	0.00	50.00
52	Universidad Autonoma Estado Mexico	Sara Juana	OK	0.00	30.00	0.00	0.00	30.00
55	Univ of Pretoria	TuksBaja	OK	0.00	110.00	0.00	0.00	110.00
54	Wichita State Univ	Shocker Racing	OK	0.00	70.00	0.00	0.00	70.00
56	Universidad La Salle	Aguilas La Salle	OK	0.00	100.00	0.00	0.00	100.00
59	University of Vermont	Vermontsters	OK	0.00	0.00	0.00	0.00	0.00
58	Univ of Waterloo	UWaterloo Baja	OK	0.00	70.00	0.00	0.00	70.00
60	Purdue Univ - W Lafayette	Titan	OK	0.00	80.00	0.00	0.00	80.00
62	Louisiana State Univ	LSU Tiger Racing	OK	0.00	0.00	0.00	0.00	0.00
63	Keimyung University	Speed Limit	OK	0.00	80.00	0.00	0.00	80.00
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00	0.00	0.00	0.00	0.00
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00	50.00	0.00	0.00	50.00
66	Universidad La Salle Cuernavaca	Gallos ULSAC	OK	0.00	0.00	0.00	0.00	0.00
67	Universidad La Salle Pachuca	Halcones	OK	0.00	0.00	0.00	0.00	0.00
70	Louisiana Tech Univ	Mud Dawg Racing	OK	0.00	70.00	0.00	0.00	70.00
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	0.00	70.00	0.00	0.00	70.00
73	Univ of Wyoming	Happy Jack Racing	OK	0.00	60.00	0.00	0.00	60.00
72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00	120.00	0.00	0.00	120.00
74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	OK	0.00	80.00	0.00	0.00	80.00
75	ESIA Tlalnepantla	Leones Blancos	OK	0.00	0.00	0.00	0.00	0.00
77	Intituto Tecnologico de CD Cuauhtemoc	Daram	OK	0.00	30.00	0.00	0.00	30.00
76	Univ of Kansas - Lawrence	KU SAE Baja	OK	0.00	50.00	0.00	0.00	50.00
79	Univ of Missouri	Mizzou Baja	OK	0.00	0.00	0.00	0.00	0.00
80	Christian Brothers Univ	Bucs	OK	0.00	0.00	0.00	0.00	0.00
82	Univ of Alaska - Anchorage	Midnight Sun Racing	OK	0.00	60.00	0.00	0.00	60.00
81	Harding Univ	Bison Baja	OK	0.00	50.00	0.00	0.00	50.00
83	Universidad Technologica de Ciudad Juarez	TOROS BRAVOS	OK	0.00	0.00	0.00	0.00	0.00
84	California State Univ - Los Angeles	Golden Eagle Motorsports	OK	0.00	60.00	0.00	0.00	60.00
85	Oregon Inst of Tech	Oregon Tech Racing	OK	0.00	60.00	0.00	0.00	60.00
86	Univ of Calif - Davis	Davis Baja	OK	0.00	30.00	0.00	0.00	30.00
88	Univ of Helwan	BHU	OK	0.00	60.00	0.00	0.00	60.00
89	Rayat Bahra Inst Of Eng	Indus Pride	OK	0.00	80.00	0.00	0.00	80.00
90	Alfred State College	Pioneer Racing	OK	0.00	80.00	0.00	0.00	80.00
91	Univ of Tulsa	Tulsa Baja	OK	0.00	30.00	0.00	0.00	30.00
93	North Dakota State Univ	Bison Motorsports	OK	0.00	60.00	0.00	0.00	60.00
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	0.00	50.00	0.00	0.00	50.00
98	Gonzaga Universtity	Gonzaga	OK	0.00	40.00	0.00	0.00	40.00
97	Lovely Professional University	Illuminati Racers	OK	0.00	0.00	0.00	0.00	0.00
99	Idaho State University	Bengals Racing	OK	0.00	50.00	0.00	0.00	50.00
101	San Jose State University	Spartan Racing	OK	0.00	40.00	0.00	0.00	40.00
103	Manhattan College	Jasper Racing	OK	0.00	30.00	0.00	0.00	30.00
