Current Position	Car Number	School Name	Team Name	# of Laps
1	10	Iowa State Univ	Cyclone Racing	44
2	35	Oregon State Univ	Beaver Racing	44
3	1	McGill Univ	McGill Baja Racing	44
4	24	Cornell Univ	BIG RED RACING	43
5	3	Rochester Institute of Technology	RIOT RACING	43
6	16	Virginia Tech	VT Baja	41
7	11	Northeastern Univ	Skunkworks	41
8	20	Univ of Wisconsin - Milwaukee	UWM BAJA	40
9	29	Kansas State Univ	Wildcat Racing	39
10	23	ITESM - Campus QRO	Exergia Racing Team	39
11	60	Purdue Univ - W Lafayette	Titan	39
12	72	California Polytechnic State Univ-SLO	Cal Poly Racing	38
13	19	SUNY - Buffalo	UB Motorsports	38
14	46	Univ of Calif - Los Angeles	UCLA Racing	37
15	105	West Virginia Univ	Mountaineers	37
16	55	Univ of Pretoria	TuksBaja	36
17	4	Univ of Michigan - Ann Arbor	Maize	36
18	84	California State Univ - Los Angeles	Golden Eagle Motorsports	33
19	49	San Diego State Univ	Aztec Racing	32
20	6	Ecole De Technologie Superieure	ETS Motorsports	32
21	93	North Dakota State Univ	Bison Motorsports	31
22	22	Univ of Rhode Island	URI Motorsports	31
23	38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	29
24	7	Univ of Maryland - Baltimore County	Retriever Racing	28
25	73	Univ of Wyoming	Happy Jack Racing	28
26	58	Univ of Waterloo	UWaterloo Baja	28
27	96	California State Univ - Fresno	Fresno State Bulldog Racing	27
28	65	Universidad Autonoma de Ciudad Juarez	Indios Racing	27
29	12	North Carolina A & T State Univ	Aggie Racing	26
30	2	Univ of Louisville	Speed Motorsports	26
31	30	Lamar Univ	Cardinal Racing	25
32	14	New Mexico Inst of Mining & Tech	Dirty Miners	24
33	75	ESIA Tlalnepantla	Leones Blancos	24
34	36	Universite Laval	Alerion	24
35	40	New Mexico State Univ	NMSU Motorsports	23
36	56	Universidad La Salle	Aguilas La Salle	23
37	50	Auburn Univ	War Eagle Motorsports	21
38	42	Univ of Central Florida	The Knights who say Ni	21
