Car Number	School Name	Team Name	Status	Time	Distance
36	Universite Laval	Alerion	OK	0.00000	115 Feet
10	Iowa State Univ	Cyclone Racing	OK	0.00000	128 Feet
72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	115 Feet
36	Universite Laval	Alerion	OK	0.00000	123 Feet
2	Univ of Louisville	Speed Motorsports	OK	0.00000	123 Feet
46	Univ of Calif - Los Angeles	UCLA Racing	OK	20.47000	140 Feet
10	Iowa State Univ	Cyclone Racing	OK	0.00000	112 Feet
11	Northeastern Univ	Skunkworks	OK	0.00000	102 Feet
2	Univ of Louisville	Speed Motorsports	OK	0.00000	94 Feet
56	Universidad La Salle	Aguilas La Salle	OK	0.00000	63 Feet
42	Univ of Central Florida	The Knights who say Ni	OK	0.00000	37 Feet
4	Univ of Michigan - Ann Arbor	Maize	OK	0.00000	122 Feet
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	0.00000	63 Feet
72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	71 Feet
11	Northeastern Univ	Skunkworks	OK	0.00000	66 Feet
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	0.00000	130 Feet
50	Auburn Univ	War Eagle Motorsports	OK	0.00000	124 Feet
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	0.00000	70 Feet
19	SUNY - Buffalo	UB Motorsports	OK	0.00000	64 Feet
58	Univ of Waterloo	UWaterloo Baja	OK	0.00000	111 Feet
63	Keimyung University	Speed Limit	OK	0.00000	35 Feet
42	Univ of Central Florida	The Knights who say Ni	OK	0.00000	67 Feet
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	0.00000	65 Feet
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	65 Feet
60	Purdue Univ - W Lafayette	Titan	OK	43.31000	140 Feet
12	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	64 Feet
16	Virginia Tech	VT Baja	OK	0.00000	126 Feet
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	0.00000	67 Feet
30	Lamar Univ	Cardinal Racing	OK	0.00000	65 Feet
19	SUNY - Buffalo	UB Motorsports	OK	0.00000	69 Feet
