Car Number	School Name	Team Name	Status	Evaluation Score	Penalty Points	Final Score
1	McGill Univ	McGill Baja Racing	OK	42.33	0.00	42.33
2	Univ of Louisville	Speed Motorsports	OK	43.67	0.00	43.67
3	Rochester Institute of Technology	RIOT RACING	OK	38.50	0.00	38.50
6	Ecole De Technologie Superieure	ETS Motorsports	OK	43.00	0.00	43.00
4	Univ of Michigan - Ann Arbor	Maize	OK	44.00	0.00	44.00
7	Univ of Maryland - Baltimore County	Retriever Racing	OK	34.75	0.00	34.75
10	Iowa State Univ	Cyclone Racing	OK	40.25	0.00	40.25
12	North Carolina A & T State Univ	Aggie Racing	OK	45.00	0.00	45.00
11	Northeastern Univ	Skunkworks	OK	36.75	0.00	36.75
13	Univ of Nebraska - Lincoln	Husker Racing	OK	38.67	0.00	38.67
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	32.67	0.00	32.67
15	Univ of Texas - Pan American	UTPA Baja Racing	OK	33.33	0.00	33.33
16	Virginia Tech	VT Baja	OK	37.67	0.00	37.67
17	Cetys Universidad	Z7	OK	32.67	0.00	32.67
18	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	35.00	0.00	35.00
19	SUNY - Buffalo	UB Motorsports	OK	27.33	0.00	27.33
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	30.33	0.00	30.33
21	Vellore Institute of Technology	Team Jaabaz	OK	33.67	0.00	33.67
22	Univ of Rhode Island	URI Motorsports	OK	16.67	0.00	16.67
23	ITESM - Campus QRO	Exergia Racing Team	OK	39.00	0.00	39.00
24	Cornell Univ	BIG RED RACING	OK	49.67	0.00	49.67
25	Univ of Tennessee - Martin	Skyhawk Racing	OK	38.00	0.00	38.00
26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	37.33	0.00	37.33
28	Cairo University	BCURT	OK	0.00	0.00	0.00
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	47.00	0.00	47.00
29	Kansas State Univ	Wildcat Racing	OK	46.00	0.00	46.00
30	Lamar Univ	Cardinal Racing	OK	37.75	0.00	37.75
31	California State Poly Univ - Pomona	Bronco Racing	OK	40.00	0.00	40.00
32	Universidad De La Salle Bajio	Bajio 1	OK	36.75	0.00	36.75
33	George Washington Univ	Geoff	OK	0.00	0.00	0.00
34	Univ of Texas - El Paso	Mad Pete Motorsports	OK	25.50	0.00	25.50
35	Oregon State Univ	Beaver Racing	OK	49.75	0.00	49.75
36	Universite Laval	Alerion	OK	46.25	0.00	46.25
37	Univ of Puerto Rico	RUM Racing Baja	OK	30.67	0.00	30.67
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	45.33	0.00	45.33
39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	43.33	0.00	43.33
40	New Mexico State Univ	NMSU Motorsports	OK	36.00	0.00	36.00
41	Georgia Institute of Technology	GT Offroad	OK	0.00	0.00	0.00
42	Univ of Central Florida	The Knights who say Ni	OK	31.67	0.00	31.67
43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	16.33	0.00	16.33
44	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	38.33	0.00	38.33
45	Univ of Houston - College of Tech	LEVEL	OK	0.00	0.00	0.00
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	46.00	0.00	46.00
46	Univ of Calif - Los Angeles	UCLA Racing	OK	50.00	0.00	50.00
48	Milwaukee School of Engrg	Nuclear Fallout	OK	34.00	0.00	34.00
49	San Diego State Univ	Aztec Racing	OK	43.33	0.00	43.33
50	Auburn Univ	War Eagle Motorsports	OK	45.67	0.00	45.67
51	Embry-Riddle Aero Univ - Daytona Beach	Lady Eagles	OK	39.67	0.00	39.67
52	Universidad Autonoma Estado Mexico	Sara Juana	OK	31.00	0.00	31.00
53	Western Washington Univ	WWU Racing	OK	0.00	0.00	0.00
54	Wichita State Univ	Shocker Racing	OK	36.00	0.00	36.00
55	Univ of Pretoria	TuksBaja	OK	45.00	0.00	45.00
56	Universidad La Salle	Aguilas La Salle	OK	35.33	0.00	35.33
57	Delhi Technological Univ	Deltech Baja	OK	0.00	0.00	0.00
58	Univ of Waterloo	UWaterloo Baja	OK	38.33	0.00	38.33
59	University of Vermont	Vermontsters	OK	0.00	0.00	0.00
60	Purdue Univ - W Lafayette	Titan	OK	45.00	0.00	45.00
62	Louisiana State Univ	LSU Tiger Racing	OK	37.00	0.00	37.00
61	Gautam Buddha University	VAJRAYANA	OK	0.00	0.00	0.00
63	Keimyung University	Speed Limit	OK	24.67	0.00	24.67
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00	0.00	0.00
66	Universidad La Salle Cuernavaca	Gallos ULSAC	OK	0.00	0.00	0.00
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	30.00	0.00	30.00
67	Universidad La Salle Pachuca	Halcones	OK	37.75	0.00	37.75
68	Khalifa University	KU Racers	OK	0.00	0.00	0.00
69	PSG College of Technology	baja bhais	OK	0.00	0.00	0.00
70	Louisiana Tech Univ	Mud Dawg Racing	OK	36.50	0.00	36.50
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	31.00	0.00	31.00
