Car Number	School Name	Team Name	Status	Adjusted Time	Raw Time	Penalties	Distance
24	Cornell Univ	BIG RED RACING	OK	0.00000	0.00000	0	141 Feet
24	Cornell Univ	BIG RED RACING	OK	42.80000	40.80000	1	590 Feet
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	0.00000	0.00000	0	158 Feet
30	Lamar Univ	Cardinal Racing	OK	0.00000	0.00000	1	288 Feet
30	Lamar Univ	Cardinal Racing	OK	0.00000	0.00000	1	294 Feet
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	0.00000	0.00000	2	398 Feet
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	0.00000	0.00000	0	192 Feet
46	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00000	0.00000	0	148 Feet
46	Univ of Calif - Los Angeles	UCLA Racing	OK	54.06000	48.06000	3	590 Feet
50	Auburn Univ	War Eagle Motorsports	OK	50.62000	44.62000	3	590 Feet
10	Iowa State Univ	Cyclone Racing	OK	0.00000	0.00000	0	311 Feet
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	0.00000	0.00000	1	374 Feet
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	0.00000	0.00000	1	289 Feet
80	Christian Brothers Univ	Bucs	OK	0.00000	0.00000	0	132 Feet
10	Iowa State Univ	Cyclone Racing	OK	0.00000	0.00000	3	491 Feet
35	Oregon State Univ	Beaver Racing	OK	44.91000	38.91000	3	590 Feet
35	Oregon State Univ	Beaver Racing	OK	47.97000	37.97000	5	590 Feet
29	Kansas State Univ	Wildcat Racing	OK	60.69000	54.69000	3	590 Feet
29	Kansas State Univ	Wildcat Racing	OK	0.00000	0.00000	1	289 Feet
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	76.72000	70.72000	3	590 Feet
11	Northeastern Univ	Skunkworks	OK	0.00000	0.00000	1	186 Feet
56	Universidad La Salle	Aguilas La Salle	OK	0.00000	0.00000	2	398 Feet
101	San Jose State University	Spartan Racing	OK	76.66000	66.66000	5	590 Feet
47	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	0.00000	2	414 Feet
11	Northeastern Univ	Skunkworks	OK	0.00000	0.00000	0	388 Feet
56	Universidad La Salle	Aguilas La Salle	OK	0.00000	0.00000	2	289 Feet
