Car No.	School Name	Team Name	Status	Time
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	4.42400
43	Clemson Univ	CUBaja Racing	OK	4.23600
117	Tennessee Tech Univ	TTU Baja	OK	4.38500
117	Tennessee Tech Univ	TTU Baja	OK	4.36400
37	Government College of Engrg Pune	Team Nemesis Racing	OK	3.80400
18	Miami Univ	Redhawk Racing	OK	4.57000
37	Government College of Engrg Pune	Team Nemesis Racing	OK	3.84700
18	Miami Univ	Redhawk Racing	OK	4.59300
6	Iowa State Univ	Cyclone Racing	OK	4.07300
102	Central Michigan Univ	Chippewa Performance	OK	4.40600
8	Ecole De Technologie Superieure	ETS Motorsports	OK	4.23800
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	4.56800
102	Central Michigan Univ	Chippewa Performance	OK	4.41000
138	Univ of Memphis	Tiger Baja	OK	4.94700
5	Polytechnique Montréal	poly mud bees	OK	4.35500
24	Cleveland State Univ	Vikings Racing	OK	4.60400
24	Cleveland State Univ	Vikings Racing	OK	4.78400
10	Ohio Northern Univ	Polar Bear Racing	OK	5.07400
49	Univ of Central Florida	Knights Racing	OK	25.49800
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	4.40500
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	4.20500
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	4.14000
75	McGill Univ	McGill Baja Racing Team	OK	4.05400
17	York College of Pennsylvania	YC Racing	OK	4.54800
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	4.32000
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	4.09400
57	SUNY - Buffalo	UB Motorsports	OK	4.22500
17	York College of Pennsylvania	YC Racing	OK	4.66000
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	4.35400
2	Rochester Institute of Technology	RIOT RACING	OK	4.18600
64	Johns Hopkins Univ	Blue Jay Racing	OK	4.31600
64	Johns Hopkins Univ	Blue Jay Racing	OK	4.19200
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	4.05600
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	4.68700
4	Cornell Univ	BIG RED RACING	OK	4.06600
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	4.62900
13	Clarkson University	Golden Knights Racing	OK	4.32800
43	Clemson Univ	CUBaja Racing	OK	4.41200
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	4.57100
115	University of Mount Union	Raider Racing	OK	4.50900
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	4.65600
13	Clarkson University	Golden Knights Racing	OK	4.43500
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	4.82100
115	University of Mount Union	Raider Racing	OK	4.40100
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	4.71500
82	Univ of Akron	Zips Baja	OK	4.09500
74	The Ohio State University	Baja Buckeyes	OK	4.64900
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	4.71400
23	Univ of Calgary	Schulich Off-Road	OK	4.36700
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	4.60200
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	4.57300
82	Univ of Akron	Zips Baja	OK	4.10200
47	Northeastern Univ	Skunkworks	OK	4.22500
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	4.55900
