Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
8	Ecole De Technologie Superieure	ETS Motorsports	OK	15.00	83.10	0.00	98.10
66	Université Laval	Alérion	OK	14.00	83.54	0.00	97.54
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	15.00	77.46	0.00	92.46
49	Univ of Central Florida	Knights Racing	OK	7.00	85.00	0.00	92.00
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	14.00	77.46	0.00	91.46
2	Rochester Institute of Technology	RIOT RACING	OK	15.00	75.10	0.00	90.10
26	Univ of Nebraska - Lincoln	Husker Racing	OK	15.00	70.09	0.00	85.09
111	Arizona State Univ Polytechnic	Sun Devil Racing	OK	14.00	70.18	0.00	84.18
50	Universidad La Salle	Aguilas La Salle	OK	15.00	78.49	10.00	83.49
93	Pennsylvania College of Technology	PCT Baja	OK	14.00	69.45	0.00	83.45
97	Old Dominion Univ	Whiskey Throttle Racing	OK	12.00	70.92	0.00	82.92
64	Johns Hopkins Univ	Blue Jay Racing	OK	10.00	72.82	0.00	82.82
4	Cornell Univ	BIG RED RACING	OK	12.00	68.96	0.00	80.96
19	Univ of Illinois - Chicago	UIC Motorsports	OK	13.00	66.28	0.00	79.28
90	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	11.00	68.04	0.00	79.04
43	Clemson Univ	CUBaja Racing	OK	11.00	67.40	0.00	78.40
56	California State Poly Univ - Pomona	Bronco Racing	OK	12.00	66.38	0.00	78.38
96	Vellore Institute of Technology	KI Racing	OK	12.00	65.66	0.00	77.66
47	Northeastern Univ	Skunkworks	OK	14.00	63.31	0.00	77.31
104	Univ of Iowa	Hawkeye Motorsports	OK	7.00	69.07	0.00	76.07
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	14.00	62.00	0.00	76.00
75	McGill Univ	McGill Baja Racing Team	OK	15.00	60.96	0.00	75.96
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	13.00	72.88	10.00	75.88
5	Polytechnique Montréal	poly mud bees	OK	11.00	64.34	0.00	75.34
37	Government College of Engrg Pune	Team Nemesis Racing	OK	15.00	59.85	0.00	74.85
102	Central Michigan Univ	Chippewa Performance	OK	15.00	59.70	0.00	74.70
42	Universite de Sherbrooke	Sherbrooke Racing Team	OK	12.00	62.14	0.00	74.14
24	Cleveland State Univ	Vikings Racing	OK	12.00	61.90	0.00	73.90
32	Michigan Tech Univ	Blizzard Baja	OK	9.00	64.90	0.00	73.90
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	15.00	58.78	0.00	73.78
82	Univ of Akron	Zips Baja	OK	10.00	63.22	0.00	73.22
73	Ryerson Univ	Ryerson Baja	OK	12.00	61.15	0.00	73.15
52	Oregon State Univ	Beaver Racing	OK	8.00	65.04	0.00	73.04
17	York College of Pennsylvania	YC Racing	OK	10.00	61.42	0.00	71.42
40	Vellore Institute of Technology Chennai	TSI	OK	6.00	65.25	0.00	71.25
46	Universidad Nacional Autónoma de México	Puma Off-Road Team	OK	10.00	60.53	0.00	70.53
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	14.00	55.19	0.00	69.19
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	10.00	57.88	0.00	67.88
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	15.00	52.44	0.00	67.44
21	Oklahoma State Univ	Cowboy Racing	OK	10.00	67.30	10.00	67.30
74	The Ohio State University	Baja Buckeyes	OK	12.00	55.19	0.00	67.19
33	Marquette Univ	Eagle Racing	OK	9.00	58.12	0.00	67.12
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	10.00	56.30	0.00	66.30
34	Univ of Virginia	Virginia Motorsports	OK	12.00	54.18	0.00	66.18
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	12.00	53.94	0.00	65.94
6	Iowa State Univ	Cyclone Racing	OK	11.00	54.34	0.00	65.34
70	Lehigh Univ	Lehigh Engineers	OK	14.00	50.00	0.00	64.00
27	Univ of New Hampshire	UNH Baja	OK	6.00	57.27	0.00	63.27
89	Brigham Young Univ	BYU Baja	OK	4.00	58.06	0.00	62.06
60	Grove City College	Grove City Racing	OK	15.00	47.05	0.00	62.05
112	Manhattan College	Jasper Racing	OK	15.00	45.91	0.00	60.91
117	Tennessee Tech Univ	TTU Baja	OK	8.00	52.66	0.00	60.66
