Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00	140.00	0.00	140.00
2	Rochester Institute of Technology	RIOT RACING	OK	0.00	140.00	0.00	140.00
8	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00	140.00	0.00	140.00
56	California State Poly Univ - Pomona	Bronco Racing	OK	0.00	140.00	0.00	140.00
4	Cornell Univ	BIG RED RACING	OK	0.00	130.00	0.00	130.00
37	Government College of Engrg Pune	Team Nemesis Racing	OK	0.00	130.00	0.00	130.00
52	Oregon State Univ	Beaver Racing	OK	0.00	130.00	0.00	130.00
5	Polytechnique Montréal	poly mud bees	OK	0.00	120.00	0.00	120.00
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	0.00	120.00	0.00	120.00
26	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00	120.00	0.00	120.00
101	Sinhgad College of Engineering	Team Kraftwagen	OK	0.00	120.00	0.00	120.00
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	0.00	110.00	0.00	110.00
64	Johns Hopkins Univ	Blue Jay Racing	OK	0.00	110.00	0.00	110.00
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00	110.00	0.00	110.00
75	McGill Univ	McGill Baja Racing Team	OK	0.00	110.00	0.00	110.00
89	Brigham Young Univ	BYU Baja	OK	0.00	110.00	0.00	110.00
111	Arizona State Univ Polytechnic	Sun Devil Racing	OK	0.00	110.00	0.00	110.00
121	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00	110.00	0.00	110.00
6	Iowa State Univ	Cyclone Racing	OK	0.00	100.00	0.00	100.00
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00	100.00	0.00	100.00
47	Northeastern Univ	Skunkworks	OK	0.00	100.00	0.00	100.00
50	Universidad La Salle	Aguilas La Salle	OK	0.00	100.00	0.00	100.00
66	Université Laval	Alérion	OK	0.00	100.00	0.00	100.00
102	Central Michigan Univ	Chippewa Performance	OK	0.00	100.00	0.00	100.00
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	0.00	90.00	0.00	90.00
23	Univ of Calgary	Schulich Off-Road	OK	0.00	90.00	0.00	90.00
60	Grove City College	Grove City Racing	OK	0.00	90.00	0.00	90.00
76	Delhi Technological Univ	Deltech Baja	OK	0.00	90.00	0.00	90.00
82	Univ of Akron	Zips Baja	OK	0.00	90.00	0.00	90.00
90	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	0.00	90.00	0.00	90.00
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	0.00	80.00	0.00	80.00
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	0.00	80.00	0.00	80.00
117	Tennessee Tech Univ	TTU Baja	OK	0.00	80.00	0.00	80.00
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	0.00	80.00	0.00	80.00
119	New Jersey Institute of Technology	Highlander Racing	OK	0.00	80.00	0.00	80.00
120	Kettering Univ	Bulldog Racing	OK	0.00	80.00	0.00	80.00
13	Clarkson University	Golden Knights Racing	OK	0.00	70.00	0.00	70.00
43	Clemson Univ	CUBaja Racing	OK	0.00	70.00	0.00	70.00
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	0.00	70.00	0.00	70.00
93	Pennsylvania College of Technology	PCT Baja	OK	0.00	70.00	0.00	70.00
104	Univ of Iowa	Hawkeye Motorsports	OK	0.00	70.00	0.00	70.00
123	San Diego State Univ	Aztec Baja	OK	0.00	70.00	0.00	70.00
28	Memorial Univ of Newfoundland	Memorial Baja	OK	0.00	60.00	0.00	60.00
39	Michigan State Univ	MSU Baja	OK	0.00	60.00	0.00	60.00
70	Lehigh Univ	Lehigh Engineers	OK	0.00	60.00	0.00	60.00
78	University of Prince Edward Island	Not Bad Racing	OK	0.00	60.00	0.00	60.00
84	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00	70.00	10.00	60.00
96	Vellore Institute of Technology	KI Racing	OK	0.00	60.00	0.00	60.00
106	Univ of Manitoba	Red Lion Racing	OK	0.00	60.00	0.00	60.00
124	Univ of Tennessee -Chattanooga	Racing Mocs	OK	0.00	60.00	0.00	60.00
16	Manipal Institute of Tech	Team Manipal Racing	OK	0.00	60.00	10.00	50.00
17	York College of Pennsylvania	YC Racing	OK	0.00	50.00	0.00	50.00
25	College of New Jersey	TCNJ MotorLions	OK	0.00	50.00	0.00	50.00
30	Univ of Regina	Cougar Racing	OK	0.00	50.00	0.00	50.00
35	Western Michigan Univ	WMU Baja	OK	0.00	50.00	0.00	50.00
42	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00	50.00	0.00	50.00
57	SUNY - Buffalo	UB Motorsports	OK	0.00	50.00	0.00	50.00
79	Binghamton Univ	Binghamton Baja	OK	0.00	50.00	0.00	50.00
129	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00	50.00	0.00	50.00
12	Laurentian Univ	LUVRC	OK	0.00	40.00	0.00	40.00
27	Univ of New Hampshire	UNH Baja	OK	0.00	40.00	0.00	40.00
34	Univ of Virginia	Virginia Motorsports	OK	0.00	40.00	0.00	40.00
40	Vellore Institute of Technology Chennai	TSI	OK	0.00	40.00	0.00	40.00
49	Univ of Central Florida	Knights Racing	OK	0.00	40.00	0.00	40.00
51	Univ of Notre Dame	Notre Dame Irish Racing	OK	0.00	40.00	0.00	40.00
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	0.00	40.00	0.00	40.00
74	The Ohio State University	Baja Buckeyes	OK	0.00	40.00	0.00	40.00
95	Youngstown State Univ	YSU Baja	OK	0.00	40.00	0.00	40.00
97	Old Dominion Univ	Whiskey Throttle Racing	OK	0.00	40.00	0.00	40.00
18	Miami Univ	Redhawk Racing	OK	0.00	30.00	0.00	30.00
32	Michigan Tech Univ	Blizzard Baja	OK	0.00	30.00	0.00	30.00
58	British Columbia Inst of Tech	BCIT Racing	OK	0.00	30.00	0.00	30.00
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00	30.00	0.00	30.00
91	Univ of Southern Indiana	Screaming Eagles	OK	0.00	30.00	0.00	30.00
115	University of Mount Union	Raider Racing	OK	0.00	30.00	0.00	30.00
138	Univ of Memphis	Tiger Baja	OK	0.00	40.00	10.00	30.00
24	Cleveland State Univ	Vikings Racing	OK	0.00	20.00	0.00	20.00
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	0.00	20.00	0.00	20.00
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	0.00	20.00	0.00	20.00
54	Middle Tennessee State Univ	MTSUevp	OK	0.00	20.00	0.00	20.00
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	0.00	20.00	0.00	20.00
73	Ryerson Univ	Ryerson Baja	OK	0.00	20.00	0.00	20.00
87	California State Univ - Long Beach	Long Beach Racing	OK	0.00	20.00	0.00	20.00
88	Wentworth Inst of Tech	Wentworth SAE	OK	0.00	30.00	10.00	20.00
105	Ferris State University	Brutus	OK	0.00	20.00	0.00	20.00
112	Manhattan College	Jasper Racing	OK	0.00	20.00	0.00	20.00
116	Olivet Nazarene Univ	ONU Racing	OK	0.00	20.00	0.00	20.00
21	Oklahoma State Univ	Cowboy Racing	OK	0.00	60.00	50.00	10.00
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00	20.00	10.00	10.00
10	Ohio Northern Univ	Polar Bear Racing	OK	0.00	0.00	0.00	0.00
19	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00	30.00	40.00	0.00
20	Purdue Univ - Northwest	PNW Motorsports	OK	0.00	0.00	0.00	0.00
22	Northern Kentucky Univ	Norse Baja	OK	0.00	0.00	30.00	0.00
31	North Carolina A & T State Univ	Aggie Racing	OK	0.00	0.00	0.00	0.00
33	Marquette Univ	Eagle Racing	OK	0.00	0.00	0.00	0.00
36	Auburn Univ	AU BAJA	OK	0.00	0.00	0.00	0.00
44	Univ of Windsor	Lancer Motorsports	OK	0.00	0.00	0.00	0.00
46	Universidad Nacional Autónoma de México	Puma Off-Road Team	OK	0.00	0.00	20.00	0.00
55	Manipal University	Ingenium	OK	0.00	0.00	0.00	0.00
59	Vimal Jyothi Engineering College	INVICTO	OK	0.00	0.00	0.00	0.00
63	SUNY- Farmingdale	RAM Motorsports	OK	0.00	0.00	10.00	0.00
67	Univ of Dayton	Team UD	OK	0.00	0.00	0.00	0.00
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	0.00	0.00	0.00	0.00
92	Fairfield Univ	Fairfield Stags Racing	OK	0.00	20.00	50.00	0.00
107	Southern Alberta Inst of Tech	SAIT Baja Racing	OK	0.00	0.00	0.00	0.00
114	City College of New York	Underdog Raceworks	OK	0.00	0.00	0.00	0.00
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	0.00	0.00	0.00	0.00
