Car No.	School Name	Team Name	Status	Time	Distance
52	Oregon State Univ	Beaver Racing	OK	8.55700	100.000 Ft
75	McGill Univ	McGill Baja Racing Team	OK	7.75500	100.000 Ft
5	Polytechnique Montréal	poly mud bees	OK	9.77800	100.000 Ft
4	Cornell Univ	BIG RED RACING	OK	0.00000	96.500 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	7.11600	100.000 Ft
64	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	85.583 Ft
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	11.51100	100.000 Ft
82	Univ of Akron	Zips Baja	OK	8.81800	100.000 Ft
10	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	87.417 Ft
10	Ohio Northern Univ	Polar Bear Racing	OK	22.73900	100.000 Ft
47	Northeastern Univ	Skunkworks	OK	9.44300	100.000 Ft
56	California State Poly Univ - Pomona	Bronco Racing	OK	0.00000	65.167 Ft
56	California State Poly Univ - Pomona	Bronco Racing	OK	0.00000	69.167 Ft
2	Rochester Institute of Technology	RIOT RACING	OK	9.43000	100.000 Ft
119	New Jersey Institute of Technology	Highlander Racing	OK	9.61900	100.000 Ft
123	San Diego State Univ	Aztec Baja	OK	9.39200	100.000 Ft
70	Lehigh Univ	Lehigh Engineers	OK	0.00000	69.917 Ft
26	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	73.667 Ft
75	McGill Univ	McGill Baja Racing Team	OK	8.54000	100.000 Ft
66	Université Laval	Alérion	OK	9.77300	100.000 Ft
17	York College of Pennsylvania	YC Racing	OK	0.00000	75.167 Ft
17	York College of Pennsylvania	YC Racing	OK	0.00000	93.750 Ft
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	25.74800	100.000 Ft
23	Univ of Calgary	Schulich Off-Road	OK	12.48100	100.000 Ft
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	0.00000	92.833 Ft
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	0.00000	75.500 Ft
43	Clemson Univ	CUBaja Racing	OK	17.91000	100.000 Ft
4	Cornell Univ	BIG RED RACING	OK	7.82600	100.000 Ft
82	Univ of Akron	Zips Baja	OK	8.13000	100.000 Ft
117	Tennessee Tech Univ	TTU Baja	OK	0.00000	81.167 Ft
18	Miami Univ	Redhawk Racing	OK	0.00000	71.167 Ft
18	Miami Univ	Redhawk Racing	OK	0.00000	75.917 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	7.13700	100.000 Ft
64	Johns Hopkins Univ	Blue Jay Racing	OK	14.04600	100.000 Ft
47	Northeastern Univ	Skunkworks	OK	11.09000	100.000 Ft
123	San Diego State Univ	Aztec Baja	OK	9.53300	100.000 Ft
52	Oregon State Univ	Beaver Racing	OK	8.15300	100.000 Ft
37	Government College of Engrg Pune	Team Nemesis Racing	OK	7.11600	100.000 Ft
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	0.00000	71.500 Ft
66	Université Laval	Alérion	OK	9.37900	100.000 Ft
6	Iowa State Univ	Cyclone Racing	OK	8.89600	100.000 Ft
93	Pennsylvania College of Technology	PCT Baja	OK	13.34000	100.000 Ft
8	Ecole De Technologie Superieure	ETS Motorsports	OK	9.50400	100.000 Ft
5	Polytechnique Montréal	poly mud bees	OK	11.43400	100.000 Ft
23	Univ of Calgary	Schulich Off-Road	OK	9.54300	100.000 Ft
102	Central Michigan Univ	Chippewa Performance	OK	11.82200	100.000 Ft
26	Univ of Nebraska - Lincoln	Husker Racing	OK	15.65400	100.000 Ft
119	New Jersey Institute of Technology	Highlander Racing	OK	8.98800	100.000 Ft
138	Univ of Memphis	Tiger Baja	OK	0.00000	62.917 Ft
93	Pennsylvania College of Technology	PCT Baja	OK	14.84100	100.000 Ft
6	Iowa State Univ	Cyclone Racing	OK	8.94600	100.000 Ft
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	36.20200	100.000 Ft
8	Ecole De Technologie Superieure	ETS Motorsports	OK	9.37400	100.000 Ft
43	Clemson Univ	CUBaja Racing	OK	0.00000	74.167 Ft
97	Old Dominion Univ	Whiskey Throttle Racing	OK	0.00000	74.750 Ft
70	Lehigh Univ	Lehigh Engineers	OK	0.00000	74.333 Ft
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	0.00000	57.500 Ft
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	0.00000	60.417 Ft
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	8.96200	100.000 Ft
13	Clarkson University	Golden Knights Racing	OK	0.00000	65.167 Ft
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	89.667 Ft
37	Government College of Engrg Pune	Team Nemesis Racing	OK	6.83200	100.000 Ft
117	Tennessee Tech Univ	TTU Baja	OK	17.92600	100.000 Ft
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	0.00000	69.083 Ft
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	0.00000	70.083 Ft
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	11.64100	100.000 Ft
102	Central Michigan Univ	Chippewa Performance	OK	13.60400	100.000 Ft
