Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Bypass	Cones
121	Univ of Missouri - Kansas City	UMKC - Baja Racing	DQ	0.00000	0.00000	0	0
121	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	76.12000	76.12000	0	0
134	Southern Illinois Univ - Edwardville	Cougar Baja	DQ	0.00000	0.00000	0	0
38	Univ of Arkansas - Fayetteville	Full Boar Racing	DQ	0.00000	0.00000	0	0
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	78.49900	72.49900	0	3
8	Ecole De Technologie Superieure	ETS Motorsports	OK	61.12600	61.12600	0	0
7	Univ of Wisconsin - Platteville	Pioneer Racing	DQ	0.00000	0.00000	0	0
43	Clemson Univ	CUBaja Racing	DQ	0.00000	0.00000	0	0
52	Oregon State Univ	Beaver Racing	DQ	0.00000	0.00000	0	0
52	Oregon State Univ	Beaver Racing	OK	60.27700	60.27700	0	0
9	Queen's Univ - Ontario Canada	Queen's Baja	DQ	0.00000	0.00000	0	0
11	Univ of Maryland - Baltimore County	UMBC Racing	DQ	0.00000	0.00000	0	0
24	Cleveland State Univ	Vikings Racing	DQ	0.00000	0.00000	0	0
24	Cleveland State Univ	Vikings Racing	OK	96.74100	74.74100	1	1
17	York College of Pennsylvania	YC Racing	DQ	0.00000	0.00000	0	2
2	Rochester Institute of Technology	RIOT RACING	OK	60.21700	60.21700	0	0
66	Université Laval	Alérion	DQ	0.00000	0.00000	0	0
66	Université Laval	Alérion	OK	68.74400	66.74400	0	1
102	Central Michigan Univ	Chippewa Performance	OK	110.01400	78.01400	1	6
47	Northeastern Univ	Skunkworks	OK	67.01700	65.01700	0	1
47	Northeastern Univ	Skunkworks	DQ	0.00000	0.00000	0	0
26	Univ of Nebraska - Lincoln	Husker Racing	DQ	0.00000	0.00000	0	0
26	Univ of Nebraska - Lincoln	Husker Racing	OK	69.11600	69.11600	0	0
39	Michigan State Univ	MSU Baja	DQ	0.00000	0.00000	0	0
39	Michigan State Univ	MSU Baja	DQ	0.00000	0.00000	0	0
74	The Ohio State University	Baja Buckeyes	DQ	0.00000	0.00000	0	0
123	San Diego State Univ	Aztec Baja	DQ	0.00000	0.00000	0	0
123	San Diego State Univ	Aztec Baja	DQ	0.00000	0.00000	0	0
138	Univ of Memphis	Tiger Baja	DQ	0.00000	0.00000	0	0
13	Clarkson University	Golden Knights Racing	OK	105.26000	77.26000	1	4
138	Univ of Memphis	Tiger Baja	OK	108.18800	86.18800	1	1
13	Clarkson University	Golden Knights Racing	OK	96.83400	72.83400	1	2
75	McGill Univ	McGill Baja Racing Team	OK	75.29500	73.29500	0	1
10	Ohio Northern Univ	Polar Bear Racing	DQ	0.00000	0.00000	0	0
10	Ohio Northern Univ	Polar Bear Racing	DQ	0.00000	0.00000	0	0
82	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0	0
82	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0	0
110	Univ of Illinois - Urbana Champaign	Offroad Illini	DQ	0.00000	0.00000	0	0
110	Univ of Illinois - Urbana Champaign	Offroad Illini	DQ	0.00000	0.00000	0	0
89	Brigham Young Univ	BYU Baja	OK	106.03500	84.03500	1	1
89	Brigham Young Univ	BYU Baja	OK	83.05900	81.05900	0	1
6	Iowa State Univ	Cyclone Racing	DQ	0.00000	0.00000	0	0
