Car No.	School Name	Team Name	Status	Eval. Score	Final Score
82	Univ of Akron	Zips Baja	OK	48.50	48.50
52	Oregon State Univ	Beaver Racing	OK	48.38	48.38
25	College of New Jersey	TCNJ MotorLions	OK	47.40	47.40
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	47.00	47.00
75	McGill Univ	McGill Baja Racing Team	OK	46.50	46.50
56	California State Poly Univ - Pomona	Bronco Racing	OK	46.33	46.33
106	Univ of Manitoba	Red Lion Racing	OK	46.25	46.25
8	Ecole De Technologie Superieure	ETS Motorsports	OK	46.00	46.00
57	SUNY - Buffalo	UB Motorsports	OK	46.00	46.00
64	Johns Hopkins Univ	Blue Jay Racing	OK	45.33	45.33
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	45.00	45.00
84	Univ of Nevada - Las Vegas	Rebel Racing	OK	44.75	44.75
96	Vellore Institute of Technology	KI Racing	OK	44.60	44.60
23	Univ of Calgary	Schulich Off-Road	OK	44.50	44.50
89	Brigham Young Univ	BYU Baja	OK	44.25	44.25
90	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	44.25	44.25
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	43.50	43.50
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	43.33	43.33
78	University of Prince Edward Island	Not Bad Racing	OK	43.25	43.25
119	New Jersey Institute of Technology	Highlander Racing	OK	43.25	43.25
101	Sinhgad College of Engineering	Team Kraftwagen	OK	43.00	43.00
24	Cleveland State Univ	Vikings Racing	OK	42.40	42.40
6	Iowa State Univ	Cyclone Racing	OK	42.25	42.25
40	Vellore Institute of Technology Chennai	TSI	OK	42.25	42.25
26	Univ of Nebraska - Lincoln	Husker Racing	OK	42.00	42.00
104	Univ of Iowa	Hawkeye Motorsports	OK	42.00	42.00
123	San Diego State Univ	Aztec Baja	OK	41.63	41.63
93	Pennsylvania College of Technology	PCT Baja	OK	41.60	41.60
47	Northeastern Univ	Skunkworks	OK	41.00	41.00
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	41.00	41.00
102	Central Michigan Univ	Chippewa Performance	OK	41.00	41.00
124	Univ of Tennessee -Chattanooga	Racing Mocs	OK	40.75	40.75
51	Univ of Notre Dame	Notre Dame Irish Racing	OK	40.13	40.13
50	Universidad La Salle	Aguilas La Salle	OK	40.00	40.00
66	Université Laval	Alérion	OK	40.00	40.00
95	Youngstown State Univ	YSU Baja	OK	40.00	40.00
92	Fairfield Univ	Fairfield Stags Racing	OK	39.80	39.80
4	Cornell Univ	BIG RED RACING	OK	39.50	39.50
97	Old Dominion Univ	Whiskey Throttle Racing	OK	39.50	39.50
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	39.00	39.00
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	38.50	38.50
37	Government College of Engrg Pune	Team Nemesis Racing	OK	38.25	38.25
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	38.13	38.13
2	Rochester Institute of Technology	RIOT RACING	OK	38.00	38.00
39	Michigan State Univ	MSU Baja	OK	37.75	37.75
49	Univ of Central Florida	Knights Racing	OK	37.75	37.75
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	37.67	37.67
42	Universite de Sherbrooke	Sherbrooke Racing Team	OK	37.50	37.50
111	Arizona State Univ Polytechnic	Sun Devil Racing	OK	37.33	37.33
121	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	37.25	37.25
70	Lehigh Univ	Lehigh Engineers	OK	36.50	36.50
129	Missouri University of Science and Tech	Miner Baja Racing	OK	36.50	36.50
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	36.40	36.40
87	California State Univ - Long Beach	Long Beach Racing	OK	36.33	36.33
117	Tennessee Tech Univ	TTU Baja	OK	36.25	36.25
55	Manipal University	Ingenium	OK	35.67	35.67
79	Binghamton Univ	Binghamton Baja	OK	35.50	35.50
138	Univ of Memphis	Tiger Baja	OK	35.50	35.50
58	British Columbia Inst of Tech	BCIT Racing	OK	35.25	35.25
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	35.17	35.17
5	Polytechnique Montréal	poly mud bees	OK	35.00	35.00
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	35.00	35.00
13	Clarkson University	Golden Knights Racing	OK	34.75	34.75
60	Grove City College	Grove City Racing	OK	34.75	34.75
46	Universidad Nacional Autónoma de México	Puma Off-Road Team	OK	34.25	34.25
43	Clemson Univ	CUBaja Racing	OK	33.75	33.75
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	33.75	33.75
16	Manipal Institute of Tech	Team Manipal Racing	OK	33.25	33.25
74	The Ohio State University	Baja Buckeyes	OK	32.75	32.75
115	University of Mount Union	Raider Racing	OK	32.75	32.75
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	32.50	32.50
76	Delhi Technological Univ	Deltech Baja	OK	32.50	32.50
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	32.00	32.00
91	Univ of Southern Indiana	Screaming Eagles	OK	31.25	31.25
120	Kettering Univ	Bulldog Racing	OK	31.25	31.25
33	Marquette Univ	Eagle Racing	OK	30.50	30.50
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	30.50	30.50
10	Ohio Northern Univ	Polar Bear Racing	OK	29.67	29.67
21	Oklahoma State Univ	Cowboy Racing	OK	29.00	29.00
105	Ferris State University	Brutus	OK	29.00	29.00
30	Univ of Regina	Cougar Racing	OK	28.00	28.00
35	Western Michigan Univ	WMU Baja	OK	27.50	27.50
18	Miami Univ	Redhawk Racing	OK	26.33	26.33
27	Univ of New Hampshire	UNH Baja	OK	26.25	26.25
116	Olivet Nazarene Univ	ONU Racing	OK	24.75	24.75
34	Univ of Virginia	Virginia Motorsports	OK	24.00	24.00
32	Michigan Tech Univ	Blizzard Baja	OK	23.67	23.67
88	Wentworth Inst of Tech	Wentworth SAE	OK	23.50	23.50
19	Univ of Illinois - Chicago	UIC Motorsports	OK	23.33	23.33
112	Manhattan College	Jasper Racing	OK	23.25	23.25
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	23.00	23.00
17	York College of Pennsylvania	YC Racing	OK	19.00	19.00
28	Memorial Univ of Newfoundland	Memorial Baja	OK	18.33	18.33
12	Laurentian Univ	LUVRC	OK	16.67	16.67
20	Purdue Univ - Northwest	PNW Motorsports	OK	0.00	0.00
22	Northern Kentucky Univ	Norse Baja	OK	0.00	0.00
31	North Carolina A & T State Univ	Aggie Racing	OK	0.00	0.00
36	Auburn Univ	AU BAJA	OK	0.00	0.00
44	Univ of Windsor	Lancer Motorsports	OK	0.00	0.00
54	Middle Tennessee State Univ	MTSUevp	OK	0.00	0.00
59	Vimal Jyothi Engineering College	INVICTO	OK	0.00	0.00
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00	0.00
63	SUNY- Farmingdale	RAM Motorsports	OK	0.00	0.00
67	Univ of Dayton	Team UD	OK	0.00	0.00
73	Ryerson Univ	Ryerson Baja	OK	0.00	0.00
107	Southern Alberta Inst of Tech	SAIT Baja Racing	OK	0.00	0.00
114	City College of New York	Underdog Raceworks	OK	0.00	0.00
