1	Univ of Michigan - Ann Arbor
2	Rochester Institute of Technology
4	Cornell Univ
5	Polytechnique Montréal
6	Iowa State Univ
7	Univ of Wisconsin - Platteville
8	Ecole De Technologie Superieure
9	Queen's Univ - Ontario Canada
10	Ohio Northern Univ
11	Univ of Maryland - Baltimore County
12	Laurentian Univ
13	Clarkson University
15	SUNY - Stony Brook
16	Manipal Institute of Tech
17	York College of Pennsylvania
18	Miami Univ
19	Univ of Illinois - Chicago
21	Oklahoma State Univ
23	Univ of Calgary
24	Cleveland State Univ
25	College of New Jersey
26	Univ of Nebraska - Lincoln
27	Univ of New Hampshire
28	Memorial Univ of Newfoundland
30	Univ of Regina
32	Michigan Tech Univ
33	Marquette Univ
34	Univ of Virginia
35	Western Michigan Univ
37	Government College of Engrg Pune
38	Univ of Arkansas - Fayetteville
39	Michigan State Univ
40	Vellore Institute of Technology Chennai
41	Pimpri Chinchwad College of Engineering
42	Universite de Sherbrooke
43	Clemson Univ
45	Univ of Wisconsin - Stout
46	Universidad Nacional Autónoma de México
47	Northeastern Univ
49	Univ of Central Florida
50	Universidad La Salle
51	Univ of Notre Dame
52	Oregon State Univ
54	Middle Tennessee State Univ
55	Manipal University
56	California State Poly Univ - Pomona
57	SUNY - Buffalo
58	British Columbia Inst of Tech
59	Vimal Jyothi Engineering College
60	Grove City College
62	Univ of Pittsburgh - Johnstown
64	Johns Hopkins Univ
65	California Polytechnic State Univ-SLO
66	Université Laval
68	Embry-Riddle Aero Univ - Daytona Beach
69	Penn State Univ - Altoona
70	Lehigh Univ
71	Universite Du Quebec at Rimouski
72	National Institute of Tech - Jalandhar
73	Ryerson Univ
74	The Ohio State University
75	McGill Univ
76	Delhi Technological Univ
78	University of Prince Edward Island
79	Binghamton Univ
82	Univ of Akron
84	Univ of Nevada - Las Vegas
86	Univ of Wisconsin - Milwaukee
87	California State Univ - Long Beach
88	Wentworth Inst of Tech
89	Brigham Young Univ
90	Purdue Univ - W Lafayette
91	Univ of Southern Indiana
92	Fairfield Univ
93	Pennsylvania College of Technology
95	Youngstown State Univ
96	Vellore Institute of Technology
97	Old Dominion Univ
101	Sinhgad College of Engineering
102	Central Michigan Univ
104	Univ of Iowa
105	Ferris State University
106	Univ of Manitoba
110	Univ of Illinois - Urbana Champaign
111	Arizona State Univ Polytechnic
112	Manhattan College
115	University of Mount Union
116	Olivet Nazarene Univ
117	Tennessee Tech Univ
118	Lawrence Technological Univ
119	New Jersey Institute of Technology
120	Kettering Univ
121	Univ of Missouri - Kansas City
123	San Diego State Univ
124	Univ of Tennessee -Chattanooga
134	Southern Illinois Univ - Edwardville
