Car No.	School Name	Team Name	Status	Time	Distance
21	Oklahoma State Univ	Cowboy Racing	OK	0.00000	57.333 Ft
24	Cleveland State Univ	Vikings Racing	OK	0.00000	341.000 Ft
24	Cleveland State Univ	Vikings Racing	OK	0.00000	334.750 Ft
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	0.00000	68.417 Ft
121	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00000	35.000 Ft
52	Oregon State Univ	Beaver Racing	OK	0.00000	83.500 Ft
89	Brigham Young Univ	BYU Baja	OK	0.00000	343.333 Ft
66	Université Laval	Alérion	OK	0.00000	333.333 Ft
52	Oregon State Univ	Beaver Racing	OK	0.00000	339.000 Ft
2	Rochester Institute of Technology	RIOT RACING	OK	0.00000	360.083 Ft
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00000	339.417 Ft
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	152.083 Ft
2	Rochester Institute of Technology	RIOT RACING	OK	0.00000	346.167 Ft
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00000	338.667 Ft
66	Université Laval	Alérion	OK	0.00000	345.083 Ft
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	165.083 Ft
123	San Diego State Univ	Aztec Baja	OK	42.48000	428.000 Ft
13	Clarkson University	Golden Knights Racing	OK	0.00000	342.667 Ft
116	Olivet Nazarene Univ	ONU Racing	OK	0.00000	154.083 Ft
64	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	339.083 Ft
6	Iowa State Univ	Cyclone Racing	OK	0.00000	344.083 Ft
43	Clemson Univ	CUBaja Racing	OK	0.00000	335.583 Ft
47	Northeastern Univ	Skunkworks	OK	0.00000	329.250 Ft
138	Univ of Memphis	Tiger Baja	OK	0.00000	312.000 Ft
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	0.00000	210.583 Ft
26	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	338.583 Ft
17	York College of Pennsylvania	YC Racing	OK	0.00000	324.667 Ft
49	Univ of Central Florida	Knights Racing	OK	0.00000	338.250 Ft
13	Clarkson University	Golden Knights Racing	OK	0.00000	66.750 Ft
60	Grove City College	Grove City Racing	OK	0.00000	196.083 Ft
82	Univ of Akron	Zips Baja	OK	0.00000	330.333 Ft
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	0.00000	335.167 Ft
6	Iowa State Univ	Cyclone Racing	OK	0.00000	338.167 Ft
10	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	335.000 Ft
39	Michigan State Univ	MSU Baja	OK	0.00000	344.333 Ft
4	Cornell Univ	BIG RED RACING	OK	0.00000	355.833 Ft
121	Univ of Missouri - Kansas City	UMKC - Baja Racing	OK	0.00000	68.000 Ft
89	Brigham Young Univ	BYU Baja	OK	0.00000	350.500 Ft
33	Marquette Univ	Eagle Racing	OK	0.00000	335.917 Ft
138	Univ of Memphis	Tiger Baja	OK	0.00000	321.917 Ft
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	0.00000	325.083 Ft
102	Central Michigan Univ	Chippewa Performance	OK	0.00000	343.500 Ft
23	Univ of Calgary	Schulich Off-Road	OK	0.00000	334.083 Ft
119	New Jersey Institute of Technology	Highlander Racing	OK	0.00000	360.833 Ft
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	338.333 Ft
15	SUNY - Stony Brook	Stony Brook Motorsports	OK	0.00000	329.167 Ft
110	Univ of Illinois - Urbana Champaign	Offroad Illini	OK	0.00000	201.667 Ft
49	Univ of Central Florida	Knights Racing	OK	0.00000	50.000 Ft
47	Northeastern Univ	Skunkworks	OK	34.59700	428.000 Ft
106	Univ of Manitoba	Red Lion Racing	OK	0.00000	339.500 Ft
93	Pennsylvania College of Technology	PCT Baja	OK	0.00000	329.250 Ft
82	Univ of Akron	Zips Baja	OK	0.00000	337.333 Ft
17	York College of Pennsylvania	YC Racing	OK	0.00000	69.000 Ft
7	Univ of Wisconsin - Platteville	Pioneer Racing	OK	0.00000	324.583 Ft
43	Clemson Univ	CUBaja Racing	OK	0.00000	324.250 Ft
10	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	327.083 Ft
18	Miami Univ	Redhawk Racing	OK	0.00000	338.167 Ft
70	Lehigh Univ	Lehigh Engineers	OK	0.00000	345.417 Ft
39	Michigan State Univ	MSU Baja	OK	0.00000	328.167 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00000	340.667 Ft
5	Polytechnique Montréal	poly mud bees	OK	0.00000	326.500 Ft
56	California State Poly Univ - Pomona	Bronco Racing	OK	0.00000	323.583 Ft
75	McGill Univ	McGill Baja Racing Team	OK	0.00000	339.250 Ft
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	0.00000	24.417 Ft
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	0.00000	342.667 Ft
4	Cornell Univ	BIG RED RACING	OK	0.00000	330.250 Ft
117	Tennessee Tech Univ	TTU Baja	OK	0.00000	325.833 Ft
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	0.00000	329.167 Ft
37	Government College of Engrg Pune	Team Nemesis Racing	OK	0.00000	357.500 Ft
104	Univ of Iowa	Hawkeye Motorsports	OK	0.00000	37.000 Ft
102	Central Michigan Univ	Chippewa Performance	OK	0.00000	339.167 Ft
60	Grove City College	Grove City Racing	OK	0.00000	198.750 Ft
23	Univ of Calgary	Schulich Off-Road	OK	0.00000	341.750 Ft
12	Laurentian Univ	LUVRC	OK	0.00000	285.833 Ft
90	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	0.00000	327.333 Ft
8	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	338.333 Ft
119	New Jersey Institute of Technology	Highlander Racing	OK	0.00000	363.000 Ft
134	Southern Illinois Univ - Edwardville	Cougar Baja	OK	0.00000	61.333 Ft
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	347.417 Ft
95	Youngstown State Univ	YSU Baja	OK	0.00000	329.083 Ft
124	Univ of Tennessee -Chattanooga	Racing Mocs	OK	0.00000	206.417 Ft
123	San Diego State Univ	Aztec Baja	OK	0.00000	334.500 Ft
64	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	341.833 Ft
30	Univ of Regina	Cougar Racing	OK	0.00000	331.167 Ft
93	Pennsylvania College of Technology	PCT Baja	OK	0.00000	335.750 Ft
28	Memorial Univ of Newfoundland	Memorial Baja	OK	0.00000	75.167 Ft
97	Old Dominion Univ	Whiskey Throttle Racing	OK	0.00000	338.750 Ft
18	Miami Univ	Redhawk Racing	OK	0.00000	43.083 Ft
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	0.00000	327.417 Ft
79	Binghamton Univ	Binghamton Baja	OK	0.00000	19.667 Ft
26	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	326.917 Ft
106	Univ of Manitoba	Red Lion Racing	OK	0.00000	25.833 Ft
105	Ferris State University	Brutus	OK	0.00000	341.000 Ft
5	Polytechnique Montréal	poly mud bees	OK	0.00000	347.667 Ft
84	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	333.333 Ft
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	0.00000	337.417 Ft
129	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00000	338.833 Ft
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	0.00000	334.750 Ft
21	Oklahoma State Univ	Cowboy Racing	OK	0.00000	322.583 Ft
101	Sinhgad College of Engineering	Team Kraftwagen	OK	0.00000	333.500 Ft
57	SUNY - Buffalo	UB Motorsports	OK	0.00000	326.000 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00000	345.917 Ft
56	California State Poly Univ - Pomona	Bronco Racing	OK	0.00000	34.250 Ft
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	0.00000	25.250 Ft
117	Tennessee Tech Univ	TTU Baja	OK	0.00000	336.750 Ft
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	0.00000	82.583 Ft
104	Univ of Iowa	Hawkeye Motorsports	OK	0.00000	34.583 Ft
50	Universidad La Salle	Aguilas La Salle	OK	0.00000	333.917 Ft
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	0.00000	328.417 Ft
116	Olivet Nazarene Univ	ONU Racing	OK	0.00000	164.750 Ft
12	Laurentian Univ	LUVRC	OK	0.00000	192.417 Ft
70	Lehigh Univ	Lehigh Engineers	OK	0.00000	355.750 Ft
27	Univ of New Hampshire	UNH Baja	OK	0.00000	12.667 Ft
