Car No.	School Name	Team Name	Status	Time
32	Cornell Univ	Cornell Baja	OK	3.91600
20	Rochester Institute of Technology	RIOT RACING	OK	3.94500
23	McMaster Univ	McMaster Baja Racing	OK	4.19500
26	Ecole De Technologie Superieure	ETS Motorsports	OK	4.05500
43	Univ of Maryland - College Park	Terps Racing	OK	4.08100
33	Univ of Iowa	Hawkeye Motorsports	OK	4.47700
14	Pennsylvania College of Technology	PCTBaja	OK	3.93600
32	Cornell Univ	Cornell Baja	OK	4.00200
90	Polytechnique Montréal	Poly Mud Bees	OK	4.40700
95	Youngstown State Univ	Penguin Powersports	OK	4.43500
23	McMaster Univ	McMaster Baja Racing	OK	4.18400
83	Central Michigan Univ	Chippewa Performance	OK	4.48400
43	Univ of Maryland - College Park	Terps Racing	OK	4.09600
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	4.16800
14	Pennsylvania College of Technology	PCTBaja	OK	3.98300
39	Univ of Nebraska - Lincoln	Husker Racing	OK	4.19200
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	4.44200
95	Youngstown State Univ	Penguin Powersports	OK	4.41100
83	Central Michigan Univ	Chippewa Performance	OK	4.24200
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	3.72400
10	Univ of Akron	Zips Baja	OK	4.24000
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	4.48800
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	4.44900
29	Texas A&M Univ	12th Man Racing	OK	4.28800
94	Univ of Rochester	Yellow Jacket Racing	OK	4.16800
90	Polytechnique Montréal	Poly Mud Bees	OK	4.16200
29	Texas A&M Univ	12th Man Racing	OK	4.35900
66	Queen's Univ	Queen's Baja	OK	4.37600
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	4.73400
94	Univ of Rochester	Yellow Jacket Racing	OK	4.18000
76	The Ohio State University	Baja Buckeyes	OK	4.59400
66	Queen's Univ	Queen's Baja	OK	4.43000
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	4.28600
76	The Ohio State University	Baja Buckeyes	OK	4.44200
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	4.43000
109	Kansas State Univ	Wildcat Offroad	OK	4.73800
7	Northeastern Univ	Skunkworks	OK	4.20700
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	4.35900
109	Kansas State Univ	Wildcat Offroad	OK	4.62000
7	Northeastern Univ	Skunkworks	OK	4.17000
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	4.44600
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	4.43000
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	3.86200
65	Univ of Illinois - Chicago	UIC Motorsports	OK	4.22700
5	Lehigh Univ	Lehigh Engineers	OK	4.94100
65	Univ of Illinois - Chicago	UIC Motorsports	OK	4.13700
2	Univ of Wisconsin - Madison	Badger Racing	OK	4.02000
5	Lehigh Univ	Lehigh Engineers	OK	4.61500
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	3.66200
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	4.26200
99	McGill Univ	McGill Baja Racing	OK	4.18800
34	Clarkson University	Golden Knights Racing	OK	4.15300
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	5.17200
102	North Carolina A & T State Univ	Aggie Racing	OK	4.59200
8	Case Western Reserve Univ	CWRU Motorsports	OK	4.13200
104	Univ of Central Florida	Knights Racing	OK	4.35500
27	Virginia Tech	VT Baja	OK	5.02900
63	Johns Hopkins Univ	Blue Jay Racing	OK	4.95400
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	5.35600
63	Johns Hopkins Univ	Blue Jay Racing	OK	5.00500
54	Montana Tech	MTBaja	OK	5.18400
54	Montana Tech	MTBaja	OK	5.24900
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	5.15700
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	4.65800
171	Univ Federal do Rio Grande do Norte	Car-Kará	OK	4.30800
64	Michigan State Univ	MSU Baja	OK	4.74600
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	4.76800
45	Ohio Northern Univ	Polar Bear Racing	OK	4.74700
68	Kansas State Univ - Salina	Baja SAE Salina	OK	5.35200
68	Kansas State Univ - Salina	Baja SAE Salina	OK	5.43300
101	Université Laval	Alérion	OK	4.93300
52	Missouri University of Science and Tech	Miner Baja	OK	5.00400
101	Université Laval	Alérion	OK	4.87300
46	Georgia Institute of Technology	GT Off Road	OK	4.94200
89	Clemson Univ	CUBaja Racing	OK	4.66300
