Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00	140.00	0.00	140.00
8	Case Western Reserve Univ	CWRU Motorsports	OK	0.00	140.00	0.00	140.00
10	Univ of Akron	Zips Baja	OK	0.00	140.00	0.00	140.00
20	Rochester Institute of Technology	RIOT RACING	OK	0.00	140.00	0.00	140.00
26	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00	140.00	0.00	140.00
32	Cornell Univ	Cornell Baja	OK	0.00	140.00	0.00	140.00
39	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00	140.00	0.00	140.00
90	Polytechnique Montréal	Poly Mud Bees	OK	0.00	140.00	0.00	140.00
99	McGill Univ	McGill Baja Racing	OK	0.00	140.00	0.00	140.00
102	North Carolina A & T State Univ	Aggie Racing	OK	0.00	140.00	0.00	140.00
43	Univ of Maryland - College Park	Terps Racing	OK	0.00	130.00	0.00	130.00
58	San Diego State Univ	Aztec Baja	OK	0.00	130.00	0.00	130.00
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00	130.00	0.00	130.00
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	0.00	120.00	0.00	120.00
64	Michigan State Univ	MSU Baja	OK	0.00	120.00	0.00	120.00
95	Youngstown State Univ	Penguin Powersports	OK	0.00	120.00	0.00	120.00
27	Virginia Tech	VT Baja	OK	0.00	110.00	0.00	110.00
66	Queen's Univ	Queen's Baja	OK	0.00	110.00	0.00	110.00
69	Vellore Institute of Technology	Team Jaabaz	OK	0.00	110.00	0.00	110.00
76	The Ohio State University	Baja Buckeyes	OK	0.00	110.00	0.00	110.00
83	Central Michigan Univ	Chippewa Performance	OK	0.00	110.00	0.00	110.00
101	Université Laval	Alérion	OK	0.00	110.00	0.00	110.00
104	Univ of Central Florida	Knights Racing	OK	0.00	110.00	0.00	110.00
171	Univ Federal do Rio Grande do Norte	Car-Kará	OK	0.00	120.00	10.00	110.00
2	Univ of Wisconsin - Madison	Badger Racing	OK	0.00	100.00	0.00	100.00
23	McMaster Univ	McMaster Baja Racing	OK	0.00	100.00	0.00	100.00
29	Texas A&M Univ	12th Man Racing	OK	0.00	100.00	0.00	100.00
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	0.00	100.00	0.00	100.00
45	Ohio Northern Univ	Polar Bear Racing	OK	0.00	100.00	0.00	100.00
63	Johns Hopkins Univ	Blue Jay Racing	OK	0.00	100.00	0.00	100.00
94	Univ of Rochester	Yellow Jacket Racing	OK	0.00	100.00	0.00	100.00
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	0.00	100.00	0.00	100.00
33	Univ of Iowa	Hawkeye Motorsports	OK	0.00	90.00	0.00	90.00
34	Clarkson University	Golden Knights Racing	OK	0.00	90.00	0.00	90.00
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00	90.00	0.00	90.00
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	0.00	90.00	0.00	90.00
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	0.00	90.00	0.00	90.00
5	Lehigh Univ	Lehigh Engineers	OK	0.00	80.00	0.00	80.00
46	Georgia Institute of Technology	GT Off Road	OK	0.00	80.00	0.00	80.00
51	Marquette Univ	Eagle Racing	OK	0.00	80.00	0.00	80.00
89	Clemson Univ	CUBaja Racing	OK	0.00	80.00	0.00	80.00
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00	80.00	0.00	80.00
25	Univ of Calif - Los Angeles	Bruin Racing	OK	0.00	60.00	0.00	60.00
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00	100.00	40.00	60.00
52	Missouri University of Science and Tech	Miner Baja	OK	0.00	60.00	0.00	60.00
54	Montana Tech	MTBaja	OK	0.00	60.00	0.00	60.00
61	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	0.00	60.00	0.00	60.00
71	Bradley Univ	Bradley Motorsports	OK	0.00	60.00	0.00	60.00
84	Univ of Virginia	Virginia Motorsports	OK	0.00	60.00	0.00	60.00
96	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00	60.00	0.00	60.00
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	0.00	60.00	0.00	60.00
106	Alfred Univ	Saxon Racing	OK	0.00	60.00	0.00	60.00
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	0.00	60.00	0.00	60.00
144	Univ of North Carolina - Charlotte	49er Racing	OK	0.00	60.00	0.00	60.00
14	Pennsylvania College of Technology	PCTBaja	OK	0.00	90.00	40.00	50.00
16	Cleveland State Univ	Vikings Racing	OK	0.00	50.00	0.00	50.00
22	Purdue Univ - Northwest	PNW Motorsports	OK	0.00	50.00	0.00	50.00
36	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	0.00	50.00	0.00	50.00
41	Univ of Oklahoma	Sooner Off-Road	OK	0.00	50.00	0.00	50.00
59	Alfred State College	Pioneer Racing	OK	0.00	50.00	0.00	50.00
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	0.00	50.00	0.00	50.00
3	Georgia Southern Univ	Eagle Motorsports	OK	0.00	80.00	40.00	40.00
6	New Jersey Institute of Technology	Highlander Racing	OK	0.00	40.00	0.00	40.00
15	Old Dominion Univ	Whiskey Throttle Racing	OK	0.00	40.00	0.00	40.00
48	Univ of Texas - El Paso	Mad Pete Motorsports	OK	0.00	40.00	0.00	40.00
56	Oklahoma Christian Univ	Rocky Road Racing	OK	0.00	40.00	0.00	40.00
65	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00	40.00	0.00	40.00
68	Kansas State Univ - Salina	Baja SAE Salina	OK	0.00	40.00	0.00	40.00
73	Univ of Kansas - Lawrence	JMS Baja	OK	0.00	40.00	0.00	40.00
74	Univ of Evansville	UE BAJA	OK	0.00	50.00	10.00	40.00
77	Michigan Tech Univ	Blizzard Baja	OK	0.00	40.00	0.00	40.00
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00	50.00	10.00	40.00
88	Memorial Univ of Newfoundland	Memorial Baja	OK	0.00	50.00	10.00	40.00
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00	40.00	0.00	40.00
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	0.00	40.00	0.00	40.00
126	Murray State Univ	Murray	OK	0.00	40.00	0.00	40.00
7	Northeastern Univ	Skunkworks	OK	0.00	30.00	0.00	30.00
31	Milwaukee School of Engrg	MSOE Baja	OK	0.00	30.00	0.00	30.00
67	Ferris State University	Ferris State Baja Racing	OK	0.00	30.00	0.00	30.00
92	Pittsburg State University	Gorilla Racing	OK	0.00	30.00	0.00	30.00
105	Northern Kentucky Univ	Norse Baja	OK	0.00	30.00	0.00	30.00
109	Kansas State Univ	Wildcat Offroad	OK	0.00	30.00	0.00	30.00
53	Univ of West Florida	UWF Argonauts	OK	0.00	20.00	0.00	20.00
75	Christian Brothers Univ	Baja Blast	OK	0.00	20.00	0.00	20.00
85	New Mexico Inst of Mining & Tech	NMT Dirty Miners	OK	0.00	60.00	40.00	20.00
19	Wright State Univ	Raider Baja	OK	0.00	10.00	0.00	10.00
30	Ryerson Univ	Ryerson Baja	OK	0.00	10.00	0.00	10.00
40	Olin College of Engineering	Olin Baja	OK	0.00	50.00	40.00	10.00
47	Concordia University	Concordia Baja Racing	OK	0.00	10.00	0.00	10.00
97	New Mexico State Univ	NMSU Motorsports	OK	0.00	10.00	0.00	10.00
55	Manipal University	Agni	OK	0.00	5.00	0.00	5.00
115	Western Michigan Univ	Bronco Racing	OK	0.00	5.00	0.00	5.00
72	Northern Michigan Univ	Wildcat Racing	OK	0.00	5.00	40.00	0.00
80	North Carolina State Univ - Raleigh	WM Racing	OK	0.00	5.00	50.00	0.00
91	Middle Tennessee State Univ	MTSU motorsports	OK	0.00	20.00	50.00	0.00
