Current Position	Car No.	School Name	Team Name	# of Laps
1	32	Cornell Univ	Cornell Baja	23
2	10	Univ of Akron	Zips Baja	22
3	58	San Diego State Univ	Aztec Baja	21
4	171	Univ Federal do Rio Grande do Norte	Car-KarÃ¡	21
5	34	Clarkson University	Golden Knights Racing	20
6	79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	20
7	20	Rochester Institute of Technology	RIOT RACING	19
8	26	Ecole De Technologie Superieure	ETS Motorsports	19
9	6	New Jersey Institute of Technology	Highlander Racing	19
10	104	Univ of Central Florida	Knights Racing	19
11	71	Bradley Univ	Bradley Motorsports	18
12	68	Kansas State Univ - Salina	Baja SAE Salina	18
13	50	Univ of Illinois - Urbana Champaign	Off-Road Illini	17
14	2	Univ of Wisconsin - Madison	Badger Racing	17
15	1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	17
16	109	Kansas State Univ	Wildcat Offroad	17
17	67	Ferris State University	Ferris State Baja Racing	16
18	39	Univ of Nebraska - Lincoln	Husker Racing	16
19	66	Queen's Univ	Queen's Baja	16
20	27	Virginia Tech	VT Baja	16
21	16	Cleveland State Univ	Vikings Racing	16
22	3	Georgia Southern Univ	Eagle Motorsports	16
23	110	Universite de Sherbrooke	Sherbrooke Racing Team	15
24	89	Clemson Univ	CUBaja Racing	15
25	43	Univ of Maryland - College Park	Terps Racing	14
26	158	Universidade Federal De Minas Gerais	Baja UFMG	14
27	29	Texas A&M Univ	12th Man Racing	14
28	5	Lehigh Univ	Lehigh Engineers	14
29	65	Univ of Illinois - Chicago	UIC Motorsports	14
30	14	Pennsylvania College of Technology	PCTBaja	14
31	25	Univ of Calif - Los Angeles	Bruin Racing	13
32	38	Univ of Nevada - Las Vegas	Rebel Racing	13
33	102	North Carolina A & T State Univ	Aggie Racing	13
34	45	Ohio Northern Univ	Polar Bear Racing	13
35	90	Polytechnique MontrÃ©al	Poly Mud Bees	12
36	101	UniversitÃ© Laval	AlÃ©rion	12
37	54	Montana Tech	MTBaja	12
38	99	McGill Univ	McGill Baja Racing	12
39	76	The Ohio State University	Baja Buckeyes	11
40	8	Case Western Reserve Univ	CWRU Motorsports	11
41	111	ITESM - Campus Saltillo	NOVA Racing Team	10
42	96	Universidad Autonoma de Ciudad Juarez	Indios Racing	10
43	64	Michigan State Univ	MSU Baja	10
44	106	Alfred Univ	Saxon Racing	10
45	41	Univ of Oklahoma	Sooner Off-Road	10
46	92	Pittsburg State University	Gorilla Racing	10
47	57	Arizona State Univ Polytechnic	Sun Devil Racing	10
48	7	Northeastern Univ	Skunkworks	10
49	37	Univ of Colorado - Boulder	CU Boulder Baja	10
50	52	Missouri University of Science and Tech	Miner Baja	9
51	87	Univ of Maryland - Baltimore County	UMBC Racing	9
52	95	Youngstown State Univ	Penguin Powersports	9
53	51	Marquette Univ	Eagle Racing	8
54	46	Georgia Institute of Technology	GT Off Road	8
55	122	Univ of Arkansas - Fayetteville	Full Boar Racing	8
56	94	Univ of Rochester	Yellow Jacket Racing	8
57	63	Johns Hopkins Univ	Blue Jay Racing	7
58	15	Old Dominion Univ	Whiskey Throttle Racing	7
59	108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	7
60	36	Purdue Univ - W Lafayette	Purdue Baja Racing	7
61	83	Central Michigan Univ	Chippewa Performance	7
62	93	West Virginia Univ Inst of Tech	Golden Bear Racing	6
63	69	Vellore Institute of Technology	Team Jaabaz	6
64	19	Wright State Univ	Raider Baja	6
65	40	Olin College of Engineering	Olin Baja	6
66	84	Univ of Virginia	Virginia Motorsports	6
67	31	Milwaukee School of Engrg	MSOE Baja	5
68	165	Escola de Engenharia de Sao Carlos	EESC USP	5
69	74	Univ of Evansville	UE BAJA	4
70	77	Michigan Tech Univ	Blizzard Baja	4
71	85	New Mexico Inst of Mining & Tech	NMT Dirty Miners	4
72	33	Univ of Iowa	Hawkeye Motorsports	4
73	48	Univ of Texas - El Paso	Mad Pete Motorsports	3
74	23	McMaster Univ	McMaster Baja Racing	3
75	56	Oklahoma Christian Univ	Rocky Road Racing	3
76	73	Univ of Kansas - Lawrence	JMS Baja	3
77	100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	2
78	91	Middle Tennessee State Univ	MTSU motorsports	2
79	105	Northern Kentucky Univ	Norse Baja	2
80	30	Ryerson Univ	Ryerson Baja	2
81	126	Murray State Univ	Murray	2
82	144	Univ of North Carolina - Charlotte	49er Racing	2
83	115	Western Michigan Univ	Bronco Racing	1
84	22	Purdue Univ - Northwest	PNW Motorsports	0
85	44	Univ of Missouri - Kansas City	UMKC Baja Racing	0
86	47	Concordia University	Concordia Baja Racing	0
87	53	Univ of West Florida	UWF Argonauts	0
88	55	Manipal University	Agni	0
89	59	Alfred State College	Pioneer Racing	0
90	61	Instituto Tecnologico de Chihuahua	Panteras Racing Team	0
91	72	Northern Michigan Univ	Wildcat Racing	0
92	75	Christian Brothers Univ	Baja Blast	0
93	80	North Carolina State Univ - Raleigh	WM Racing	0
94	88	Memorial Univ of Newfoundland	Memorial Baja	0
95	97	New Mexico State Univ	NMSU Motorsports	0
