Car No.	School Name	Team Name	Status	Time	Distance
63	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	10.500 Ft
94	Univ of Rochester	Yellow Jacket Racing	OK	0.00000	15.083 Ft
89	Clemson Univ	CUBaja Racing	OK	0.00000	12.833 Ft
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	0.00000	0.000 Ft
66	Queen's Univ	Queen's Baja	OK	0.00000	0.000 Ft
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	17.417 Ft
10	Univ of Akron	Zips Baja	OK	0.00000	27.417 Ft
52	Missouri University of Science and Tech	Miner Baja	OK	0.00000	15.667 Ft
102	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	28.917 Ft
65	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00000	24.750 Ft
109	Kansas State Univ	Wildcat Offroad	OK	0.00000	0.750 Ft
63	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	15.417 Ft
104	Univ of Central Florida	Knights Racing	OK	0.00000	0.292 Ft
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	21.083 Ft
7	Northeastern Univ	Skunkworks	OK	0.00000	0.750 Ft
89	Clemson Univ	CUBaja Racing	OK	0.00000	5.833 Ft
6	New Jersey Institute of Technology	Highlander Racing	OK	0.00000	9.083 Ft
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	0.000 Ft
102	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	21.167 Ft
65	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00000	21.417 Ft
16	Cleveland State Univ	Vikings Racing	OK	7.67700	35.000 Ft
109	Kansas State Univ	Wildcat Offroad	OK	0.00000	1.000 Ft
7	Northeastern Univ	Skunkworks	OK	0.00000	0.833 Ft
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	0.00000	15.167 Ft
5	Lehigh Univ	Lehigh Engineers	OK	8.40400	35.000 Ft
104	Univ of Central Florida	Knights Racing	OK	0.00000	0.333 Ft
8	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	20.833 Ft
16	Cleveland State Univ	Vikings Racing	OK	6.26600	35.000 Ft
68	Kansas State Univ - Salina	Baja SAE Salina	OK	0.00000	22.333 Ft
54	Montana Tech	MTBaja	OK	7.25600	35.000 Ft
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	0.250 Ft
105	Northern Kentucky Univ	Norse Baja	OK	0.00000	32.625 Ft
8	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	0.875 Ft
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	0.00000	1.000 Ft
68	Kansas State Univ - Salina	Baja SAE Salina	OK	0.00000	20.333 Ft
52	Missouri University of Science and Tech	Miner Baja	OK	0.00000	21.833 Ft
32	Cornell Univ	Cornell Baja	OK	0.00000	0.000 Ft
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00000	1.667 Ft
23	McMaster Univ	McMaster Baja Racing	OK	0.00000	0.000 Ft
171	Univ Federal do Rio Grande do Norte	Car-Kará	OK	0.00000	0.333 Ft
46	Georgia Institute of Technology	GT Off Road	OK	0.00000	0.000 Ft
31	Milwaukee School of Engrg	MSOE Baja	OK	11.02900	35.000 Ft
39	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	0.000 Ft
41	Univ of Oklahoma	Sooner Off-Road	OK	0.00000	0.000 Ft
33	Univ of Iowa	Hawkeye Motorsports	OK	0.00000	0.500 Ft
144	Univ of North Carolina - Charlotte	49er Racing	OK	0.00000	0.000 Ft
3	Georgia Southern Univ	Eagle Motorsports	OK	0.00000	0.000 Ft
144	Univ of North Carolina - Charlotte	49er Racing	OK	0.00000	0.000 Ft
23	McMaster Univ	McMaster Baja Racing	OK	0.00000	0.000 Ft
3	Georgia Southern Univ	Eagle Motorsports	OK	0.00000	0.000 Ft
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	0.00000	0.000 Ft
26	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	0.500 Ft
39	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	0.250 Ft
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	0.00000	0.333 Ft
