Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Cones
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	41.13200	41.13200	0
39	Univ of Nebraska - Lincoln	Husker Racing	DQ	0.00000	0.00000	0
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	39.47700	39.47700	0
57	Arizona State Univ Polytechnic	Sun Devil Racing	DQ	0.00000	0.00000	0
39	Univ of Nebraska - Lincoln	Husker Racing	OK	47.27100	47.27100	0
33	Univ of Iowa	Hawkeye Motorsports	OK	51.77300	51.77300	0
33	Univ of Iowa	Hawkeye Motorsports	OK	44.37300	44.37300	0
26	Ecole De Technologie Superieure	ETS Motorsports	OK	40.09500	40.09500	0
32	Cornell Univ	Cornell Baja	OK	38.28100	38.28100	0
14	Pennsylvania College of Technology	PCTBaja	OK	42.20300	42.20300	0
20	Rochester Institute of Technology	RIOT RACING	OK	36.80600	36.80600	0
34	Clarkson University	Golden Knights Racing	DQ	0.00000	0.00000	0
23	McMaster Univ	McMaster Baja Racing	DQ	0.00000	0.00000	0
111	ITESM - Campus Saltillo	NOVA Racing Team	DQ	0.00000	0.00000	0
32	Cornell Univ	Cornell Baja	OK	35.03200	35.03200	0
10	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0
29	Texas A&M Univ	12th Man Racing	OK	42.07100	42.07100	0
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	DQ	0.00000	0.00000	0
90	Polytechnique Montréal	Poly Mud Bees	OK	93.13300	93.13300	0
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	44.69800	44.69800	0
43	Univ of Maryland - College Park	Terps Racing	DQ	0.00000	0.00000	0
109	Kansas State Univ	Wildcat Offroad	OK	57.43100	57.43100	0
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	DQ	0.00000	0.00000	0
65	Univ of Illinois - Chicago	UIC Motorsports	DQ	0.00000	0.00000	0
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	DQ	0.00000	0.00000	0
83	Central Michigan Univ	Chippewa Performance	DQ	0.00000	0.00000	0
99	McGill Univ	McGill Baja Racing	OK	43.92200	43.92200	0
94	Univ of Rochester	Yellow Jacket Racing	DQ	0.00000	0.00000	0
95	Youngstown State Univ	Penguin Powersports	OK	51.60600	51.60600	0
66	Queen's Univ	Queen's Baja	OK	57.96800	57.96800	0
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	47.75500	47.75500	0
8	Case Western Reserve Univ	CWRU Motorsports	OK	49.23800	49.23800	0
5	Lehigh Univ	Lehigh Engineers	DQ	0.00000	0.00000	0
102	North Carolina A & T State Univ	Aggie Racing	DQ	0.00000	0.00000	0
64	Michigan State Univ	MSU Baja	OK	50.63300	50.63300	0
104	Univ of Central Florida	Knights Racing	DQ	0.00000	0.00000	0
76	The Ohio State University	Baja Buckeyes	DQ	0.00000	0.00000	0
16	Cleveland State Univ	Vikings Racing	OK	44.12800	44.12800	0
63	Johns Hopkins Univ	Blue Jay Racing	DQ	0.00000	0.00000	0
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	53.43900	53.43900	0
5	Lehigh Univ	Lehigh Engineers	OK	66.27300	66.27300	0
90	Polytechnique Montréal	Poly Mud Bees	DQ	0.00000	0.00000	0
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	49.02400	49.02400	0
16	Cleveland State Univ	Vikings Racing	OK	43.22600	43.22600	0
63	Johns Hopkins Univ	Blue Jay Racing	OK	61.27800	61.27800	0
7	Northeastern Univ	Skunkworks	OK	54.06700	54.06700	0
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	57.01000	57.01000	0
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	53.45700	53.45700	0
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	53.02900	53.02900	0
171	Univ Federal do Rio Grande do Norte	Car-Kará	DQ	0.00000	0.00000	0
68	Kansas State Univ - Salina	Baja SAE Salina	OK	59.77600	59.77600	0
37	Univ of Colorado - Boulder	CU Boulder Baja	DQ	0.00000	0.00000	0
102	North Carolina A & T State Univ	Aggie Racing	OK	55.77900	55.77900	0
73	Univ of Kansas - Lawrence	JMS Baja	OK	61.99800	61.99800	0
43	Univ of Maryland - College Park	Terps Racing	OK	46.13000	46.13000	0
101	Université Laval	Alérion	OK	49.04500	49.04500	0
68	Kansas State Univ - Salina	Baja SAE Salina	OK	91.92100	91.92100	0
77	Michigan Tech Univ	Blizzard Baja	OK	85.66100	85.66100	0
52	Missouri University of Science and Tech	Miner Baja	DQ	0.00000	0.00000	0
89	Clemson Univ	CUBaja Racing	DQ	0.00000	0.00000	1
6	New Jersey Institute of Technology	Highlander Racing	OK	61.01100	61.01100	0
3	Georgia Southern Univ	Eagle Motorsports	DQ	0.00000	0.00000	0
46	Georgia Institute of Technology	GT Off Road	DQ	0.00000	0.00000	0
92	Pittsburg State University	Gorilla Racing	OK	122.15200	122.15200	0
99	McGill Univ	McGill Baja Racing	OK	43.81300	43.81300	0
45	Ohio Northern Univ	Polar Bear Racing	OK	48.35000	48.35000	0
58	San Diego State Univ	Aztec Baja	OK	55.96600	55.96600	0
25	Univ of Calif - Los Angeles	Bruin Racing	OK	45.27000	45.27000	0
101	Université Laval	Alérion	DQ	0.00000	0.00000	0
111	ITESM - Campus Saltillo	NOVA Racing Team	DQ	0.00000	0.00000	0
65	Univ of Illinois - Chicago	UIC Motorsports	OK	52.46000	52.46000	0
14	Pennsylvania College of Technology	PCTBaja	DQ	0.00000	0.00000	0
144	Univ of North Carolina - Charlotte	49er Racing	OK	68.00600	68.00600	0
48	Univ of Texas - El Paso	Mad Pete Motorsports	OK	67.70500	67.70500	0
71	Bradley Univ	Bradley Motorsports	DQ	0.00000	0.00000	0
52	Missouri University of Science and Tech	Miner Baja	OK	60.36700	60.36700	0
46	Georgia Institute of Technology	GT Off Road	DQ	0.00000	0.00000	0
10	Univ of Akron	Zips Baja	OK	47.08500	47.08500	0
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	58.81300	58.81300	0
45	Ohio Northern Univ	Polar Bear Racing	OK	46.04600	46.04600	0
93	West Virginia Univ Inst of Tech	Golden Bear Racing	DQ	0.00000	0.00000	0
31	Milwaukee School of Engrg	MSOE Baja	DQ	0.00000	0.00000	0
109	Kansas State Univ	Wildcat Offroad	DQ	0.00000	0.00000	0
34	Clarkson University	Golden Knights Racing	OK	41.54300	41.54300	0
41	Univ of Oklahoma	Sooner Off-Road	DQ	0.00000	0.00000	0
51	Marquette Univ	Eagle Racing	OK	46.76800	46.76800	0
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	47.52400	47.52400	0
83	Central Michigan Univ	Chippewa Performance	DQ	0.00000	0.00000	0
19	Wright State Univ	Raider Baja	DQ	0.00000	0.00000	0
171	Univ Federal do Rio Grande do Norte	Car-Kará	DQ	0.00000	0.00000	0
77	Michigan Tech Univ	Blizzard Baja	OK	70.19100	68.19100	1
89	Clemson Univ	CUBaja Racing	DQ	0.00000	0.00000	0
73	Univ of Kansas - Lawrence	JMS Baja	OK	54.49900	54.49900	0
144	Univ of North Carolina - Charlotte	49er Racing	OK	70.12400	70.12400	0
31	Milwaukee School of Engrg	MSOE Baja	OK	60.62200	60.62200	0
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	47.66400	47.66400	0
64	Michigan State Univ	MSU Baja	OK	50.93000	50.93000	0
104	Univ of Central Florida	Knights Racing	DQ	0.00000	0.00000	0
58	San Diego State Univ	Aztec Baja	DQ	0.00000	0.00000	0
105	Northern Kentucky Univ	Norse Baja	OK	109.29900	109.29900	0
71	Bradley Univ	Bradley Motorsports	OK	51.54700	51.54700	0
94	Univ of Rochester	Yellow Jacket Racing	DQ	0.00000	0.00000	0
48	Univ of Texas - El Paso	Mad Pete Motorsports	DQ	0.00000	0.00000	0
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	DQ	0.00000	0.00000	0
74	Univ of Evansville	UE BAJA	DQ	0.00000	0.00000	0
54	Montana Tech	MTBaja	DQ	0.00000	0.00000	0
40	Olin College of Engineering	Olin Baja	DQ	0.00000	0.00000	0
