Car No.	School Name	Team Name	Status	Time	Distance
39	Univ of Nebraska - Lincoln	Husker Racing	OK	35.80100	497.000 Ft
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	0.00000	470.000 Ft
83	Central Michigan Univ	Chippewa Performance	OK	0.00000	128.000 Ft
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	39.25500	497.000 Ft
33	Univ of Iowa	Hawkeye Motorsports	OK	44.18800	497.000 Ft
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	0.00000	397.000 Ft
33	Univ of Iowa	Hawkeye Motorsports	OK	0.00000	307.000 Ft
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	0.00000	410.000 Ft
71	Bradley Univ	Bradley Motorsports	OK	0.00000	462.000 Ft
71	Bradley Univ	Bradley Motorsports	OK	38.88700	497.000 Ft
20	Rochester Institute of Technology	RIOT RACING	OK	0.00000	286.000 Ft
16	Cleveland State Univ	Vikings Racing	OK	0.00000	263.000 Ft
26	Ecole De Technologie Superieure	ETS Motorsports	OK	36.55900	497.000 Ft
106	Alfred Univ	Saxon Racing	OK	0.00000	356.000 Ft
10	Univ of Akron	Zips Baja	OK	39.97800	497.000 Ft
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	0.00000	460.000 Ft
20	Rochester Institute of Technology	RIOT RACING	OK	32.92200	497.000 Ft
34	Clarkson University	Golden Knights Racing	OK	34.23100	497.000 Ft
16	Cleveland State Univ	Vikings Racing	OK	38.91100	497.000 Ft
10	Univ of Akron	Zips Baja	OK	35.01900	497.000 Ft
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	60.65000	497.000 Ft
2	Univ of Wisconsin - Madison	Badger Racing	OK	36.73000	497.000 Ft
34	Clarkson University	Golden Knights Racing	OK	0.00000	79.000 Ft
14	Pennsylvania College of Technology	PCTBaja	OK	39.54200	497.000 Ft
54	Montana Tech	MTBaja	OK	0.00000	288.000 Ft
65	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00000	307.000 Ft
65	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00000	462.000 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0.00000	463.000 Ft
14	Pennsylvania College of Technology	PCTBaja	OK	33.62100	497.000 Ft
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	40.32400	497.000 Ft
43	Univ of Maryland - College Park	Terps Racing	OK	0.00000	459.000 Ft
90	Polytechnique Montréal	Poly Mud Bees	OK	36.63100	497.000 Ft
83	Central Michigan Univ	Chippewa Performance	OK	41.38500	497.000 Ft
90	Polytechnique Montréal	Poly Mud Bees	OK	34.51300	497.000 Ft
99	McGill Univ	McGill Baja Racing	OK	0.00000	398.000 Ft
43	Univ of Maryland - College Park	Terps Racing	OK	0.00000	289.000 Ft
104	Univ of Central Florida	Knights Racing	OK	47.39500	497.000 Ft
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	0.00000	354.000 Ft
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	38.34900	497.000 Ft
102	North Carolina A & T State Univ	Aggie Racing	OK	39.98200	497.000 Ft
109	Kansas State Univ	Wildcat Offroad	OK	0.00000	286.000 Ft
99	McGill Univ	McGill Baja Racing	OK	39.70900	497.000 Ft
32	Cornell Univ	Cornell Baja	OK	35.00500	497.000 Ft
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	0.00000	290.000 Ft
94	Univ of Rochester	Yellow Jacket Racing	OK	0.00000	410.000 Ft
64	Michigan State Univ	MSU Baja	OK	0.00000	419.000 Ft
76	The Ohio State University	Baja Buckeyes	OK	0.00000	290.000 Ft
66	Queen's Univ	Queen's Baja	OK	0.00000	27.000 Ft
92	Pittsburg State University	Gorilla Racing	OK	58.65700	497.000 Ft
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	38.95100	497.000 Ft
109	Kansas State Univ	Wildcat Offroad	OK	0.00000	290.000 Ft
32	Cornell Univ	Cornell Baja	OK	0.00000	306.000 Ft
94	Univ of Rochester	Yellow Jacket Racing	OK	0.00000	77.000 Ft
66	Queen's Univ	Queen's Baja	OK	0.00000	290.000 Ft
63	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	298.000 Ft
8	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	356.000 Ft
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	54.02200	497.000 Ft
77	Michigan Tech Univ	Blizzard Baja	OK	0.00000	302.000 Ft
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	459.000 Ft
63	Johns Hopkins Univ	Blue Jay Racing	OK	0.00000	48.000 Ft
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	46.53200	497.000 Ft
29	Texas A&M Univ	12th Man Racing	OK	0.00000	290.000 Ft
77	Michigan Tech Univ	Blizzard Baja	OK	0.00000	310.000 Ft
89	Clemson Univ	CUBaja Racing	OK	41.58400	497.000 Ft
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	46.07200	497.000 Ft
92	Pittsburg State University	Gorilla Racing	OK	0.00000	309.000 Ft
68	Kansas State Univ - Salina	Baja SAE Salina	OK	0.00000	461.000 Ft
23	McMaster Univ	McMaster Baja Racing	OK	48.16300	497.000 Ft
58	San Diego State Univ	Aztec Baja	OK	52.05300	497.000 Ft
6	New Jersey Institute of Technology	Highlander Racing	OK	0.00000	290.000 Ft
64	Michigan State Univ	MSU Baja	OK	0.00000	311.000 Ft
5	Lehigh Univ	Lehigh Engineers	OK	43.98800	497.000 Ft
101	Université Laval	Alérion	OK	48.06400	497.000 Ft
58	San Diego State Univ	Aztec Baja	OK	42.81600	497.000 Ft
46	Georgia Institute of Technology	GT Off Road	OK	58.43400	497.000 Ft
7	Northeastern Univ	Skunkworks	OK	46.40100	497.000 Ft
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	45.16800	497.000 Ft
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	0.00000	280.000 Ft
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00000	409.000 Ft
3	Georgia Southern Univ	Eagle Motorsports	OK	38.77900	497.000 Ft
48	Univ of Texas - El Paso	Mad Pete Motorsports	OK	0.00000	122.000 Ft
23	McMaster Univ	McMaster Baja Racing	OK	0.00000	290.000 Ft
52	Missouri University of Science and Tech	Miner Baja	OK	0.00000	462.000 Ft
95	Youngstown State Univ	Penguin Powersports	OK	45.84000	497.000 Ft
101	Université Laval	Alérion	OK	0.00000	397.000 Ft
2	Univ of Wisconsin - Madison	Badger Racing	OK	0.00000	439.000 Ft
68	Kansas State Univ - Salina	Baja SAE Salina	OK	0.00000	495.000 Ft
