Car Number	School Name	Team Name	Status	Time
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	3.88700
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	3.91200
11	Universidade Federal de Pernambuco	Mangue Baja	OK	4.23500
85	Univ of Calif - Los Angeles	UCLA Racing	OK	3.95500
55	Michigan State Univ	Michigan State Baja Racing SAE	OK	4.04500
4	Ecole De Technologie Superieure	ETS Motorsports	OK	3.91700
9	Rochester Institute of Technology	RIOT RACING	OK	3.57600
8	Univ of Louisville	Speed Motorsports	OK	3.98100
47	Univ of North Carolina - Charlotte	49er Racing	OK	3.94300
3	Northeastern Univ	Skunkworks	OK	4.26600
77	Auburn Univ	War Eagle Racing	OK	3.97200
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	4.61000
45	Iowa State Univ	Cyclone Racing	OK	3.78700
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	3.74100
61	Franklin W Olin College of Engineering	Phoenix Racing	OK	4.47400
2	Ohio Northern Univ	Polar Bear Racing	OK	3.81600
97	Wichita State Univ	Shocker Racing	OK	4.31400
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	5.00200
47	Univ of North Carolina - Charlotte	49er Racing	OK	4.06100
3	Northeastern Univ	Skunkworks	OK	4.27200
15	Georgia Southern Univ	Eagle Motorsports	OK	4.44300
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	4.40500
61	Franklin W Olin College of Engineering	Phoenix Racing	OK	4.46800
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	OK	4.82800
2	Ohio Northern Univ	Polar Bear Racing	OK	4.00200
86	Pennsylvania College of Technology	Wildcats	OK	5.12500
5	LeTourneau Univ	Renegade Racing	OK	4.15500
98	Lawrence Technological Univ	Blue Devil Racing	OK	4.46500
100	Instituto Technolgico de Buenos Aires	ITBA Competition	OK	4.07900
15	Georgia Southern Univ	Eagle Motorsports	OK	4.48600
97	Wichita State Univ	Shocker Racing	OK	4.97500
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	OK	4.10000
53	Kansas State Univ	Wildcat Racing	OK	4.36900
98	Lawrence Technological Univ	Blue Devil Racing	OK	4.41400
100	Instituto Technolgico de Buenos Aires	ITBA Competition	OK	4.80800
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	4.95800
