Car Number	School Name	Team Name	Status	Report Score	Penalty Points	Final Score
1	Cornell Univ	BIG RED RACING	OK	15.00	0.00	83.00
2	Ohio Northern Univ	Polar Bear Racing	OK	13.00	0.00	82.00
3	Northeastern Univ	Skunkworks	OK	15.00	0.00	84.00
4	Ecole De Technologie Superieure	ETS Motorsports	OK	13.00	0.00	69.00
5	LeTourneau Univ	Renegade Racing	OK	12.00	10.00	13.00
6	Univ of Michigan - Ann Arbor	Maize	OK	15.00	0.00	99.00
8	Univ of Louisville	Speed Motorsports	OK	14.00	0.00	60.00
9	Rochester Institute of Technology	RIOT RACING	OK	8.00	0.00	61.00
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	13.00	0.00	83.00
11	Universidade Federal de Pernambuco	Mangue Baja	OK	15.00	0.00	93.00
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	13.00	0.00	76.00
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	15.00	0.00	98.00
14	Northwestern Univ	Northwestern Baja	OK	6.00	10.00	3.00
15	Georgia Southern Univ	Eagle Motorsports	OK	10.00	0.00	82.00
16	Univ of Tennessee - Knoxville	Team Tennessee	OK	0.00	0.00	0.00
18	Kansas State Univ - Salina	KSU Salina Baja	OK	11.00	0.00	72.00
17	Union College	Union College Racing	OK	7.00	10.00	14.00
19	Univ of Puerto Rico	RUM Racing Baja	OK	9.00	0.00	9.00
20	SUNY - Buffalo	UB Motorsports	OK	10.00	0.00	73.00
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	2.00	0.00	2.00
22	Rowan Univ	Rowan Motorsports	OK	11.00	0.00	11.00
23	McGill Univ	McGill Baja Racing	OK	12.00	0.00	80.00
24	Univ of Nebraska - Lincoln	Husker Racing	OK	15.00	0.00	59.00
26	Missouri University of Science and Tech	Miner Baja Racing	OK	3.00	0.00	3.00
25	Florida Inst of Tech	FIt Baja	OK	15.00	0.00	74.00
27	Univ of Colorado - Colorado Springs	Rocky Mountain Racing	OK	10.00	0.00	10.00
28	McMaster Univ	McMaster Baja Racing	OK	5.00	0.00	5.00
30	Virginia Western Comm Coll	VWCC Motorsports	OK	10.00	0.00	83.00
29	Clemson Univ	CUBaja Racing	OK	12.00	0.00	59.00
31	Pittsburg State University	Gorilla I (Dorothy)	OK	0.00	0.00	0.00
32	Univ of New Orleans	UNO	OK	9.00	0.00	9.00
33	Tennessee Tech Univ	TTU Baja SAE	OK	12.00	0.00	72.00
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	OK	3.00	0.00	3.00
35	Univ of Oklahoma	Sooner Off-Road	OK	13.00	0.00	78.00
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	10.00	0.00	17.00
37	Univ of Arizona	University of Arizona Baja Racing	OK	11.00	0.00	55.00
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	11.00	0.00	11.00
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	5.00	0.00	34.00
40	Universite Du Quebec at Rimouski	Nordic Wolf	OK	11.00	10.00	1.00
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	13.00	0.00	91.00
41	Universidad Catolica Andres Bello	BajaUCAB	OK	11.00	0.00	11.00
43	Kettering Univ	Bulldog Racing	OK	15.00	0.00	95.00
44	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	12.00	0.00	59.00
45	Iowa State Univ	Cyclone Racing	OK	15.00	10.00	51.00
46	Fairmont State Univ	Falcon Racing	OK	0.00	10.00	0.00
47	Univ of North Carolina - Charlotte	49er Racing	OK	12.00	0.00	76.00
48	Montana State Univ - Bozeman	Bobcat Motorsports	OK	3.00	0.00	3.00
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	14.00	0.00	99.00
50	Lehigh Univ	Mountain Hawk Racing	OK	0.00	0.00	0.00
51	Univ of Cincinnati	University of Cincinnati	OK	12.00	0.00	12.00
