Car Number	School Name	Team Name	Status	Report Score	Evaluation Score	Bonus Points	Penalty Points	Final Score
1	Cornell Univ	BIG RED RACING	OK	0.00	100.00	0.00	0.00	100.00
3	Northeastern Univ	Skunkworks	OK	0.00	100.00	0.00	0.00	100.00
4	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00	120.00	0.00	0.00	120.00
5	LeTourneau Univ	Renegade Racing	OK	0.00	70.00	0.00	0.00	70.00
8	Univ of Louisville	Speed Motorsports	OK	0.00	90.00	0.00	0.00	90.00
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	0.00	60.00	0.00	0.00	60.00
9	Rochester Institute of Technology	RIOT RACING	OK	0.00	120.00	0.00	0.00	120.00
11	Universidade Federal de Pernambuco	Mangue Baja	OK	0.00	100.00	0.00	0.00	100.00
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	0.00	100.00	0.00	0.00	100.00
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	0.00	120.00	0.00	0.00	120.00
14	Northwestern Univ	Northwestern Baja	OK	0.00	50.00	0.00	10.00	40.00
15	Georgia Southern Univ	Eagle Motorsports	OK	0.00	110.00	0.00	0.00	110.00
17	Union College	Union College Racing	OK	0.00	20.00	0.00	0.00	20.00
18	Kansas State Univ - Salina	KSU Salina Baja	OK	0.00	20.00	0.00	0.00	20.00
19	Univ of Puerto Rico	RUM Racing Baja	OK	0.00	0.00	0.00	30.00	0.00
20	SUNY - Buffalo	UB Motorsports	OK	0.00	80.00	0.00	0.00	80.00
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	0.00	10.00	0.00	0.00	10.00
22	Rowan Univ	Rowan Motorsports	OK	0.00	0.00	0.00	0.00	0.00
23	McGill Univ	McGill Baja Racing	OK	0.00	120.00	0.00	0.00	120.00
24	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00	50.00	0.00	0.00	50.00
26	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00	20.00	0.00	0.00	20.00
25	Florida Inst of Tech	FIt Baja	OK	0.00	30.00	0.00	0.00	30.00
27	Univ of Colorado - Colorado Springs	Rocky Mountain Racing	OK	0.00	0.00	0.00	50.00	0.00
28	McMaster Univ	McMaster Baja Racing	OK	0.00	0.00	0.00	40.00	0.00
30	Virginia Western Comm Coll	VWCC Motorsports	OK	0.00	30.00	0.00	0.00	30.00
29	Clemson Univ	CUBaja Racing	OK	0.00	50.00	0.00	0.00	50.00
