Current Position	Car Number	School Name	Team Name	# of Laps
1	45	Iowa State Univ	Cyclone Racing	56
2	6	Univ of Michigan - Ann Arbor	Maize	55
3	86	Pennsylvania College of Technology	Wildcats	52
4	13	Centro Universitario Da FEI	FEI BAJA SAE	52
5	30	Virginia Western Comm Coll	VWCC Motorsports	51
6	15	Georgia Southern Univ	Eagle Motorsports	50
7	24	Univ of Nebraska - Lincoln	Husker Racing	49
8	85	Univ of Calif - Los Angeles	UCLA Racing	48
9	12	Escola Polit‚cnica da Universidade de S?o Paulo	POLI AUDAX	48
10	9	Rochester Institute of Technology	RIOT RACING	48
11	93	Ecole Polytechnique De Montreal	poly mud bees	47
12	23	McGill Univ	McGill Baja Racing	47
13	29	Clemson Univ	CUBaja Racing	47
14	11	Universidade Federal de Pernambuco	Mangue Baja	46
15	1	Cornell Univ	BIG RED RACING	46
16	4	Ecole De Technologie Superieure	ETS Motorsports	45
17	64	Oklahoma State Univ	OSU Cowboy Racing	45
18	98	Lawrence Technological Univ	Blue Devil Racing	44
19	39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	42
20	59	Central Michigan Univ	Chippewa Performance	41
21	2	Ohio Northern Univ	Polar Bear Racing	39
22	53	Kansas State Univ	Wildcat Racing	39
23	42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	38
24	3	Northeastern Univ	Skunkworks	38
25	68	New Mexico State Univ	NMSU Motorsports	38
26	8	Univ of Louisville	Speed Motorsports	35
27	55	Michigan State Univ	Michigan State Baja Racing SAE	34
28	20	SUNY - Buffalo	UB Motorsports	34
29	90	Univ of Maryland - College Park	Black Team	34
30	72	North Carolina A & T State Univ	Aggie Racing	33
31	77	Auburn Univ	War Eagle Racing	33
32	44	Univ of Illinois - Urbana Champaign	Off Road Illini	33
33	18	Kansas State Univ - Salina	KSU Salina Baja	33
34	60	Case Western Reserve Univ	BBB Motorsports	31
35	69	Univ of Virginia	Virginia Baja	31
36	10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	30
37	92	Univ of Evansville	UE 2014	30
38	75	Univ of Memphis	Tiger Baja	30
39	49	Univ of Maryland - Baltimore County	Retriever Racing	29
40	33	Tennessee Tech Univ	TTU Baja SAE	29
41	87	Colorado School of Mines	Mines Baja Racing	28
42	80	Univ of Regina	Cougar Motorsports	27
43	26	Missouri University of Science and Tech	Miner Baja Racing	26
44	21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	26
45	88	Univ of Kentucky - Paducah	UK Paducah Baja	26
46	63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	25
47	76	Univ of Wisconsin - Madison	UW Madison Baja	25
48	89	Univ of Toronto	UofT BAJA Team	24
49	78	Univ of British Columbia	UBC Baja SAE	22
50	71	Arizona State Univ Polytechnic	SunDevil Racing Development	21
51	62	Univ of Missouri - Kansas City	UMKC Baja Racing	21
52	36	West Virginia Univ Inst of Tech	WVU Tech SAE	20
53	19	Univ of Puerto Rico	RUM Racing Baja	20
54	41	Universidad Catolica Andres Bello	BajaUCAB	20
55	47	Univ of North Carolina - Charlotte	49er Racing	19
56	65	Univ of Rochester	Yellowjackets	18
57	40	Universite Du Quebec at Rimouski	Nordic Wolf	16
58	48	Montana State Univ - Bozeman	Bobcat Motorsports	15
59	79	Conestoga College	Conestoga Off-road Baja Racing Association	15
60	5	LeTourneau Univ	Renegade Racing	15
61	25	Florida Inst of Tech	FIt Baja	14
62	17	Union College	Union College Racing	13
63	99	Baylor Univ	Baylor Baja	12
64	95	Gyeongsang National Univ	Car-Tech	12
65	81	Univ of Arkansas - Fayetteville	Racing Razorbacks	11
66	46	Fairmont State Univ	Falcon Racing	11
