Car Number	School Name	Team Name	Status	Time	Distance
1	Cornell Univ	BIG RED RACING	OK	0.00000	2 Feet
85	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00000	1 Feet
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	0.00000	0 Feet
98	Lawrence Technological Univ	Blue Devil Racing	OK	0.00000	98 Feet
97	Wichita State Univ	Shocker Racing	OK	0.00000	3 Feet
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	OK	0.00000	1 Feet
4	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	3 Feet
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	5 Feet
77	Auburn Univ	War Eagle Racing	OK	0.00000	7 Feet
11	Universidade Federal de Pernambuco	Mangue Baja	OK	16.94000	100 Feet
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	22.19000	100 Feet
100	Instituto Technolgico de Buenos Aires	ITBA Competition	OK	0.00000	0 Feet
53	Kansas State Univ	Wildcat Racing	OK	22.06000	100 Feet
47	Univ of North Carolina - Charlotte	49er Racing	OK	21.00000	100 Feet
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	OK	16.06000	100 Feet
11	Universidade Federal de Pernambuco	Mangue Baja	OK	20.22000	100 Feet
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	17.03000	100 Feet
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	21.85000	100 Feet
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	22.47000	100 Feet
8	Univ of Louisville	Speed Motorsports	OK	0.00000	1 Feet
67	Lipscomb Univ	Lipscomb Motorsports	OK	23.22000	100 Feet
98	Lawrence Technological Univ	Blue Devil Racing	OK	19.82000	100 Feet
6	Univ of Michigan - Ann Arbor	Maize	OK	0.00000	1 Feet
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	OK	0.00000	2 Feet
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	21.07000	100 Feet
20	SUNY - Buffalo	UB Motorsports	OK	0.00000	5 Feet
30	Virginia Western Comm Coll	VWCC Motorsports	OK	0.00000	7 Feet
26	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00000	3 Feet
17	Union College	Union College Racing	OK	0.00000	4 Feet
45	Iowa State Univ	Cyclone Racing	OK	0.00000	7 Feet
55	Michigan State Univ	Michigan State Baja Racing SAE	OK	0.00000	1 Feet
24	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	4 Feet
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	OK	0.00000	3 Feet
61	Franklin W Olin College of Engineering	Phoenix Racing	OK	0.00000	6 Feet
25	Florida Inst of Tech	FIt Baja	OK	0.00000	3 Feet
68	New Mexico State Univ	NMSU Motorsports	OK	0.00000	58 Feet
77	Auburn Univ	War Eagle Racing	OK	0.00000	4 Feet
79	Conestoga College	Conestoga Off-road Baja Racing Association	OK	0.00000	1 Feet
79	Conestoga College	Conestoga Off-road Baja Racing Association	OK	0.00000	3 Feet
18	Kansas State Univ - Salina	KSU Salina Baja	OK	0.00000	3 Feet
97	Wichita State Univ	Shocker Racing	OK	0.00000	2 Feet
55	Michigan State Univ	Michigan State Baja Racing SAE	OK	0.00000	67 Feet
65	Univ of Rochester	Yellowjackets	OK	0.00000	85 Feet
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00000	40 Feet
3	Northeastern Univ	Skunkworks	OK	0.00000	8 Feet
9	Rochester Institute of Technology	RIOT RACING	OK	0.00000	2 Feet
15	Georgia Southern Univ	Eagle Motorsports	OK	0.00000	5 Feet
60	Case Western Reserve Univ	BBB Motorsports	OK	0.00000	1 Feet
54	Univ of Colorado - Denver	The Missing Lynx	OK	17.62000	100 Feet
93	Ecole Polytechnique De Montreal	poly mud bees	OK	0.00000	96 Feet
97	Wichita State Univ	Shocker Racing	OK	19.73000	100 Feet
44	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0.00000	97 Feet
18	Kansas State Univ - Salina	KSU Salina Baja	OK	0.00000	6 Feet
5	LeTourneau Univ	Renegade Racing	OK	14.84000	100 Feet
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	14.56000	100 Feet
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	0.00000	6 Feet
85	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00000	4 Feet
72	North Carolina A & T State Univ	Aggie Racing	OK	14.04000	100 Feet
3	Northeastern Univ	Skunkworks	OK	0.00000	10 Feet
65	Univ of Rochester	Yellowjackets	OK	28.38000	100 Feet
1	Cornell Univ	BIG RED RACING	OK	13.56000	100 Feet
76	Univ of Wisconsin - Madison	UW Madison Baja	OK	18.90000	100 Feet
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	21.50000	100 Feet
92	Univ of Evansville	UE 2014	OK	18.59000	100 Feet
96	College of New Jersey	Motorlions	OK	17.02000	100 Feet
72	North Carolina A & T State Univ	Aggie Racing	OK	12.81000	100 Feet
24	Univ of Nebraska - Lincoln	Husker Racing	OK	20.81000	100 Feet
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	14.84000	100 Feet
92	Univ of Evansville	UE 2014	OK	16.54000	100 Feet
31	Pittsburg State University	Gorilla I (Dorothy)	OK	14.25000	100 Feet
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	13.20000	100 Feet
29	Clemson Univ	CUBaja Racing	OK	16.32000	100 Feet
47	Univ of North Carolina - Charlotte	49er Racing	OK	14.19000	100 Feet
53	Kansas State Univ	Wildcat Racing	OK	16.62000	100 Feet
99	Baylor Univ	Baylor Baja	OK	17.41000	100 Feet
31	Pittsburg State University	Gorilla I (Dorothy)	OK	0.00000	1 Feet
2	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	0 Feet
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	12.31000	100 Feet
29	Clemson Univ	CUBaja Racing	OK	16.52000	100 Feet
64	Oklahoma State Univ	OSU Cowboy Racing	OK	0.00000	3 Feet
20	SUNY - Buffalo	UB Motorsports	OK	26.94000	100 Feet
99	Baylor Univ	Baylor Baja	OK	16.97000	100 Feet
56	Johns Hopkins Univ	Hopkins Baja	OK	15.89000	100 Feet
15	Georgia Southern Univ	Eagle Motorsports	OK	0.00000	5 Feet
86	Pennsylvania College of Technology	Wildcats	OK	16.06000	100 Feet
59	Central Michigan Univ	Chippewa Performance	OK	17.08000	100 Feet
86	Pennsylvania College of Technology	Wildcats	OK	16.62000	100 Feet
59	Central Michigan Univ	Chippewa Performance	OK	0.00000	90 Feet
68	New Mexico State Univ	NMSU Motorsports	OK	14.27000	100 Feet
30	Virginia Western Comm Coll	VWCC Motorsports	OK	13.87000	100 Feet
25	Florida Inst of Tech	FIt Baja	OK	0.00000	6 Feet
46	Fairmont State Univ	Falcon Racing	OK	0.00000	0 Feet
26	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00000	2 Feet
48	Montana State Univ - Bozeman	Bobcat Motorsports	OK	15.22000	100 Feet
78	Univ of British Columbia	UBC Baja SAE	OK	12.51000	100 Feet
23	McGill Univ	McGill Baja Racing	OK	0.00000	0 Feet
19	Univ of Puerto Rico	RUM Racing Baja	OK	0.00000	0 Feet
78	Univ of British Columbia	UBC Baja SAE	OK	12.30000	100 Feet
17	Union College	Union College Racing	OK	15.00000	100 Feet
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00000	0 Feet
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00000	2 Feet
93	Ecole Polytechnique De Montreal	poly mud bees	OK	18.56000	100 Feet
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	13.10000	100 Feet
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	13.22000	100 Feet
61	Franklin W Olin College of Engineering	Phoenix Racing	OK	20.18000	100 Feet
48	Montana State Univ - Bozeman	Bobcat Motorsports	OK	17.19000	100 Feet
90	Univ of Maryland - College Park	Black Team	OK	21.19000	100 Feet
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	18.06000	100 Feet
2	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	0 Feet
4	Ecole De Technologie Superieure	ETS Motorsports	OK	14.75000	100 Feet
76	Univ of Wisconsin - Madison	UW Madison Baja	OK	19.41000	100 Feet
33	Tennessee Tech Univ	TTU Baja SAE	OK	21.47000	100 Feet
44	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0.00000	87 Feet
84	Montana Tech	Oredigger Baja '14	OK	0.00000	0 Feet
100	Instituto Technolgico de Buenos Aires	ITBA Competition	OK	15.07000	100 Feet
67	Lipscomb Univ	Lipscomb Motorsports	OK	14.44000	100 Feet
52	Universite Laval	Alerion	OK	0.00000	9 Feet
