Car Number	School Name	Team Name	Status	Time
98	Lawrence Technological Univ	Blue Devil Racing	DQ	0.00000
65	Univ of Rochester	Yellowjackets	DQ	0.00000
30	Virginia Western Comm Coll	VWCC Motorsports	OK	144.53000
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	104.50600
11	Universidade Federal de Pernambuco	Mangue Baja	OK	137.71000
55	Michigan State Univ	Michigan State Baja Racing SAE	DQ	0.00000
8	Univ of Louisville	Speed Motorsports	DQ	0.00000
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	DQ	0.00000
1	Cornell Univ	BIG RED RACING	DQ	0.00000
11	Universidade Federal de Pernambuco	Mangue Baja	DQ	0.00000
55	Michigan State Univ	Michigan State Baja Racing SAE	DQ	0.00000
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	DQ	0.00000
85	Univ of Calif - Los Angeles	UCLA Racing	OK	78.38800
60	Case Western Reserve Univ	BBB Motorsports	DQ	0.00000
9	Rochester Institute of Technology	RIOT RACING	OK	93.85100
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	190.26800
85	Univ of Calif - Los Angeles	UCLA Racing	OK	80.53100
68	New Mexico State Univ	NMSU Motorsports	OK	359.22700
3	Northeastern Univ	Skunkworks	DQ	0.00000
60	Case Western Reserve Univ	BBB Motorsports	DQ	0.00000
62	Univ of Missouri - Kansas City	UMKC Baja Racing	DQ	0.00000
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	101.48100
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	DQ	0.00000
2	Ohio Northern Univ	Polar Bear Racing	DQ	0.00000
15	Georgia Southern Univ	Eagle Motorsports	DQ	0.00000
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	83.30000
30	Virginia Western Comm Coll	VWCC Motorsports	OK	112.29100
77	Auburn Univ	War Eagle Racing	DQ	0.00000
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	106.65900
2	Ohio Northern Univ	Polar Bear Racing	OK	76.38300
97	Wichita State Univ	Shocker Racing	DQ	0.00000
47	Univ of North Carolina - Charlotte	49er Racing	OK	105.43500
53	Kansas State Univ	Wildcat Racing	OK	83.72100
97	Wichita State Univ	Shocker Racing	DQ	0.00000
96	College of New Jersey	Motorlions	DQ	0.00000
17	Union College	Union College Racing	OK	148.96500
46	Fairmont State Univ	Falcon Racing	OK	133.32000
53	Kansas State Univ	Wildcat Racing	DQ	0.00000
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	DQ	0.00000
96	College of New Jersey	Motorlions	OK	145.89600
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	88.27300
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	DQ	0.00000
45	Iowa State Univ	Cyclone Racing	OK	88.21600
67	Lipscomb Univ	Lipscomb Motorsports	OK	109.62200
86	Pennsylvania College of Technology	Wildcats	DQ	0.00000
59	Central Michigan Univ	Chippewa Performance	DQ	0.00000
20	SUNY - Buffalo	UB Motorsports	DQ	0.00000
43	Kettering Univ	Bulldog Racing	DQ	0.00000
86	Pennsylvania College of Technology	Wildcats	OK	85.98600
98	Lawrence Technological Univ	Blue Devil Racing	DQ	0.00000
15	Georgia Southern Univ	Eagle Motorsports	OK	74.39800
47	Univ of North Carolina - Charlotte	49er Racing	DQ	0.00000
20	SUNY - Buffalo	UB Motorsports	DQ	0.00000
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	130.14700
6	Univ of Michigan - Ann Arbor	Maize	DQ	0.00000
93	Ecole Polytechnique De Montreal	poly mud bees	OK	151.50800
77	Auburn Univ	War Eagle Racing	DQ	0.00000
33	Tennessee Tech Univ	TTU Baja SAE	DQ	0.00000
44	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	162.38500
25	Florida Inst of Tech	FIt Baja	DQ	0.00000
43	Kettering Univ	Bulldog Racing	OK	115.96500
9	Rochester Institute of Technology	RIOT RACING	OK	71.43300
4	Ecole De Technologie Superieure	ETS Motorsports	DQ	0.00000
68	New Mexico State Univ	NMSU Motorsports	OK	118.96000
79	Conestoga College	Conestoga Off-road Baja Racing Association	DQ	0.00000
72	North Carolina A & T State Univ	Aggie Racing	DQ	0.00000
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	97.34900
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	124.88000
26	Missouri University of Science and Tech	Miner Baja Racing	DQ	0.00000
18	Kansas State Univ - Salina	KSU Salina Baja	OK	163.33700
92	Univ of Evansville	UE 2014	DQ	0.00000
44	Univ of Illinois - Urbana Champaign	Off Road Illini	DQ	0.00000
17	Union College	Union College Racing	OK	119.79100
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	115.70400
4	Ecole De Technologie Superieure	ETS Motorsports	OK	72.76900
54	Univ of Colorado - Denver	The Missing Lynx	OK	255.41100
