Car Number	School Name	Team Name	Status	Time	Distance
60	Case Western Reserve Univ	BBB Motorsports	OK	0.00000	273 Feet
60	Case Western Reserve Univ	BBB Motorsports	OK	0.00000	320 Feet
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00000	1022 Feet
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00000	960 Feet
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	0.00000	275 Feet
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	0.00000	1023 Feet
61	Franklin W Olin College of Engineering	Phoenix Racing	OK	0.00000	1024 Feet
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	OK	0.00000	1025 Feet
86	Pennsylvania College of Technology	Wildcats	OK	0.00000	276 Feet
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	0.00000	1020 Feet
61	Franklin W Olin College of Engineering	Phoenix Racing	OK	0.00000	1020 Feet
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	OK	0.00000	1023 Feet
8	Univ of Louisville	Speed Motorsports	OK	0.00000	224 Feet
47	Univ of North Carolina - Charlotte	49er Racing	OK	0.00000	893 Feet
86	Pennsylvania College of Technology	Wildcats	OK	0.00000	0 Feet
42	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	0.00000	0 Feet
47	Univ of North Carolina - Charlotte	49er Racing	OK	0.00000	300 Feet
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	0.00000	300 Feet
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	0.00000	1034 Feet
55	Michigan State Univ	Michigan State Baja Racing SAE	OK	0.00000	40 Feet
17	Union College	Union College Racing	OK	0.00000	902 Feet
55	Michigan State Univ	Michigan State Baja Racing SAE	OK	0.00000	1023 Feet
67	Lipscomb Univ	Lipscomb Motorsports	OK	91.11200	1080 Feet
17	Union College	Union College Racing	OK	0.00000	300 Feet
65	Univ of Rochester	Yellowjackets	OK	0.00000	1026 Feet
11	Universidade Federal de Pernambuco	Mangue Baja	OK	76.31900	1080 Feet
46	Fairmont State Univ	Falcon Racing	OK	0.00000	896 Feet
76	Univ of Wisconsin - Madison	UW Madison Baja	OK	79.25200	1080 Feet
98	Lawrence Technological Univ	Blue Devil Racing	OK	0.00000	312 Feet
97	Wichita State Univ	Shocker Racing	OK	0.00000	40 Feet
93	Ecole Polytechnique De Montreal	poly mud bees	OK	0.00000	100 Feet
85	Univ of Calif - Los Angeles	UCLA Racing	OK	62.89600	1080 Feet
98	Lawrence Technological Univ	Blue Devil Racing	OK	0.00000	1029 Feet
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	OK	0.00000	711 Feet
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	0.00000	1020 Feet
53	Kansas State Univ	Wildcat Racing	OK	81.60800	1080 Feet
93	Ecole Polytechnique De Montreal	poly mud bees	OK	0.00000	100 Feet
97	Wichita State Univ	Shocker Racing	OK	0.00000	325 Feet
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	61.96600	1080 Feet
57	Escuela Sup de Ing Automotriz Ecatepec	CEDVA ECATEPEC	OK	0.00000	707 Feet
