Car Number	School Name	Team Name	Status	Evaluation Score	Penalty Points	Final Score
1	Cornell Univ	BIG RED RACING	OK	44.00	0.00	44.00
2	Ohio Northern Univ	Polar Bear Racing	OK	42.67	0.00	42.67
3	Northeastern Univ	Skunkworks	OK	39.33	0.00	39.33
4	Ecole De Technologie Superieure	ETS Motorsports	OK	41.67	0.00	41.67
5	LeTourneau Univ	Renegade Racing	OK	35.67	0.00	35.67
6	Univ of Michigan - Ann Arbor	Maize	OK	43.67	0.00	43.67
8	Univ of Louisville	Speed Motorsports	OK	41.67	0.00	41.67
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	39.33	0.00	39.33
9	Rochester Institute of Technology	RIOT RACING	OK	39.33	0.00	39.33
11	Universidade Federal de Pernambuco	Mangue Baja	OK	45.00	0.00	45.00
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	48.33	0.00	48.33
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	46.00	0.00	46.00
14	Northwestern Univ	Northwestern Baja	OK	30.83	0.00	30.83
15	Georgia Southern Univ	Eagle Motorsports	OK	42.00	0.00	42.00
17	Union College	Union College Racing	OK	33.33	0.00	33.33
19	Univ of Puerto Rico	RUM Racing Baja	OK	40.67	0.00	40.67
18	Kansas State Univ - Salina	KSU Salina Baja	OK	34.67	0.00	34.67
20	SUNY - Buffalo	UB Motorsports	OK	33.00	0.00	33.00
22	Rowan Univ	Rowan Motorsports	OK	0.00	0.00	0.00
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	25.67	0.00	25.67
23	McGill Univ	McGill Baja Racing	OK	47.67	0.00	47.67
24	Univ of Nebraska - Lincoln	Husker Racing	OK	43.67	0.00	43.67
25	Florida Inst of Tech	FIt Baja	OK	41.33	0.00	41.33
26	Missouri University of Science and Tech	Miner Baja Racing	OK	32.67	0.00	32.67
27	Univ of Colorado - Colorado Springs	Rocky Mountain Racing	OK	0.00	0.00	0.00
28	McMaster Univ	McMaster Baja Racing	OK	0.00	0.00	0.00
30	Virginia Western Comm Coll	VWCC Motorsports	OK	24.00	0.00	24.00
29	Clemson Univ	CUBaja Racing	OK	37.00	0.00	37.00
31	Pittsburg State University	Gorilla I (Dorothy)	OK	26.33	0.00	26.33
33	Tennessee Tech Univ	TTU Baja SAE	OK	34.00	0.00	34.00
32	Univ of New Orleans	UNO	OK	0.00	0.00	0.00
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	OK	29.67	0.00	29.67
35	Univ of Oklahoma	Sooner Off-Road	OK	30.50	0.00	30.50
37	Univ of Arizona	University of Arizona Baja Racing	OK	39.00	0.00	39.00
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	35.00	0.00	35.00
38	Queen's Univ - Ontario Canada	Queen's University Baja SAE	OK	0.00	0.00	0.00
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	33.17	0.00	33.17
