Car No.	School Name	Team Name	Status	Time
58	Louisiana State Univ	Baja Bengals	OK	4.812
58	Louisiana State Univ	Baja Bengals	OK	4.797
10	Rochester Institute of Technology	RIOT Racing	OK	4.471
60	Universite de Sherbrooke	Sherbrooke Racing	OK	4.842
60	Universite de Sherbrooke	Sherbrooke Racing	OK	4.881
30	Central Michigan Univ	Chippewa Performance	OK	4.694
30	Central Michigan Univ	Chippewa Performance	OK	4.747
10	Rochester Institute of Technology	RIOT Racing	OK	4.387
54	North Carolina A & T State Univ	Aggie Racing	OK	4.604
54	North Carolina A & T State Univ	Aggie Racing	OK	4.626
48	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	4.932
36	Univ of Akron	Zips Baja	OK	4.825
37	Government College of Engrg Pune	Team Nemesis Racing	OK	4.814
62	Univ of Calif - Los Angeles	UCLA Racing	OK	4.898
56	Michigan State Univ	MSU Baja	OK	5.124
11	Pennsylvania College of Technology	PCT racing	OK	4.964
72	Queen's Univ - Ontario Canada	Queen's Baja	OK	4.882
56	Michigan State Univ	MSU Baja	OK	5.083
91	Univ of Kansas - Lawrence	Jayhawk Motorsports Baja	OK	5.053
51	West Virginia Univ	Mountaineers	OK	5.411
74	Univ of Waterloo	Cheetah Racing	OK	14.078
11	Pennsylvania College of Technology	PCT racing	OK	5.024
51	West Virginia Univ	Mountaineers	OK	5.452
49	Ohio Northern Univ	Polar Bear Racing	OK	4.952
22	Sanilac Career Center	SCC Baja	OK	5.232
36	Univ of Akron	Zips Baja	OK	4.734
78	Iowa State Univ	Cyclone Racing	OK	4.536
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	4.286
110	Northern Kentucky Univ	Norse Baja	OK	6.497
72	Queen's Univ - Ontario Canada	Queen's Baja	OK	4.834
50	Virginia Western Comm Coll	vwcc	OK	4.892
104	Univ of Tulsa	Hurricane Baja	OK	5.49
16	Rowan Univ	Rowan Motorsports	OK	5.133
110	Northern Kentucky Univ	Norse Baja	OK	6.434
78	Iowa State Univ	Cyclone Racing	OK	4.618
109	Olin College of Engineering	Phoenix Racing	OK	4.841
16	Rowan Univ	Rowan Motorsports	OK	5.268
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	4.216
94	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	5.377
50	Virginia Western Comm Coll	vwcc	OK	4.943
94	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	5.414
4	California State Poly Univ - Pomona	Bronco Racing	OK	4.995
98	Northeastern Univ	Skunkworks	OK	5.022
69	Old Dominion Univ	ODU BAJA	OK	6.237
98	Northeastern Univ	Skunkworks	OK	4.983
104	Univ of Tulsa	Hurricane Baja	OK	5.467
69	Old Dominion Univ	ODU BAJA	OK	5.746
64	Ferris State University	Brutus	OK	5.422
63	Virginia Tech	VT Baja	OK	5.324
74	Univ of Waterloo	Cheetah Racing	OK	4.947
48	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	4.798
64	Ferris State University	Brutus	OK	5.475
5	Georgia Southern Univ	Eagle Motorsports	OK	4.747
23	Clarkson University	Golden Knights Racing	OK	4.981
66	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	5.072
93	Univ of Nebraska - Lincoln	Husker Racing	OK	4.676
5	Georgia Southern Univ	Eagle Motorsports	OK	4.92
39	Northern Illinois Univ	NIU Baja	OK	5.007
93	Univ of Nebraska - Lincoln	Husker Racing	OK	4.703
