Car No.	School / Team Name	Status	Report Score	Penalty Points	Final Score
46	Univ of Central Florida Knights Racing 	OK	14.00	0.00	99.00
1	Univ of Michigan - Ann Arbor Michigan Baja Racing 	OK	14.00	0.00	98.34
29	Arizona State Univ Polytechnic Sun Devil Racing 	OK	15.00	0.00	94.86
8	Johns Hopkins Univ Hopkins Baja 	OK	15.00	0.00	93.44
31	Ecole De Technologie Superieure ETS Motorsports 	OK	15.00	0.00	91.97
93	Univ of Nebraska - Lincoln Husker Racing 	OK	15.00	0.00	91.56
105	Univ of Maryland - Baltimore County UMBC Racing 	OK	15.00	0.00	90.78
7	Polytechnique Montréal poly mud bees 	OK	15.00	0.00	89.36
10	Rochester Institute of Technology RIOT Racing 	OK	14.00	0.00	86.71
78	Iowa State Univ Cyclone Racing 	OK	12.00	0.00	86.68
73	Louisiana Tech Univ Mud Dawg Racing 	OK	11.00	0.00	86.34
66	North Carolina State Univ - Raleigh Wolfpack Motorsports 	OK	13.00	0.00	85.85
19	Univ of Rochester Yellow Jacket Racing 	OK	14.00	0.00	85.76
11	Pennsylvania College of Technology PCT racing 	OK	15.00	0.00	85.55
6	Auburn Univ War Eagle Motorsports 	OK	15.00	0.00	85.14
104	Univ of Tulsa Hurricane Baja 	OK	9.00	0.00	84.62
98	Northeastern Univ Skunkworks 	OK	13.00	0.00	83.55
36	Univ of Akron Zips Baja 	OK	13.00	0.00	82.50
2	Cornell Univ BIG RED RACING 	OK	13.00	0.00	81.60
16	Rowan Univ Rowan Motorsports 	OK	10.00	0.00	79.51
58	Louisiana State Univ Baja Bengals 	OK	13.00	0.00	79.37
74	Univ of Waterloo Cheetah Racing 	OK	15.00	0.00	78.96
62	Univ of Calif - Los Angeles UCLA Racing 	OK	15.00	0.00	76.16
50	Virginia Western Comm Coll vwcc 	OK	3.00	0.00	74.76
137	Univ of Missouri - Kansas City UMKC Baja Racing 	OK	13.00	0.00	74.12
69	Old Dominion Univ ODU BAJA 	OK	13.00	0.00	73.55
57	Univ of Illinois - Chicago UIC Motorsports 	OK	13.00	0.00	73.35
86	Missouri University of Science and Tech Miner Baja SAE 	OK	13.00	0.00	72.57
40	Case Western Reserve Univ CWRU Motorsports 	OK	11.00	0.00	72.15
107	Clemson Univ CUBaja Racing 	OK	7.00	10.00	69.73
5	Georgia Southern Univ Eagle Motorsports 	OK	4.00	10.00	69.17
83	Miami Univ Redhawk Racing 	OK	15.00	0.00	68.41
60	Universite de Sherbrooke Sherbrooke Racing 	OK	7.00	0.00	68.05
72	Queen's Univ - Ontario Canada Queen's Baja 	OK	15.00	0.00	66.27
120	Univ of Maryland - College Park Terps Racing 	OK	13.00	0.00	66.06
37	Government College of Engrg Pune Team Nemesis Racing 	OK	15.00	0.00	65.05
27	Univ of Louisville Speed Motorsports 	OK	11.00	0.00	63.42
4	California State Poly Univ - Pomona Bronco Racing 	OK	15.00	0.00	62.75
109	Olin College of Engineering Phoenix Racing 	OK	11.00	0.00	61.70
49	Ohio Northern Univ Polar Bear Racing 	OK	15.00	0.00	60.27
94	Univ of Pittsburgh - Johnstown Steel Panther Racing 	OK	10.00	10.00	59.47
63	Virginia Tech VT Baja 	OK	15.00	0.00	59.02
54	North Carolina A & T State Univ Aggie Racing 	OK	11.00	10.00	58.17
48	Univ of Illinois - Urbana Champaign Off Road Illini 	OK	10.00	0.00	54.72
91	Univ of Kansas - Lawrence Jayhawk Motorsports Baja 	OK	11.00	0.00	53.49
84	Lipscomb Univ Lipscomb Motorsports 	OK	9.00	0.00	52.99
110	Northern Kentucky Univ Norse Baja 	OK	8.00	10.00	52.15
34	Pittsburg State University Gorilla Racing 	OK	8.00	0.00	51.41
39	Northern Illinois Univ NIU Baja 	OK	15.00	0.00	51.21
52	Geneva College GT 16 	OK	6.00	0.00	49.54
30	Central Michigan Univ Chippewa Performance 	OK	15.00	0.00	49.49
33	Northwestern Univ NU Motorcats 	OK	13.00	0.00	47.98
64	Ferris State University Brutus 	OK	12.00	0.00	47.68
9	Tennessee Tech Univ TTU Baja 	OK	15.00	0.00	45.94
23	Clarkson University Golden Knights Racing 	OK	15.00	0.00	44.77
47	West Virginia Univ Inst of Tech Golden Bear Racing 	OK	0.00	0.00	41.16
97	University of Mount Union Raider Racing 	OK	14.00	0.00	40.47
71	Georgia Institute of Technology GT Off Road 	OK	6.00	0.00	39.01
35	Univ of Notre Dame Irish Racing 	OK	14.00	0.00	29.94
51	West Virginia Univ Mountaineers 	OK	10.00	0.00	25.10
80	Univ of Alabama - Tuscaloosa Bama Racing 	OK	0.00	50.00	21.87
26	Vellore Institute of Technology Team Jaabaz 	OK	15.00	0.00	15.00
115	SUNY - Buffalo UB Motorsports 	OK	14.00	0.00	14.00
