Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0	150	0	150
4	California State Poly Univ - Pomona	Bronco Racing	OK	0	140	0	140
2	Cornell Univ	BIG RED RACING	OK	0	150	0	150
5	Georgia Southern Univ	Eagle Motorsports	OK	0	70	0	70
6	Auburn Univ	War Eagle Motorsports	OK	0	140	0	140
7	Polytechnique Montréal	poly mud bees	OK	0	90	0	90
8	Johns Hopkins Univ	Hopkins Baja	OK	0	100	0	100
9	Tennessee Tech Univ	TTU Baja	OK	0	80	0	80
10	Rochester Institute of Technology	RIOT Racing	OK	0	150	0	150
11	Pennsylvania College of Technology	PCT racing	OK	0	40	0	40
12	Univ of Tennessee - Martin	utm racing	OK	0	40	0	40
13	Univ of Arkansas- Fort Smith	UAFSBAJA	OK	0	0	0	0
15	Univ of Alabama - Birmingham	Blazer Motorsports	OK	0	20	10	10
16	Rowan Univ	Rowan Motorsports	OK	0	60	0	60
17	Universidad Panamericana	PanterasUP	OK	0	30	0	30
18	Youngstown State Univ	Penguin Powersports	OK	0	40	0	40
19	Univ of Rochester	Yellow Jacket Racing	OK	0	80	0	80
20	Purdue Univ - Calumet	PUC Motorsports	OK	0	20	0	20
22	Sanilac Career Center	SCC Baja	OK	0	20	0	20
23	Clarkson University	Golden Knights Racing	OK	0	50	0	50
24	McMaster Univ	McMaster Baja Racing	OK	0	50	0	50
25	Univ of Kentucky - Paducah	Big Blue Baja	OK	0	0	0	0
26	Vellore Institute of Technology	Team Jaabaz	OK	0	120	0	120
27	Univ of Louisville	Speed Motorsports	OK	0	0	0	0
29	Arizona State Univ Polytechnic	Sun Devil Racing	OK	0	120	0	120
30	Central Michigan Univ	Chippewa Performance	OK	0	130	0	130
31	Ecole De Technologie Superieure	ETS Motorsports	OK	0	150	0	150
33	Northwestern Univ	NU Motorcats	OK	0	80	0	80
34	Pittsburg State University	Gorilla Racing	OK	0	30	0	30
35	Univ of Notre Dame	Irish Racing	OK	0	70	0	70
36	Univ of Akron	Zips Baja	OK	0	80	0	80
37	Government College of Engrg Pune	Team Nemesis Racing	OK	0	150	0	150
39	Northern Illinois Univ	NIU Baja	OK	0	40	0	40
40	Case Western Reserve Univ	CWRU Motorsports	OK	0	80	0	80
41	New Mexico State Univ	NMSU Pink Baja	OK	0	0	0	0
42	University of Vermont	Catamount Racing	OK	0	0	0	0
43	Embry-Riddle Aero Univ - Daytona Beach	Women’s Baja – Lady Eagles	OK	0	20	20	0
44	Univ of Evansville	Ace Baja	OK	0	50	0	50
46	Univ of Central Florida	Knights Racing	OK	0	60	0	60
47	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	0	80	0	80
48	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0	60	0	60
49	Ohio Northern Univ	Polar Bear Racing	OK	0	110	0	110
50	Virginia Western Comm Coll	vwcc	OK	0	30	0	30
51	West Virginia Univ	Mountaineers	OK	0	70	0	70
52	Geneva College	GT 16	OK	0	20	0	20
53	Western Carolina Univ	WCUBaja	OK	0	20	0	20
54	North Carolina A & T State Univ	Aggie Racing	OK	0	90	0	90
55	Cairo University	BCURT	OK	0	30	0	30
56	Michigan State Univ	MSU Baja	OK	0	150	0	150
57	Univ of Illinois - Chicago	UIC Motorsports	OK	0	60	0	60
58	Louisiana State Univ	Baja Bengals	OK	0	70	0	70
60	Universite de Sherbrooke	Sherbrooke Racing	OK	0	50	0	50
62	Univ of Calif - Los Angeles	UCLA Racing	OK	0	80	0	80
63	Virginia Tech	VT Baja	OK	0	70	0	70
64	Ferris State University	Brutus	OK	0	30	0	30
66	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	0	90	0	90
67	Ohio State Univ	Baja Buckeyes	OK	0	0	0	0
69	Old Dominion Univ	ODU BAJA	OK	0	40	0	40
71	Georgia Institute of Technology	GT Off Road	OK	0	60	0	60
72	Queen's Univ - Ontario Canada	Queen's Baja	OK	0	120	0	120
73	Louisiana Tech Univ	Mud Dawg Racing	OK	0	40	0	40
74	Univ of Waterloo	Cheetah Racing	OK	0	50	10	40
76	George Washington Univ	GW Colonial Racing	OK	0	20	0	20
77	Univ of Wisconsin - Milwaukee	UWM Motorsports	OK	0	80	0	80
78	Iowa State Univ	Cyclone Racing	OK	0	100	0	100
79	Harding Univ	Bison Baja	OK	0	70	0	70
80	Univ of Alabama - Tuscaloosa	Bama Racing	OK	0	20	90	0
82	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	0	80	0	80
83	Miami Univ	Redhawk Racing	OK	0	60	0	60
84	Lipscomb Univ	Lipscomb Motorsports	OK	0	20	100	0
85	Instituto Tecnologico de Pachuca	Scuderia ITP	OK	0	50	0	50
86	Missouri University of Science and Tech	Miner Baja SAE	OK	0	40	0	40
87	Cleveland State Univ	Vikings Racing	OK	0	30	0	30
88	Oklahoma Christian Univ	Lebaron	OK	0	20	0	20
89	Univ of Southern Indiana	Screaming Eagles	OK	0	0	0	0
90	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0	30	0	30
91	Univ of Kansas - Lawrence	Jayhawk Motorsports Baja	OK	0	30	0	30
93	Univ of Nebraska - Lincoln	Husker Racing	OK	0	70	0	70
