Pos.	Car No.	School / Team Name	# of Laps	Last Lap Time	Best Lap Time	Average Lap Time
1	78	Iowa State Univ Cyclone Racing 	31	7:04.416 (at 15:02:05.259) 	6:50.410 (lap 12) 	8:02.316
2	10	Rochester Institute of Technology RIOT Racing 	31	7:40.465 (at 15:07:47.614) 	6:59.471 (lap 25) 	8:13.833
3	49	Ohio Northern Univ Polar Bear Racing 	31	7:33.074 (at 15:09:30.192) 	6:30.781 (lap 8) 	8:11.984
4	2	Cornell Univ BIG RED RACING 	29	8:04.544 (at 15:09:27.582) 	6:38.642 (lap 9) 	8:45.832
5	66	North Carolina State Univ - Raleigh Wolfpack Motorsports 	28	7:28.133 (at 15:03:24.885) 	7:08.477 (lap 17) 	8:52.784
6	62	Univ of Calif - Los Angeles UCLA Racing 	26	7:40.765 (at 14:48:34.803) 	7:14.642 (lap 8) 	8:57.548
7	30	Central Michigan Univ Chippewa Performance 	26	7:28.730 (at 14:51:13.424) 	7:10.880 (lap 10) 	9:10.673
8	9	Tennessee Tech Univ TTU Baja 	26	8:09.000 (at 14:53:06.417) 	7:13.802 (lap 16) 	9:10.030
9	93	Univ of Nebraska - Lincoln Husker Racing 	26	7:31.098 (at 15:06:21.505) 	7:01.732 (lap 25) 	9:47.073
10	56	Michigan State Univ MSU Baja 	26	7:37.396 (at 15:06:49.714) 	6:55.465 (lap 7) 	9:42.659
11	84	Lipscomb Univ Lipscomb Motorsports 	25	8:21.112 (at 14:57:14.129) 	7:39.964 (lap 19) 	9:33.097
12	1	Univ of Michigan - Ann Arbor Michigan Baja Racing 	25	6:48.304 (at 15:04:38.959) 	6:24.610 (lap 10) 	10:10.189
13	4	California State Poly Univ - Pomona Bronco Racing 	25	7:08.640 (at 15:04:41.293) 	7:08.640 (lap 25) 	10:05.256
14	57	Univ of Illinois - Chicago UIC Motorsports 	25	8:13.243 (at 15:09:48.345) 	7:12.014 (lap 15) 	10:05.434
15	5	Georgia Southern Univ Eagle Motorsports 	24	7:14.686 (at 14:54:18.603) 	7:14.686 (lap 24) 	10:06.349
16	31	Ecole De Technologie Superieure ETS Motorsports 	24	7:47.945 (at 15:03:35.180) 	6:39.053 (lap 11) 	10:29.425
17	23	Clarkson University Golden Knights Racing 	24	7:54.735 (at 15:05:21.332) 	6:59.799 (lap 4) 	10:30.012
18	36	Univ of Akron Zips Baja 	24	7:33.675 (at 15:06:25.246) 	7:06.187 (lap 22) 	10:38.102
19	72	Queen's Univ - Ontario Canada Queen's Baja 	24	9:09.543 (at 15:08:51.512) 	7:10.846 (lap 7) 	10:42.344
