Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Off Course	Ball
48	Univ of Illinois - Urbana Champaign	Off Road Illini	DQ	0	0	0	0
78	Iowa State Univ	Cyclone Racing	OK	208.89	136.89	8	16
22	Sanilac Career Center	SCC Baja	OK	376.204	209.204	19	36
54	North Carolina A & T State Univ	Aggie Racing	OK	346.195	164.195	22	36
56	Michigan State Univ	MSU Baja	OK	230.564	130.564	10	25
104	Univ of Tulsa	Hurricane Baja	OK	240.251	123.251	11	31
50	Virginia Western Comm Coll	vwcc	OK	215.656	83.656	12	36
94	Univ of Pittsburgh - Johnstown	Steel Panther Racing	DQ	0	0	1	8
104	Univ of Tulsa	Hurricane Baja	OK	203.36	137.36	6	18
74	Univ of Waterloo	Cheetah Racing	OK	220.209	158.209	4	21
48	Univ of Illinois - Urbana Champaign	Off Road Illini	DQ	0	0	0	0
37	Government College of Engrg Pune	Team Nemesis Racing	OK	167.951	98.951	5	22
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	162.615	99.615	7	14
98	Northeastern Univ	Skunkworks	OK	324.604	100.604	26	47
4	California State Poly Univ - Pomona	Bronco Racing	OK	203.007	101.007	10	26
110	Northern Kentucky Univ	Norse Baja	OK	212.756	167.756	5	10
64	Ferris State University	Brutus	OK	275.29	138.29	13	36
5	Georgia Southern Univ	Eagle Motorsports	OK	196.875	128.875	6	19
60	Universite de Sherbrooke	Sherbrooke Racing	OK	171.223	90.223	9	18
69	Old Dominion Univ	ODU BAJA	OK	407.96	202.96	23	45
58	Louisiana State Univ	Baja Bengals	OK	245.889	100.889	15	35
51	West Virginia Univ	Mountaineers	OK	140.486	97.486	3	14
91	Univ of Kansas - Lawrence	Jayhawk Motorsports Baja	OK	275.764	151.764	12	32
66	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	187.245	103.245	8	22
94	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	310.824	251.824	5	17
93	Univ of Nebraska - Lincoln	Husker Racing	OK	210.626	115.626	9	25
73	Louisiana Tech Univ	Mud Dawg Racing	OK	221.893	148.893	5	24
16	Rowan Univ	Rowan Motorsports	OK	191.833	113.833	6	24
37	Government College of Engrg Pune	Team Nemesis Racing	OK	196.5	120.5	8	18
31	Ecole De Technologie Superieure	ETS Motorsports	OK	198.325	87.325	11	28
11	Pennsylvania College of Technology	PCT racing	OK	182.895	91.895	9	23
120	Univ of Maryland - College Park	Terps Racing	OK	218.587	102.587	10	33
72	Queen's Univ - Ontario Canada	Queen's Baja	OK	197.402	98.402	9	27
35	Univ of Notre Dame	Irish Racing	OK	222.785	123.785	9	27
110	Northern Kentucky Univ	Norse Baja	OK	146.093	112.093	2	12
30	Central Michigan Univ	Chippewa Performance	DQ	0	0	0	0
64	Ferris State University	Brutus	DQ	0	0	9	26
60	Universite de Sherbrooke	Sherbrooke Racing	OK	167.682	109.682	6	14
10	Rochester Institute of Technology	RIOT Racing	OK	145.794	92.794	5	14
47	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	227.164	120.164	11	26
49	Ohio Northern Univ	Polar Bear Racing	OK	159.658	97.658	4	21
51	West Virginia Univ	Mountaineers	OK	149.105	120.105	3	7
74	Univ of Waterloo	Cheetah Racing	OK	223.871	133.871	8	25
34	Pittsburg State University	Gorilla Racing	OK	211.311	117.311	8	27
46	Univ of Central Florida	Knights Racing	OK	191.262	98.262	9	24
80	Univ of Alabama - Tuscaloosa	Bama Racing	OK	290.587	158.587	12	36
62	Univ of Calif - Los Angeles	UCLA Racing	OK	158.651	90.651	6	19
50	Virginia Western Comm Coll	vwcc	DQ	0	0	0	0
98	Northeastern Univ	Skunkworks	OK	283.657	142.657	15	33
137	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	197.521	115.521	6	26
23	Clarkson University	Golden Knights Racing	OK	175.523	84.523	9	23
12	Univ of Tennessee - Martin	utm racing	DQ	0	0	2	6
10	Rochester Institute of Technology	RIOT Racing	OK	143.612	88.612	5	15
52	Geneva College	GT 16	OK	268.288	144.288	12	32
93	Univ of Nebraska - Lincoln	Husker Racing	OK	159.552	100.552	5	17
11	Pennsylvania College of Technology	PCT racing	OK	167.567	100.567	5	21
57	Univ of Illinois - Chicago	UIC Motorsports	OK	216.667	108.667	10	29
36	Univ of Akron	Zips Baja	OK	257.502	112.502	13	40
7	Polytechnique Montréal	poly mud bees	OK	200.026	112.026	8	24
16	Rowan Univ	Rowan Motorsports	OK	227.835	129.835	8	29
2	Cornell Univ	BIG RED RACING	DQ	0	0	0	0
90	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	244.859	159.859	5	30
56	Michigan State Univ	MSU Baja	OK	225.428	120.428	7	35
62	Univ of Calif - Los Angeles	UCLA Racing	OK	160.191	85.191	5	25
19	Univ of Rochester	Yellow Jacket Racing	OK	203.615	129.615	6	22
120	Univ of Maryland - College Park	Terps Racing	OK	190.451	114.451	6	23
26	Vellore Institute of Technology	Team Jaabaz	OK	258.94	140.94	10	34
58	Louisiana State Univ	Baja Bengals	OK	223.172	117.172	10	28
39	Northern Illinois Univ	NIU Baja	OK	199.177	131.177	6	19
30	Central Michigan Univ	Chippewa Performance	OK	199.255	119.255	8	20
107	Clemson Univ	CUBaja Racing	OK	206.694	83.694	13	29
71	Georgia Institute of Technology	GT Off Road	DQ	0	0	2	4
