Car No.	School Name	Team Name	Status	Eval. Score	Final Score
2	Cornell Univ	BIG RED RACING	OK	44.5	44.5
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	47.25	47.25
4	California State Poly Univ - Pomona	Bronco Racing	OK	48.67	48.67
6	Auburn Univ	War Eagle Motorsports	OK	41.25	41.25
5	Georgia Southern Univ	Eagle Motorsports	OK	39.75	39.75
7	Polytechnique Montréal	poly mud bees	OK	40	40
9	Tennessee Tech Univ	TTU Baja	OK	37.25	37.25
8	Johns Hopkins Univ	Hopkins Baja	OK	45.25	45.25
10	Rochester Institute of Technology	RIOT Racing	OK	44.25	44.25
11	Pennsylvania College of Technology	PCT racing	OK	44	44
12	Univ of Tennessee - Martin	utm racing	OK	39	39
13	Univ of Arkansas- Fort Smith	UAFSBAJA	OK	0	0
15	Univ of Alabama - Birmingham	Blazer Motorsports	OK	16.5	16.5
16	Rowan Univ	Rowan Motorsports	OK	30.25	30.25
17	Universidad Panamericana	PanterasUP	OK	34.5	34.5
18	Youngstown State Univ	Penguin Powersports	OK	36.75	36.75
19	Univ of Rochester	Yellow Jacket Racing	OK	44.5	44.5
20	Purdue Univ - Calumet	PUC Motorsports	OK	35.33	35.33
22	Sanilac Career Center	SCC Baja	OK	16.25	16.25
23	Clarkson University	Golden Knights Racing	OK	28	28
24	McMaster Univ	McMaster Baja Racing	OK	33.5	33.5
25	Univ of Kentucky - Paducah	Big Blue Baja	OK	0	0
26	Vellore Institute of Technology	Team Jaabaz	OK	37.75	37.75
27	Univ of Louisville	Speed Motorsports	OK	0	0
29	Arizona State Univ Polytechnic	Sun Devil Racing	OK	44.67	44.67
30	Central Michigan Univ	Chippewa Performance	OK	47	47
31	Ecole De Technologie Superieure	ETS Motorsports	OK	41	41
33	Northwestern Univ	NU Motorcats	OK	26.25	26.25
34	Pittsburg State University	Gorilla Racing	OK	32	32
35	Univ of Notre Dame	Irish Racing	OK	39.75	39.75
36	Univ of Akron	Zips Baja	OK	45.5	45.5
37	Government College of Engrg Pune	Team Nemesis Racing	OK	37.75	37.75
39	Northern Illinois Univ	NIU Baja	OK	42	42
40	Case Western Reserve Univ	CWRU Motorsports	OK	43.13	43.13
41	New Mexico State Univ	NMSU Pink Baja	OK	0	0
