Car No.	School Name	Team Name	Status	Time	Distance
10	Rochester Institute of Technology	RIOT Racing	OK	0	17 Gates
22	Sanilac Career Center	SCC Baja	OK	0	17 Gates
4	California State Poly Univ - Pomona	Bronco Racing	OK	0	11 Gates
56	Michigan State Univ	MSU Baja	OK	0	16 Gates
93	Univ of Nebraska - Lincoln	Husker Racing	OK	61.337	30 Gates
104	Univ of Tulsa	Hurricane Baja	OK	141.267	30 Gates
11	Pennsylvania College of Technology	PCT racing	OK	0	2 Gates
104	Univ of Tulsa	Hurricane Baja	OK	0	11 Gates
58	Louisiana State Univ	Baja Bengals	OK	0	16 Gates
11	Pennsylvania College of Technology	PCT racing	OK	0	12 Gates
31	Ecole De Technologie Superieure	ETS Motorsports	OK	0	21 Gates
56	Michigan State Univ	MSU Baja	OK	0	18 Gates
47	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	0	12 Gates
58	Louisiana State Univ	Baja Bengals	OK	0	17 Gates
30	Central Michigan Univ	Chippewa Performance	OK	0	21 Gates
48	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0	2 Gates
73	Louisiana Tech Univ	Mud Dawg Racing	OK	0	16 Gates
30	Central Michigan Univ	Chippewa Performance	OK	0	16 Gates
31	Ecole De Technologie Superieure	ETS Motorsports	OK	81.052	30 Gates
63	Virginia Tech	VT Baja	OK	0	2 Gates
73	Louisiana Tech Univ	Mud Dawg Racing	OK	114.785	30 Gates
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	0	16 Gates
74	Univ of Waterloo	Cheetah Racing	OK	0	16 Gates
137	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0	2 Gates
64	Ferris State University	Brutus	OK	0	10 Gates
24	McMaster Univ	McMaster Baja Racing	OK	0	17 Gates
51	West Virginia Univ	Mountaineers	OK	0	20 Gates
107	Clemson Univ	CUBaja Racing	OK	0	29 Gates
40	Case Western Reserve Univ	CWRU Motorsports	OK	0	11 Gates
4	California State Poly Univ - Pomona	Bronco Racing	OK	0	2 Gates
64	Ferris State University	Brutus	OK	0	16 Gates
78	Iowa State Univ	Cyclone Racing	OK	75.987	30 Gates
93	Univ of Nebraska - Lincoln	Husker Racing	OK	0	14 Gates
110	Northern Kentucky Univ	Norse Baja	OK	0	13 Gates
63	Virginia Tech	VT Baja	OK	0	16 Gates
74	Univ of Waterloo	Cheetah Racing	OK	0	17 Gates
48	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0	3 Gates
69	Old Dominion Univ	ODU BAJA	OK	0	29 Gates
5	Georgia Southern Univ	Eagle Motorsports	OK	0	17 Gates
35	Univ of Notre Dame	Irish Racing	OK	0	11 Gates
